Source,Target,Type,Label,timeset,Weight
1330299913389957120,158151942,Directed,0,,1
1330299913389957120,1299122553131335683,Directed,1,,1
1330299869303541760,1181361406182068225,Directed,2,,1
1330299863628730368,3506847195,Directed,3,,1
1330299863628730368,762402774260875265,Directed,4,,1
1330299854631956483,17145115,Directed,5,,1
1330299763145764871,1030835674595950593,Directed,6,,1
1330299763145764871,64773188,Directed,7,,1
1330299680354340864,14128609,Directed,8,,1
1330299625425801218,20762349,Directed,9,,1
1330299586880147456,762402774260875265,Directed,10,,1
1330299541707436035,99021090,Directed,11,,1
1330299486053273602,1139683462833725441,Directed,12,,1
1330299486053273602,1325543531340034057,Directed,13,,1
1330299486053273602,2867042166,Directed,14,,1
1330299486053273602,2804949532,Directed,15,,1
1330299462674214918,762402774260875265,Directed,16,,1
1330299407452041218,1057609248606224386,Directed,17,,1
1330299406336335873,229599213,Directed,18,,1
1330299332705329153,1257077972579815425,Directed,19,,1
1330299268121366536,17145115,Directed,20,,1
1330299218104356867,87314696,Directed,21,,1
1330299218104356867,2603470736,Directed,22,,1
1330299209942233088,1296188324462432261,Directed,23,,1
1330299209942233088,522748456,Directed,24,,1
1330299209942233088,762402774260875265,Directed,25,,1
1330299150710284294,18048666,Directed,26,,1
1330299150710284294,762402774260875265,Directed,27,,1
1330299144670507013,828228363189882883,Directed,28,,1
1330299144129351680,798010922451300356,Directed,29,,1
1330299144129351680,55022037,Directed,30,,1
1330299138274185216,33374761,Directed,31,,1
1330299103104933888,311096611,Directed,32,,1
1330299095525810189,2804095238,Directed,33,,1
1330299095525810189,20762349,Directed,34,,1
1330299074206179331,762402774260875265,Directed,35,,1
1330299011451023362,762402774260875265,Directed,36,,1
1330298941754241025,14128609,Directed,37,,1
1330298777740177413,3400535764,Directed,38,,1
1330298768571379713,762402774260875265,Directed,39,,1
1330298768571379713,45064703,Directed,40,,1
1330298768571379713,1036696817910652928,Directed,41,,1
1330298742851981319,1554883412,Directed,42,,1
