Source,Target,Type,Label,timeset,Weight
1329212708353413120,762402774260875265,Directed,0,,1
1329212613247561729,975127727501185025,Directed,1,,1
1329212548349108224,105371463,Directed,2,,1
1329212482574036992,39116717,Directed,3,,1
1329212368929366017,762402774260875265,Directed,4,,1
1329212359785803776,25858078,Directed,5,,1
1329212250654203906,33071040,Directed,6,,1
1329212162074681349,762402774260875265,Directed,7,,1
1329212116918788096,3313618782,Directed,8,,1
1329212006856093697,762402774260875265,Directed,9,,1
1329211940992933889,80704314,Directed,10,,1
1329211874060218368,1523823530,Directed,11,,1
1329211836558954496,4109097735304705785,Directed,12,,1
1329211794309734407,1268264144266039296,Directed,13,,1
1329211748273020933,17752026,Directed,14,,1
1329211719030288384,762402774260875265,Directed,15,,1
1329211669180985346,391382813,Directed,16,,1
1329211640210919424,105155795,Directed,17,,1
1329211383532150789,33520195,Directed,18,,1
1329211311151046661,762402774260875265,Directed,19,,1
1329211219723644928,4442825062,Directed,20,,1
1329211208017321988,17752026,Directed,21,,1
1329211142598758412,52045368,Directed,22,,1
1329211104514502657,762402774260875265,Directed,23,,1
1329210948738015242,930595881304260608,Directed,24,,1
1329210930773823489,762402774260875265,Directed,25,,1
1329210882736463873,762402774260875265,Directed,26,,1
1329210753388322823,55022037,Directed,27,,1
1329210751194714114,3044834104,Directed,28,,1
1329210720068784129,975127727501185025,Directed,29,,1
1329210691094450177,3888833831603108980,Directed,30,,1
1329210638946668545,6172483593723839026,Directed,31,,1
1329210590087311372,9317502,Directed,32,,1
1329210563604459521,345524427,Directed,33,,1
1329210549733875712,3044834104,Directed,34,,1
1329210543056564227,17752026,Directed,35,,1
1329210532952485888,71710913,Directed,36,,1
1329210523041345539,3065,Directed,37,,1
1329210502736703494,9317502,Directed,38,,1
1329210350588342272,52045368,Directed,39,,1
1329210218593591302,863169064776204288,Directed,40,,1
1329210182736470017,33071040,Directed,41,,1
1329210158128488449,17752026,Directed,42,,1
1329210130228011013,9317502,Directed,43,,1
1329210113446596608,17752026,Directed,44,,1
1329210050834014208,762402774260875265,Directed,45,,1
1329209761485774854,3044834104,Directed,46,,1
1329209726459142144,762402774260875265,Directed,47,,1
1329209710680137729,105155795,Directed,48,,1
1329209692900323328,762402774260875265,Directed,49,,1
1329209606141259779,2880932962,Directed,50,,1
1329209583009718272,762402774260875265,Directed,51,,1
1329209503892590592,762402774260875265,Directed,52,,1
1329209486465241088,370970579,Directed,53,,1
1329209485458616332,762402774260875265,Directed,54,,1
1329209374288572416,1025516940,Directed,55,,1
1329209271477792768,2857676235,Directed,56,,1
1329208923660939265,762402774260875265,Directed,57,,1
1329208867239170048,2880932962,Directed,58,,1
1329208788541435904,982346926464163840,Directed,59,,1
1329208694119272452,762402774260875265,Directed,60,,1
1329208666025766914,84943406,Directed,61,,1
1329208629413752832,84943406,Directed,62,,1
1329208605032243202,9317502,Directed,63,,1
1329208603090284548,84943406,Directed,64,,1
1329208600884023307,54341363,Directed,65,,1
1329208492243226625,762402774260875265,Directed,66,,1
1329208410286518278,2574869106,Directed,67,,1
1329208405773443073,32529120,Directed,68,,1
1329208307630960641,14594698,Directed,69,,1
1329208242136899585,14594698,Directed,70,,1
1329208223023439875,1078618844007157761,Directed,71,,1
1329208209698131969,16794066,Directed,72,,1
1329208117943545859,52468107,Directed,73,,1
1329208055976906752,2902359105,Directed,74,,1
1329208053619679232,58065771,Directed,75,,1
1329208004638629888,55022037,Directed,76,,1
1329207979367948289,1290259240494432256,Directed,77,,1
1329207866448809992,80704314,Directed,78,,1
1329207863575801856,14594698,Directed,79,,1
1329207826967826434,762402774260875265,Directed,80,,1
1329207768402825220,14594698,Directed,81,,1
1329207744109416448,17752026,Directed,82,,1
1329207736140226563,9317502,Directed,83,,1
1329207537548349442,1086583066435510272,Directed,84,,1
1329207514962030596,1523823530,Directed,85,,1
1329207458733174785,762402774260875265,Directed,86,,1
1329207348653645824,1109983850661404675,Directed,87,,1
1329207327891861514,84943406,Directed,88,,1
1329207162132983816,1100179638574292992,Directed,89,,1
1329207157468917763,9317502,Directed,90,,1
1329207148346286086,4400597716,Directed,91,,1
1329206889578631168,51966158,Directed,92,,1
1329206864911994880,17752026,Directed,93,,1
1329206723282923521,159995198,Directed,94,,1
1329206562553024522,1321666074350362624,Directed,95,,1
1329206510057103360,1173398642922799104,Directed,96,,1
