Source,Target,Type,Label,timeset,Weight
1288987726528872450,775522531440721920,Directed,0,,1
1288987644001746944,24237705,Directed,1,,1
1288987601819578373,87843887,Directed,2,,1
1288987575114489856,1144567956459966464,Directed,3,,1
1288987560405094406,2726301380,Directed,4,,1
1288987413600182273,39522911,Directed,5,,1
1288987286017912839,1248626268146294784,Directed,6,,1
1288987286017912839,1085425163322249222,Directed,7,,1
1288987286017912839,713734803149996032,Directed,8,,1
1288987286017912839,74756085,Directed,9,,1
1288987276060635138,65473559,Directed,10,,1
1288987240643919874,4493889033,Directed,11,,1
1288987240643919874,215322898,Directed,12,,1
1288987163435073543,95740548,Directed,13,,1
1288987163435073543,2880932962,Directed,14,,1
1288987163435073543,2923397967,Directed,15,,1
1288987163435073543,15249841,Directed,16,,1
1288987163435073543,87677475,Directed,17,,1
1288987163435073543,1170371384,Directed,18,,1
1288987163435073543,259840707,Directed,19,,1
1288987163435073543,2296138146,Directed,20,,1
1288987163435073543,1113094855281008641,Directed,21,,1
1288987163435073543,14594813,Directed,22,,1
1288987163435073543,156719729,Directed,23,,1
1288987163435073543,68313718,Directed,24,,1
1288987163435073543,40095953,Directed,25,,1
1288987077598642176,935834664442449920,Directed,26,,1
1288987062159511560,14594698,Directed,27,,1
1288987025077657601,49435578,Directed,28,,1
1288987006228410368,1388402174,Directed,29,,1
1288986992265617409,74756085,Directed,30,,1
1288986986934673409,93339429,Directed,31,,1
1288986970929102848,1140068070041501706,Directed,32,,1
1288986970929102848,1262601312241438722,Directed,33,,1
1288986970929102848,177324170,Directed,34,,1
1288986970929102848,759001618884939776,Directed,35,,1
1288986835990061063,1051853688380293121,Directed,36,,1
1288986759464996864,377074222,Directed,37,,1
1288986601067089920,1413279099317814423,Directed,38,,1
1288986598877679618,1083774484123975680,Directed,39,,1
1288986499506155521,60874629,Directed,40,,1
1288986443650600963,1080951902626631681,Directed,41,,1
1288986443650600963,70799317,Directed,42,,1
1288986221352452096,609065195,Directed,43,,1
1288986081162072064,1271322398785024002,Directed,44,,1
1288986081162072064,8802752,Directed,45,,1
1288985884533182464,1081334456953307136,Directed,46,,1
1288985884533182464,7724382364798185266,Directed,47,,1
1288985884533182464,1095834875716874245,Directed,48,,1
1288985875968405505,142393421,Directed,49,,1
1288985820876201984,1083774484123975680,Directed,50,,1
1288985808872120326,775474080715767808,Directed,51,,1
1288985696594731008,564628730,Directed,52,,1
1288985692920586240,9317502,Directed,53,,1
1288985692920586240,969228816009846786,Directed,54,,1
1288985644719538176,2670726740,Directed,55,,1
1288985543452368897,1083774484123975680,Directed,56,,1
1288985506244702210,1267925527605755905,Directed,57,,1
1288985459192999936,10228272,Directed,58,,1
1288985364871426052,93339429,Directed,59,,1
1288985326787141634,14594698,Directed,60,,1
1288985304251105282,67150902,Directed,61,,1
1288985266145959938,10228272,Directed,62,,1
1288985114672803843,1222939896349970432,Directed,63,,1
1288985104837218305,1239425842893242368,Directed,64,,1
1288985104837218305,41139989,Directed,65,,1
1288985090605940736,9317502,Directed,66,,1
1288985090605940736,969228816009846786,Directed,67,,1
1288985075313528833,76049312,Directed,68,,1
1288985043084468224,93339429,Directed,69,,1
1288985001648939010,43340387,Directed,70,,1
1288984947437572097,55262261,Directed,71,,1
1288984913002323971,1267925527605755905,Directed,72,,1
1288984854797975560,499159359,Directed,73,,1
1288984851882938373,9317502,Directed,74,,1
1288984851882938373,969228816009846786,Directed,75,,1
1288984756550545409,2880932962,Directed,76,,1
1288984673776013316,9317502,Directed,77,,1
1288984624450895874,1212038616106405889,Directed,78,,1
1288984624450895874,1523823530,Directed,79,,1
1288984589692805124,9317502,Directed,80,,1
1288984589692805124,969228816009846786,Directed,81,,1
1288984552506109952,1618773036,Directed,82,,1
1288984552506109952,1237094463018799105,Directed,83,,1
1288984552506109952,70799317,Directed,84,,1
1288984552506109952,1262500154436878338,Directed,85,,1
1288984483555876869,1184951435039068167,Directed,86,,1
1288984414265974784,42058613,Directed,87,,1
1288984414265974784,8446132,Directed,88,,1
1288984414265974784,9317502,Directed,89,,1
1288984414265974784,969228816009846786,Directed,90,,1
1288984355491188736,3169569711,Directed,91,,1
1288984323996123138,74756085,Directed,92,,1
1288984125911764992,74756085,Directed,93,,1
1288984103086436352,1255336775528132608,Directed,94,,1
1288984103086436352,901264663396143104,Directed,95,,1
1288984103086436352,8802752,Directed,96,,1
1288984038125047808,1124684375696736256,Directed,97,,1
1288984038125047808,29274419,Directed,98,,1
1288984028390076416,293807001,Directed,99,,1
1288984007515004930,248890506,Directed,100,,1
1288983997779808257,1279817930801393664,Directed,101,,1
1288983864770277377,2726301380,Directed,102,,1
1288983734205767680,65108893,Directed,103,,1
1288983634544910341,975127727501185025,Directed,104,,1
1288983564906835970,1388402174,Directed,105,,1
1288983388347674624,1271322398785024002,Directed,106,,1
1288983388347674624,8802752,Directed,107,,1
1288983307938664449,67150902,Directed,108,,1
1288983272060526593,3299879195,Directed,109,,1
1288983207946473477,2924692356659208298,Directed,110,,1
1288983207946473477,350476403,Directed,111,,1
1288983163239370753,372559701,Directed,112,,1
1288983163239370753,823618343555002369,Directed,113,,1
1288983163239370753,110753955,Directed,114,,1
1288982948201537536,41881267,Directed,115,,1
1288982948201537536,128372940,Directed,116,,1
1288982948201537536,1113094855281008641,Directed,117,,1
1288982917365075971,1271322398785024002,Directed,118,,1
1288982917365075971,8802752,Directed,119,,1
1288982902685020165,354263228823786751,Directed,120,,1
1288982901196029956,29274419,Directed,121,,1
1288982784007168001,1181385227345825793,Directed,122,,1
1288982758111555585,93339429,Directed,123,,1
1288982684576944129,714709195,Directed,124,,1
1288982593799684098,426968526369334877,Directed,125,,1
1288982593799684098,1097199616544649217,Directed,126,,1
1288982561528610817,95740548,Directed,127,,1
1288982535133954051,1130976512008687617,Directed,128,,1
1288982477898502148,2726301380,Directed,129,,1
1288982409866813441,74756085,Directed,130,,1
1288982340954476545,1080951902626631681,Directed,131,,1
1288982340954476545,70799317,Directed,132,,1
1288982147240427521,93339429,Directed,133,,1
1288981922903928832,1353095111811473415,Directed,134,,1
1288981806004555776,74756085,Directed,135,,1
1288981750211907585,1260937519350386689,Directed,136,,1
1288981682150936578,7159576073662003354,Directed,137,,1
1288981682150936578,797821720103178240,Directed,138,,1
1288981682150936578,1272187984541073412,Directed,139,,1
1288981682150936578,64415184,Directed,140,,1
1288981615562174464,10228272,Directed,141,,1
1288981584352354307,1157149702443298817,Directed,142,,1
1288981566035828737,128372940,Directed,143,,1
1288981539263520768,64523460,Directed,144,,1
1288981517516058632,1271322398785024002,Directed,145,,1
1288981517516058632,8802752,Directed,146,,1
1288981335047053312,97910251,Directed,147,,1
1288981335047053312,6135622,Directed,148,,1
1288981299127103498,175503085,Directed,149,,1
1288981195905212418,67150902,Directed,150,,1
1288981031190700040,2923397967,Directed,151,,1
1288981030620340224,544735824,Directed,152,,1
1288980898986237952,69921205,Directed,153,,1
1288980898986237952,56457949,Directed,154,,1
1288980872264384514,1188862025759383552,Directed,155,,1
1288980775493394432,1249757349125992450,Directed,156,,1
1288980773475844096,734094089906446337,Directed,157,,1
1288980677262815232,40095953,Directed,158,,1
1288980677262815232,76049312,Directed,159,,1
1288980591417974784,1105126592370618370,Directed,160,,1
1288980544349450242,67150902,Directed,161,,1
1288980426363674630,64415184,Directed,162,,1
1288980259807862788,1259440687,Directed,163,,1
1288980247577337856,95740548,Directed,164,,1
1288980185447124993,1273973733078839304,Directed,165,,1
1288980185447124993,49966078,Directed,166,,1
1288980179809861634,28794073,Directed,167,,1
1288980179809861634,3331429624,Directed,168,,1
1288980179809861634,128372940,Directed,169,,1
1288980065687134208,34391474,Directed,170,,1
1288980065687134208,1256600019785912326,Directed,171,,1
1288980063124414470,17469289,Directed,172,,1
1288980059043385351,1248678469728382976,Directed,173,,1
1288979905800175617,2726301380,Directed,174,,1
1288979901668896768,197554607,Directed,175,,1
1288979901668896768,1212149911757570048,Directed,176,,1
1288979901668896768,893881003990802433,Directed,177,,1
1288979901668896768,1273273258343911424,Directed,178,,1
1288979901668896768,544735824,Directed,179,,1
1288979834111221760,145334484,Directed,180,,1
1288979834111221760,536451005,Directed,181,,1
1288979834111221760,246485954,Directed,182,,1
1288979834111221760,721348747993583617,Directed,183,,1
1288979834111221760,145334823,Directed,184,,1
1288979834111221760,1288979834111221760,Directed,185,,1
1288979834002186240,67150902,Directed,186,,1
1288979812091142145,95740548,Directed,187,,1
1288979796568014848,74756085,Directed,188,,1
1288979786761678848,67150902,Directed,189,,1
1288979716825927681,1264000038767939584,Directed,190,,1
1288979716825927681,78684416,Directed,191,,1
1288979685632811008,42403475,Directed,192,,1
1288979685632811008,2670726740,Directed,193,,1
1288979667207299073,248890506,Directed,194,,1
1288979665294680066,1140236587,Directed,195,,1
1288979623620030464,1127708643338653696,Directed,196,,1
1288979623620030464,14594698,Directed,197,,1
1288979597439242241,2548159496,Directed,198,,1
1288979597439242241,8802752,Directed,199,,1
1288979585619591169,1261468378205650948,Directed,200,,1
1288979585619591169,2726301380,Directed,201,,1
1288979553793331202,95740548,Directed,202,,1
1288979547392823296,42058613,Directed,203,,1
1288979547392823296,8446132,Directed,204,,1
1288979547392823296,9317502,Directed,205,,1
1288979547392823296,969228816009846786,Directed,206,,1
1288979383852716032,248890506,Directed,207,,1
1288979216361492490,2486856455,Directed,208,,1
1288979046219612160,1172548241382154241,Directed,209,,1
1288979046219612160,14594813,Directed,210,,1
1288978994658975744,6553156460736924820,Directed,211,,1
1288978994658975744,1218707751364448256,Directed,212,,1
1288978690739666946,1303074772256002052,Directed,213,,1
1288978690739666946,13769472,Directed,214,,1
1288978646171099138,9317502,Directed,215,,1
1288978646171099138,969228816009846786,Directed,216,,1
1288978530215362560,74756085,Directed,217,,1
1288978368277487616,39366339,Directed,218,,1
1288978258692841472,915732862506323971,Directed,219,,1
1288978250811801605,1084229494863552513,Directed,220,,1
1288978250811801605,14594698,Directed,221,,1
1288978130636615686,1347385232,Directed,222,,1
1288978044112314369,70799317,Directed,223,,1
1288978025778941953,2726301380,Directed,224,,1
1288977848750006272,74756085,Directed,225,,1
1288977803376037895,20213747,Directed,226,,1
1288977803376037895,4909953964,Directed,227,,1
1288977803376037895,38038840,Directed,228,,1
1288977803376037895,1180930821240365063,Directed,229,,1
1288977803376037895,3322502295,Directed,230,,1
1288977798087016450,73254822,Directed,231,,1
1288977798087016450,1248713642658410496,Directed,232,,1
1288977738234200065,9317502,Directed,233,,1
1288977738234200065,78774644,Directed,234,,1
1288977697826320384,544735824,Directed,235,,1
1288977697826320384,323946846,Directed,236,,1
1288977634349678598,936769356,Directed,237,,1
1288977634349678598,2726301380,Directed,238,,1
1288977634349678598,18048666,Directed,239,,1
1288977561285005313,975127727501185025,Directed,240,,1
1288977524798697473,3161634005,Directed,241,,1
1288977524798697473,126436384,Directed,242,,1
1288977495312740354,93339429,Directed,243,,1
1288977462739730434,1024643516293623808,Directed,244,,1
1288977462739730434,76049312,Directed,245,,1
1288977421178462209,51440774,Directed,246,,1
1288977421178462209,3254258897,Directed,247,,1
1288977421178462209,945729667637633024,Directed,248,,1
1288977355189477376,74756085,Directed,249,,1
1288977272536473601,1259979498466017283,Directed,250,,1
1288977272536473601,170382326,Directed,251,,1
1288977255356563458,975127727501185025,Directed,252,,1
1288977255356563458,128372940,Directed,253,,1
1288977195336183811,2783180441,Directed,254,,1
1288977195336183811,6921353074399548087,Directed,255,,1
1288977195336183811,76049312,Directed,256,,1
1288977142781444097,2726301380,Directed,257,,1
1288977057813233670,759001618884939776,Directed,258,,1
1288977057813233670,975127727501185025,Directed,259,,1
1288977031183642625,1108777960641830912,Directed,260,,1
1288976954146906124,67150902,Directed,261,,1
1288976945963847680,1230469114625495040,Directed,262,,1
1288976932625944576,185282073,Directed,263,,1
1288976890871586819,74756085,Directed,264,,1
1288976840351264774,29274419,Directed,265,,1
1288976831283187712,2726301380,Directed,266,,1
1288976805697925120,2880932962,Directed,267,,1
1288976539288244225,350476403,Directed,268,,1
1288976467322380288,2726301380,Directed,269,,1
1288976426771914754,1249757349125992450,Directed,270,,1
1288976378994593792,5087836728275176704,Directed,271,,1
1288976378994593792,8802752,Directed,272,,1
1288976339874263042,73254822,Directed,273,,1
1288976270701756418,1254260809976500226,Directed,274,,1
1288976270701756418,8802752,Directed,275,,1
1288976184135561220,3414214973,Directed,276,,1
1288976143912177664,2726301380,Directed,277,,1
1288976079793860609,50452226,Directed,278,,1
1288976021522395136,14594698,Directed,279,,1
1288975937879629829,67150902,Directed,280,,1
1288975936608763904,1176618139494342656,Directed,281,,1
1288975917662994433,248890506,Directed,282,,1
1288975723684859906,142461507,Directed,283,,1
1288975719859728384,2670726740,Directed,284,,1
1288975682849120257,1245890039327883264,Directed,285,,1
1288975676360364034,344965817,Directed,286,,1
1288975676360364034,3786057795,Directed,287,,1
1288975662288642050,14594698,Directed,288,,1
1288975608119271427,112498734,Directed,289,,1
1288975588196339712,14311308,Directed,290,,1
1288975567862337536,9317502,Directed,291,,1
1288975567862337536,969228816009846786,Directed,292,,1
1288975512887590912,74756085,Directed,293,,1
1288975491484049413,808850732573147136,Directed,294,,1
1288975430624645122,9317502,Directed,295,,1
1288975430624645122,969228816009846786,Directed,296,,1
1288975393773555712,89326119,Directed,297,,1
1288975255701278720,4171654749439535476,Directed,298,,1
1288975255701278720,128372940,Directed,299,,1
1288975233429512193,8198202865588017428,Directed,300,,1
1288975073601298439,6553156460736924820,Directed,301,,1
1288975073601298439,1218707751364448256,Directed,302,,1
1288974976335454209,766637532670988288,Directed,303,,1
1288974960216682503,2726301380,Directed,304,,1
1288974884333408256,1290134106412593157,Directed,305,,1
1288974884333408256,2924692356659208298,Directed,306,,1
1288974750010802183,51287089,Directed,307,,1
1288974750010802183,1284881847080624129,Directed,308,,1
1288974750010802183,1095834875716874245,Directed,309,,1
1288974608935288833,42058613,Directed,310,,1
1288974608935288833,8446132,Directed,311,,1
1288974608935288833,9317502,Directed,312,,1
1288974608935288833,969228816009846786,Directed,313,,1
1288974588949430273,43340387,Directed,314,,1
1288974588949430273,2892290499,Directed,315,,1
1288974579684302849,8849386107492451270,Directed,316,,1
1288974579684302849,3186607661495095054,Directed,317,,1
1288974579684302849,29274419,Directed,318,,1
1288974530103455747,14594698,Directed,319,,1
1288974488982429696,74756085,Directed,320,,1
1288974409030606848,822908649047785473,Directed,321,,1
1288974409030606848,2828823327,Directed,322,,1
1288974409030606848,9317502,Directed,323,,1
1288974409030606848,76369002,Directed,324,,1
1288974388117856264,2254370973,Directed,325,,1
1288974116121382913,1088616656568500224,Directed,326,,1
1288974116121382913,19409508,Directed,327,,1
1288974116121382913,74756085,Directed,328,,1
1288974116121382913,578495086,Directed,329,,1
1288974116121382913,388779643,Directed,330,,1
1288974108907233281,34759495,Directed,331,,1
1288973907320602624,1051033474784796672,Directed,332,,1
1288973815528251394,33584794,Directed,333,,1
1288973715439575046,1207306198896259073,Directed,334,,1
1288973715439575046,76049312,Directed,335,,1
1288973683894165511,14594698,Directed,336,,1
1288973537064243200,74756085,Directed,337,,1
1288973480747315200,52722451,Directed,338,,1
1288973452771307522,5534062,Directed,339,,1
1288973443598352385,170382326,Directed,340,,1
1288973443598352385,540892015,Directed,341,,1
1288973443598352385,128372940,Directed,342,,1
1288973443598352385,74756085,Directed,343,,1
1288973433653661698,1270877434997608448,Directed,344,,1
1288973433653661698,1288975073601298439,Directed,345,,1
1288973433653661698,1218707751364448256,Directed,346,,1
1288973433653661698,287670493,Directed,347,,1
1288973422681350147,1261501387604668417,Directed,348,,1
1288973422681350147,1235327533966557184,Directed,349,,1
1288973414095622145,1095834875716874245,Directed,350,,1
1288972947257004033,294708888,Directed,351,,1
1288972924737724416,1288975255701278720,Directed,352,,1
1288972924737724416,4171654749439535476,Directed,353,,1
1288972924737724416,128372940,Directed,354,,1
1288972894832340993,45409867,Directed,355,,1
1288972792143196160,1288973132825387008,Directed,356,,1
1288972437175115776,110881957,Directed,357,,1
1288972385983574017,1286662461232500736,Directed,358,,1
1288972385983574017,1021954579926319104,Directed,359,,1
1288972385983574017,70799317,Directed,360,,1
1288972223257153537,2593085527,Directed,361,,1
1288972127652253696,43340387,Directed,362,,1
1288972086032113668,1244685925466148864,Directed,363,,1
1288972086032113668,175382935,Directed,364,,1
1288972020177408003,9317502,Directed,365,,1
1288972020177408003,969228816009846786,Directed,366,,1
1288971916116729858,1217217793499844611,Directed,367,,1
1288971866615447552,1288987209970913281,Directed,368,,1
1288971866615447552,2670726740,Directed,369,,1
1288971631990382593,92942390,Directed,370,,1
1288971631990382593,232939874,Directed,371,,1
1288971631990382593,760224068205416448,Directed,372,,1
1288971603527827457,56741047,Directed,373,,1
1288971603527827457,1537306537830606230,Directed,374,,1
1288971603527827457,19667016,Directed,375,,1
1288971603527827457,14128609,Directed,376,,1
1288971603527827457,159551047,Directed,377,,1
1288971603527827457,2597576840,Directed,378,,1
1288971555746217984,2254110407900117358,Directed,379,,1
1288971477308649473,1236701526367907841,Directed,380,,1
1288971319598624769,14594813,Directed,381,,1
1288971121518358529,47251304,Directed,382,,1
1288971082872107011,14594698,Directed,383,,1
1288971080284213248,1260947056488783877,Directed,384,,1
1288970920133046273,119585537,Directed,385,,1
1288970824020570113,9317502,Directed,386,,1
1288970824020570113,969228816009846786,Directed,387,,1
1288970697402966023,43340387,Directed,388,,1
1288970665077411842,1207798869620383745,Directed,389,,1
1288970643774611460,2570095951,Directed,390,,1
1288970541806821377,1200927092390715394,Directed,391,,1
1288970541806821377,45870897,Directed,392,,1
1288970539575447563,2726301380,Directed,393,,1
1288970511347785730,42633985,Directed,394,,1
1288970456448602112,2670726740,Directed,395,,1
1288970445971230720,32529120,Directed,396,,1
1288970441701425157,1236701526367907841,Directed,397,,1
1288970309945761795,183398510,Directed,398,,1
1288970284339527680,997563574900985856,Directed,399,,1
1288970140516851714,899733078641225728,Directed,400,,1
1288970102768046083,186424271,Directed,401,,1
1288970048179232768,14594698,Directed,402,,1
1288969974275608576,128372940,Directed,403,,1
1288969876573310978,1127057128164921345,Directed,404,,1
1288969848706543616,13769472,Directed,405,,1
1288969839621570561,9317502,Directed,406,,1
1288969839621570561,969228816009846786,Directed,407,,1
1288969787159261185,805926175643737755,Directed,408,,1
1288969705382977537,51853640,Directed,409,,1
1288969705382977537,1101990175960428544,Directed,410,,1
1288969705382977537,73254822,Directed,411,,1
1288969658746523649,8802752,Directed,412,,1
1288969555801452545,14594698,Directed,413,,1
1288969497618128897,142461507,Directed,414,,1
1288969422133223427,61318235,Directed,415,,1
1288969422133223427,6773064987594796913,Directed,416,,1
1288969422133223427,135871894,Directed,417,,1
1288969422133223427,364840896,Directed,418,,1
1288969333000069121,74756085,Directed,419,,1
1288969305892229121,1099846052667158530,Directed,420,,1
1288969304923418624,10228272,Directed,421,,1
1288969298111848448,174396298,Directed,422,,1
1288969296530542592,497921414,Directed,423,,1
1288969261793390594,1208778120637091840,Directed,424,,1
1288969261793390594,1051033474784796672,Directed,425,,1
1288969120864755714,9317502,Directed,426,,1
1288969120864755714,969228816009846786,Directed,427,,1
1288969079190061056,70799317,Directed,428,,1
1288969071267119111,14594698,Directed,429,,1
1288968972981985280,8446132,Directed,430,,1
1288968972981985280,9317502,Directed,431,,1
1288968972981985280,969228816009846786,Directed,432,,1
1288968887468466178,190323948,Directed,433,,1
1288968861895860227,14594698,Directed,434,,1
1288968829402521600,74756085,Directed,435,,1
1288968799073587207,292470586,Directed,436,,1
1288968619637051392,9317502,Directed,437,,1
1288968619637051392,969228816009846786,Directed,438,,1
1288968619582521345,3974033308,Directed,439,,1
1288968619582521345,2207697593739519494,Directed,440,,1
1288968602398404610,1548445549,Directed,441,,1
1288968602398404610,155589270,Directed,442,,1
1288968602398404610,759001618884939776,Directed,443,,1
