Source,Target,Type,Label,timeset,Weight
1255646729329872898,1494658207,Directed,0,,1
1255645609429815296,128372940,Directed,1,,1
1255645594187636736,74756085,Directed,2,,1
1255645522775486464,14594813,Directed,3,,1
1255645028850053131,13124602,Directed,4,,1
1255641396557594631,2797010717,Directed,5,,1
1255639798787772417,4452387711,Directed,6,,1
1255635144238608384,8802752,Directed,7,,1
1255635079512174599,1184951435039068167,Directed,8,,1
1255633135871688704,2816318949,Directed,9,,1
1255633093509210116,809124436880322561,Directed,10,,1
1255629958497656832,74756085,Directed,11,,1
1255629486827151364,21207962,Directed,12,,1
1255628525991792641,825477081110867968,Directed,13,,1
1255628170419732483,762402774260875265,Directed,14,,1
1255628139163721728,21207962,Directed,15,,1
1255628072650448897,74756085,Directed,16,,1
1255627524702457856,129610712,Directed,17,,1
1255627380577746948,74756085,Directed,18,,1
1255626526701375490,74756085,Directed,19,,1
1255626246249156608,74756085,Directed,20,,1
1255625462581268480,74756085,Directed,21,,1
1255625236835217408,74756085,Directed,22,,1
1255624324377174019,178061411,Directed,23,,1
1255621679482535936,2880932962,Directed,24,,1
1255619918965485569,62900055,Directed,25,,1
1255619690560454658,1142902008535535616,Directed,26,,1
1255617766809317376,36645256,Directed,27,,1
1255616520375414785,13124602,Directed,28,,1
1255615544763600897,12200812,Directed,29,,1
1255611459154960384,55767644,Directed,30,,1
1255611047672778753,216777909,Directed,31,,1
1255610133461250049,1388402174,Directed,32,,1
1255608759419834372,1132709280526815233,Directed,33,,1
1255608565932359680,17752026,Directed,34,,1
1255608522080911363,29274419,Directed,35,,1
1255608055766581255,78148969,Directed,36,,1
1255607749305602049,885868623994245120,Directed,37,,1
1255607142834462721,1892161033,Directed,38,,1
1255607045719494658,14594813,Directed,39,,1
1255606036930670595,57788508,Directed,40,,1
1255605308640067589,13124602,Directed,41,,1
1255602944143212545,14173315,Directed,42,,1
1255600685586006016,1204982354,Directed,43,,1
1255600369369075712,74756085,Directed,44,,1
1255599769071890435,993146341294596096,Directed,45,,1
1255598976969170944,31161322,Directed,46,,1
1255598458431471616,8802752,Directed,47,,1
1255596098091200512,885868623994245120,Directed,48,,1
1255594092551114755,13769472,Directed,49,,1
1255593947004624899,40548874,Directed,50,,1
1255590954985193475,56470032,Directed,51,,1
1255590610200858627,131286287,Directed,52,,1
1255590334391881729,34164237,Directed,53,,1
1255590287348568069,13124602,Directed,54,,1
1255590249146744842,13124602,Directed,55,,1
1255587483246628865,245975946,Directed,56,,1
1255586125659471873,216777909,Directed,57,,1
1255583490747387906,3984632307,Directed,58,,1
1255582408793034752,14579710,Directed,59,,1
