Source,Target,Type,Label,timeset,Weight
1266881856076689412,159182079,Directed,0,,1
1266881061742686214,74756085,Directed,1,,1
1266880774533451776,14594698,Directed,2,,1
1266879295093342210,8802752,Directed,3,,1
1266879025466806278,1138847289978626049,Directed,4,,1
1266878378348601344,1138847289978626049,Directed,5,,1
1266877236478697478,58065771,Directed,6,,1
1266876810295414784,58390909,Directed,7,,1
1266876632465358848,3331429624,Directed,8,,1
1266876465452396546,759001618884939776,Directed,9,,1
1266876213336977409,76049312,Directed,10,,1
1266874646093152259,159182079,Directed,11,,1
1266874423212195842,1083774484123975680,Directed,12,,1
1266873106662121477,1523748277,Directed,13,,1
1266872911236927489,43340817,Directed,14,,1
1266872257575555073,1083774484123975680,Directed,15,,1
1266871410858885121,168520768,Directed,16,,1
1266870482680283136,58007416,Directed,17,,1
1266870085010034689,964709709566611457,Directed,18,,1
1266869903597985792,45409867,Directed,19,,1
1266869491251675142,74756085,Directed,20,,1
1266868464968511491,1054790640637227008,Directed,21,,1
1266867815161749508,809124436880322561,Directed,22,,1
1266866911607951361,1137581080788307968,Directed,23,,1
1266866875285286918,809124436880322561,Directed,24,,1
1266866767206498304,1137581080788307968,Directed,25,,1
1266866739436040192,983022622249312257,Directed,26,,1
1266866618027724800,759001618884939776,Directed,27,,1
1266866321481961474,128372940,Directed,28,,1
1266865167532535809,74756085,Directed,29,,1
1266863470194184196,168520768,Directed,30,,1
1266863330309914625,50769180,Directed,31,,1
1266863227956314114,1218553336695263237,Directed,32,,1
1266862699700461569,1262944997118181385,Directed,33,,1
1266862105480892416,1067181177356894210,Directed,34,,1
1266861584946782210,54341363,Directed,35,,1
1266861002676736003,1137581080788307968,Directed,36,,1
1266860192861433858,128372940,Directed,37,,1
1266859464629633027,34740038,Directed,38,,1
1266859266671104008,859207742489276416,Directed,39,,1
1266859017525235714,759001618884939776,Directed,40,,1
1266858838512283650,14594698,Directed,41,,1
1266857693224013827,55536488,Directed,42,,1
1266857257750294528,1137581080788307968,Directed,43,,1
1266856730228596737,1083774484123975680,Directed,44,,1
1266855936037195776,1083774484123975680,Directed,45,,1
1266855806680645634,168520768,Directed,46,,1
1266855571770179585,1083774484123975680,Directed,47,,1
1266855230286622720,1137581080788307968,Directed,48,,1
1266854582526840832,74756085,Directed,49,,1
1266854413093801987,168520768,Directed,50,,1
1266852609689817089,168520768,Directed,51,,1
1266852382534774784,128372940,Directed,52,,1
1266852339555729411,964709709566611457,Directed,53,,1
1266851943919607809,1083774484123975680,Directed,54,,1
1266851710967955456,1220340678682726400,Directed,55,,1
1266851460551192578,1083774484123975680,Directed,56,,1
1266850425824821248,20534316,Directed,57,,1
1266850035515392003,926688202718695424,Directed,58,,1
1266849288396713985,759001618884939776,Directed,59,,1
1266848921852219394,14171352,Directed,60,,1
1266848660148682752,35805725,Directed,61,,1
1266848542339092487,74756085,Directed,62,,1
1266846303595704321,64756571,Directed,63,,1
1266846263892414465,45409867,Directed,64,,1
1266845962460377093,1255625577228316672,Directed,65,,1
1266844655351668737,74756085,Directed,66,,1
1266843958057058304,841318376836337664,Directed,67,,1
1266843376399327232,54341363,Directed,68,,1
