Source,Target,Type,Label,timeset,Weight
1266881537875890179,74756085,Directed,0,,1
1266879979524165637,1247019283340722177,Directed,1,,1
1266872436760416257,2892290499,Directed,2,,1
1266868784381464576,111436754,Directed,3,,1
1266864796177227776,1254141493780066305,Directed,4,,1
1266864436163338242,74756085,Directed,5,,1
1266862415569997824,3092434408,Directed,6,,1
1266858960080048129,412370697,Directed,7,,1
1266857124187049991,1137581080788307968,Directed,8,,1
1266852454135627776,205543062,Directed,9,,1
1266852273155645444,1083774484123975680,Directed,10,,1
1266852037179904000,1081341581314150400,Directed,11,,1
1266849476792246273,1255190457577091073,Directed,12,,1
1266846167238926336,116519514,Directed,13,,1
1266845387937189891,843555831165698049,Directed,14,,1
1266844219068612608,1232835117569257472,Directed,15,,1
1266836247936466945,41484416,Directed,16,,1
1266833757119614977,1238504342258409473,Directed,17,,1
1266830999071133703,111157576,Directed,18,,1
1266826550583996420,284144494,Directed,19,,1
1266825424358838273,116519514,Directed,20,,1
1266823206805147649,878247600096509952,Directed,21,,1
1266822583678373889,823255657902129153,Directed,22,,1
1266811114878390274,389313566,Directed,23,,1
1266810097512189953,83858789,Directed,24,,1
1266808715627331586,1241878874138587139,Directed,25,,1
1266801297300258817,1242471700257595403,Directed,26,,1
1266800598172815360,134629415,Directed,27,,1
1266800081862344709,1247019283340722177,Directed,28,,1
1266796796136873984,1222673964419485696,Directed,29,,1
1266796159097585664,53954284,Directed,30,,1
1266794849090637826,1233443273118756864,Directed,31,,1
1266793055404916736,271064798,Directed,32,,1
1266791262235041793,1435461,Directed,33,,1
1266790660809637888,20736511,Directed,34,,1
1266787638792663040,1254141493780066305,Directed,35,,1
1266787322399424515,33520195,Directed,36,,1
1266785966603341825,20736511,Directed,37,,1
1266785752333135872,1133111886348787712,Directed,38,,1
1266782608752607232,1568116712,Directed,39,,1
1266779635817287680,971110539169591298,Directed,40,,1
1266775755188469760,1254141493780066305,Directed,41,,1
1266775729045475329,20736511,Directed,42,,1
1266774709288517633,20736511,Directed,43,,1
1266774495211196418,78738356,Directed,44,,1
1266772722178277377,52722451,Directed,45,,1
1266769692657672192,30540789,Directed,46,,1
1266767875295137792,1026865180729323520,Directed,47,,1
1266767480011345920,222231985,Directed,48,,1
1266767458469281793,130521584,Directed,49,,1
1266767006579208193,1148318806303027205,Directed,50,,1
1266766827440541697,2972088165,Directed,51,,1
1266765370666385408,222231985,Directed,52,,1
1266764288804425736,1137581080788307968,Directed,53,,1
1266763953117560832,1286369924,Directed,54,,1
1266762352768270336,2880932962,Directed,55,,1
1266756869491691526,20736511,Directed,56,,1
1266756325977001985,20736511,Directed,57,,1
1266754748742619136,193470935,Directed,58,,1
1266747107962228742,424861562,Directed,59,,1
1266736895591174146,1249896287761203201,Directed,60,,1
1266736662371086336,20736511,Directed,61,,1
1266735642278584320,1869900985,Directed,62,,1
1266732008010649600,1133111886348787712,Directed,63,,1
1266731762874548224,1262944997118181385,Directed,64,,1
1266730518680395779,827686545561882624,Directed,65,,1
1266726660457533441,90494513,Directed,66,,1
