rt_id,who_was_rt,content_of_rt
1244740868290076672,FlavioBolsonaro,"Proposta inicial para pagar renda mínima a trabalhadores informais foi de R$200,00. Câmara propôs aumentar para R$ 500,00. Presidente @jairbolsonaro foi mais justo e autorizou R$ 600,00 (via emenda do deputado @MajorVitorHugo ). Parabéns a todos. #PagaLogoBolsonaro"
1244692133417803780,jairbolsonaro,"Laboratório químicos das Forças Armadas ampliam produção de cloroquina: Laboratório Farmacêutico da @marmilbr, Laboratório Químico Farmacêutico do @exercitooficial e Laboratório Químico Farmacêutico da @fab_oficial, todos localizados no Rio de Janeiro (RJ)."
1244772762390052865,jnascim,"Nicolas Maduro com erva-cidreira e Bolsonaros com a cloroquina, todos a 80 km/h https://t.co/YjG22i0epz"
1244437600842153984,SoniaBridi,"Aqui a reportagem sobre a busca de tratamento para Covid 19. E não, hidroxicloroquina NÃO TEM EFICÁCIA COMPROVADA AINDA! https://t.co/ec8CyRhHFo"
1244770305337417730,DamaresAlves,"Hoje conversei com a ministra da Família e de Igualdade de Oportuniades da Itália para prestar toda a solidariedade e apoio que aquele país tanto precisa neste momento.

O governo @jairbolsonaro cuida para que os brasileiros que vivem lá superem todas as adversidades. 🇧🇷♥️🇮🇹 https://t.co/FyCh9Jda2m"
1244613557980971008,BolsonaroSP,Dia triste para quem torce pelo vírus. A FDA (=ANVISA dos EUA) liberou o uso da cloroquina em pacientes com coronavírus. Certamente se fosse um familiar nosso autorizaríamos o seu uso.
1244753224776790019,ElSabuesoAP,"Sí, la @FDAenEspanol emitió una autorización para que los productos de sulfato de hidroxicloroquina y fosfato de cloroquina sean distribuidos y recetados a pacientes hospitalizados con COVID-19. https://t.co/AQjvilb3kM"
1244408585980981250,franko67_0,"Feliz noche apreciado Tuiteros estoy mal de Salud a mi esposa y a este Tuitero nos diagnosticaron #Paludismo y por aquí en este sector hay varios Vecinos con lo mismo en San Jose de Guanipa Anzoátegui,  Ninguna autoridad sean a Personado a fumigar OJO. @MPPSalud @Mippcivzla .!!"
1244639185962766336,ArthurWeint,"Tv marinho: ""cloroquina é perigosa, e já matou gente que tomou"".

Tv marinho: ""cloroquina é essencial para quem tem lúpus e reumatismo"".

Pra um caso, pode matar. Para outros, é a salvação. Será que se o presidente fosse de esquerda, os marinho estariam louvando a cloroquina?"
1244639185962766336,ArthurWeint,"Tv marinho: ""cloroquina é perigosa, e já matou gente que tomou"".

Tv marinho: ""cloroquina é essencial para quem tem lúpus e reumatismo"".

Pra um caso, pode matar. Para outros, é a salvação. Será que se o presidente fosse de esquerda, os marinho estariam louvando a cloroquina?"
