Source,Target,Type,Label,timeset,Weight
1322321739855106053,0,Directed,0,,1
1322311131847888899,1,Directed,1,,1
1322310252465979393,2,Directed,2,,1
1322310003362009090,3,Directed,3,,1
1322308365507284992,4,Directed,4,,1
1322308073466331139,5,Directed,5,,1
1322308073466331139,6,Directed,6,,1
1322308073466331139,52722451,Directed,7,,1
1322307610637422597,2885377941,Directed,8,,1
1322307610637422597,1174960615326044160,Directed,9,,1
1322307610637422597,14499829,Directed,10,,1
1322305720008773632,52048790,Directed,11,,1
1322301223899406337,1290739318118645765,Directed,12,,1
1322301223899406337,1222939896349970432,Directed,13,,1
1322301223899406337,1087259768,Directed,14,,1
1322292190564016129,56844876,Directed,15,,1
1322292190564016129,33520195,Directed,16,,1
1322292099820171266,33520195,Directed,17,,1
1322287730538221573,7,Directed,18,,1
1322287730538221573,823255657902129153,Directed,19,,1
1322287626716631040,823255657902129153,Directed,20,,1
1322286608968802305,3398237661,Directed,21,,1
1322286608968802305,10228272,Directed,22,,1
1322286373529915393,1257872672077348865,Directed,23,,1
1322286373529915393,83125338,Directed,24,,1
1322284672743858176,1131302601780322305,Directed,25,,1
1322272230529765377,1285710860,Directed,26,,1
1322272230529765377,1180839010597556225,Directed,27,,1
1322272230529765377,58951368,Directed,28,,1
1322267997797552135,9722452,Directed,29,,1
1322266108859219969,33520195,Directed,30,,1
1322265534507945984,1298280148597440513,Directed,31,,1
1322265534507945984,1308136106328764416,Directed,32,,1
1322265534507945984,2885267195,Directed,33,,1
1322265534507945984,3308973275,Directed,34,,1
1322262773263441921,776119831796051968,Directed,35,,1
1322259959208415233,1290739318118645765,Directed,36,,1
1322259959208415233,1222939896349970432,Directed,37,,1
1322259959208415233,1087259768,Directed,38,,1
1322259827020713985,823255657902129153,Directed,39,,1
1322251706365845504,759774614184615937,Directed,40,,1
1322251706365845504,715780902417252352,Directed,41,,1
1322251595304869889,1058819604741525510,Directed,42,,1
1322250493008162822,340331807,Directed,43,,1
1322250493008162822,128372940,Directed,44,,1
1322250493008162822,68712576,Directed,45,,1
1322250493008162822,74756085,Directed,46,,1
1322250493008162822,35805725,Directed,47,,1
1322249277104656386,1203090411687944192,Directed,48,,1
1322249277104656386,54341363,Directed,49,,1
1322244352899489794,179279222,Directed,50,,1
1322244352899489794,995366329204043776,Directed,51,,1
1322244352899489794,758519817578086400,Directed,52,,1
1322243456870322176,894620723897131008,Directed,53,,1
1322243456870322176,8,Directed,54,,1
1322243456870322176,64706049,Directed,55,,1
1322239768198074368,750041749964386304,Directed,56,,1
1322239666851106817,9,Directed,57,,1
1322233018010972160,1254080476823932930,Directed,58,,1
1322231701440004097,14499829,Directed,59,,1
1322230130534764544,128372940,Directed,60,,1
1322229996757389313,841700087143288832,Directed,61,,1
1322227642662330368,10228272,Directed,62,,1
1322215124313219073,151984352,Directed,63,,1
1322214973217669121,1248628200952827910,Directed,64,,1
1322211308553515008,225232891,Directed,65,,1
1322210447173537794,1242490129,Directed,66,,1
1322209399184777217,1065597594238369793,Directed,67,,1
1322209399184777217,4160274844,Directed,68,,1
1322209399184777217,39971556,Directed,69,,1
1322207887314296837,81719787,Directed,70,,1
1322207887314296837,1011008648,Directed,71,,1
1322206768743800832,176580977,Directed,72,,1
1322204118262423552,2732916874,Directed,73,,1
1322204118262423552,1322305720008773632,Directed,74,,1
1322204118262423552,1222939896349970432,Directed,75,,1
1322204118262423552,560825868,Directed,76,,1
1322203726040412160,1935742783,Directed,77,,1
1322202681067360258,1290739318118645765,Directed,78,,1
1322202681067360258,921592212604977152,Directed,79,,1
1322202681067360258,1222939896349970432,Directed,80,,1
1322202681067360258,1087259768,Directed,81,,1
1322201987648311296,1185399896800661504,Directed,82,,1
1322201987648311296,1080624662424571904,Directed,83,,1
1322201987648311296,835570202289012736,Directed,84,,1
1322201987648311296,16794066,Directed,85,,1
1322194866584100867,10228272,Directed,86,,1
1322193977781690368,111042116,Directed,87,,1
1322191244186001409,2843120843,Directed,88,,1
1322191244186001409,900687323834322949,Directed,89,,1
1322191204029792257,50456603,Directed,90,,1
1322191204029792257,120767310,Directed,91,,1
1322189782324301826,142132270,Directed,92,,1
1322185959593705472,726797175448043522,Directed,93,,1
1322185224940380161,10228272,Directed,94,,1
1322183404683755522,1337775026041479168,Directed,95,,1
1322183404683755522,74756085,Directed,96,,1
1322183150290817031,74756085,Directed,97,,1
1322183139771428864,1247492258657681411,Directed,98,,1
1322183139771428864,836249653,Directed,99,,1
1322183139771428864,955483718331850754,Directed,100,,1
1322183139771428864,790878782034997248,Directed,101,,1
1322183139771428864,2,Directed,102,,1
1322181739280818176,10228272,Directed,103,,1
1322172590190956545,74756085,Directed,104,,1
1322171845592928256,17135392,Directed,105,,1
1322171845592928256,13769472,Directed,106,,1
1322170346393522177,33520195,Directed,107,,1
1322167852955295749,340331807,Directed,108,,1
1322167806612393984,52724372,Directed,109,,1
1322167806612393984,270105151,Directed,110,,1
1322167356207124483,74756085,Directed,111,,1
1322167356207124483,66402626,Directed,112,,1
1322166301033402371,1322305720008773632,Directed,113,,1
1322166301033402371,1087259768,Directed,114,,1
1322160549904470016,1322206768743800832,Directed,115,,1
1322160549904470016,83125338,Directed,116,,1
1322160164510830594,1322305720008773632,Directed,117,,1
1322160164510830594,1087259768,Directed,118,,1
1322159542172585990,35805725,Directed,119,,1
1322159542172585990,128372940,Directed,120,,1
1322159535155482629,10228272,Directed,121,,1
1322158164272361477,116519514,Directed,122,,1
1322157769923899392,211898018,Directed,123,,1
1322157769923899392,1238782288676126720,Directed,124,,1
1322157769923899392,47417550,Directed,125,,1
1322157769923899392,74756085,Directed,126,,1
1322156470457180161,10228272,Directed,127,,1
1322153729420873728,1231874189088481281,Directed,128,,1
1322151739777339397,64706049,Directed,129,,1
1322150553149935622,1261045607659077634,Directed,130,,1
1322150553149935622,34668906,Directed,131,,1
1322150553149935622,142393421,Directed,132,,1
1322144753010487297,712789263788670976,Directed,133,,1
1322144753010487297,139183350,Directed,134,,1
1322143898605654021,17953262,Directed,135,,1
1322143188488998912,174818242,Directed,136,,1
1322143188488998912,2438646962,Directed,137,,1
1322141770768093185,1253183357711790080,Directed,138,,1
1322139774472364032,1253183357711790080,Directed,139,,1
1322139347378982912,342403919,Directed,140,,1
1322138385113370624,4377908416,Directed,141,,1
1322138385113370624,1337775026041479168,Directed,142,,1
1322138385113370624,74756085,Directed,143,,1
1322137011512291334,1258147227920412675,Directed,144,,1
1322136502416117760,74756085,Directed,145,,1
1322135302329245698,1148318806303027205,Directed,146,,1
1322135302329245698,128372940,Directed,147,,1
1322135048661991424,1253183357711790080,Directed,148,,1
1322132839182290945,1242471700257595403,Directed,149,,1
1322132791065251840,887287109937229824,Directed,150,,1
1322132791065251840,1245174342792724480,Directed,151,,1
1322132791065251840,1170294204930637824,Directed,152,,1
1322132791065251840,54341363,Directed,153,,1
1322132140709040130,145029422,Directed,154,,1
1322132140709040130,1003301201285435392,Directed,155,,1
1322132140709040130,1283036402960269319,Directed,156,,1
1322132000938037248,10228272,Directed,157,,1
1322131931392286720,139183350,Directed,158,,1
1322131856276508672,1312811383965257728,Directed,159,,1
1322131856276508672,1306593454483410946,Directed,160,,1
1322131856276508672,67743084,Directed,161,,1
1322131856276508672,840279237785444352,Directed,162,,1
1322131856276508672,87282944,Directed,163,,1
1322128429731426304,1071408436531904512,Directed,164,,1
1322127081518542849,1238460604270116864,Directed,165,,1
1322126034460905472,52041533,Directed,166,,1
1322126034460905472,10,Directed,167,,1
1322126034460905472,1217490034892443650,Directed,168,,1
1322126034460905472,90289968,Directed,169,,1
1322126034460905472,1222939896349970432,Directed,170,,1
