Source,Target,Type,Label,timeset,Weight
1255646729329872898,1494658207,Directed,0,,1
1255645609429815296,128372940,Directed,1,,1
1255645594187636736,74756085,Directed,2,,1
1255645522775486464,14594813,Directed,3,,1
1255645028850053131,13124602,Directed,4,,1
1255641396557594631,2797010717,Directed,5,,1
1255639798787772417,4452387711,Directed,6,,1
1255635144238608384,8802752,Directed,7,,1
1255635079512174599,1184951435039068167,Directed,8,,1
1255633581139021830,30070288,Directed,9,,1
1255633135871688704,2816318949,Directed,10,,1
1255633093509210116,809124436880322561,Directed,11,,1
1255629958497656832,74756085,Directed,12,,1
1255629486827151364,21207962,Directed,13,,1
1255628525991792641,825477081110867968,Directed,14,,1
1255628170419732483,762402774260875265,Directed,15,,1
1255628139163721728,21207962,Directed,16,,1
1255628072650448897,74756085,Directed,17,,1
1255627524702457856,129610712,Directed,18,,1
1255627380577746948,74756085,Directed,19,,1
1255626526701375490,74756085,Directed,20,,1
1255626246249156608,74756085,Directed,21,,1
1255625462581268480,74756085,Directed,22,,1
1255625236835217408,74756085,Directed,23,,1
1255621679482535936,2880932962,Directed,24,,1
1255619918965485569,62900055,Directed,25,,1
1255619690560454658,1142902008535535616,Directed,26,,1
1255617766809317376,36645256,Directed,27,,1
1255616551270715392,8802752,Directed,28,,1
1255616520375414785,13124602,Directed,29,,1
1255615544763600897,12200812,Directed,30,,1
1255611459154960384,55767644,Directed,31,,1
1255611047672778753,216777909,Directed,32,,1
1255608759419834372,1132709280526815233,Directed,33,,1
1255608565932359680,17752026,Directed,34,,1
1255608522080911363,29274419,Directed,35,,1
1255608055766581255,78148969,Directed,36,,1
1255607749305602049,885868623994245120,Directed,37,,1
1255607142834462721,1892161033,Directed,38,,1
1255607045719494658,14594813,Directed,39,,1
1255606036930670595,57788508,Directed,40,,1
1255605308640067589,13124602,Directed,41,,1
1255602944143212545,14173315,Directed,42,,1
1255600685586006016,1204982354,Directed,43,,1
1255600369369075712,74756085,Directed,44,,1
1255599769071890435,993146341294596096,Directed,45,,1
1255598976969170944,31161322,Directed,46,,1
1255598458431471616,8802752,Directed,47,,1
1255596098091200512,885868623994245120,Directed,48,,1
1255594092551114755,13769472,Directed,49,,1
1255593947004624899,40548874,Directed,50,,1
1255590954985193475,56470032,Directed,51,,1
1255590610200858627,131286287,Directed,52,,1
1255590334391881729,34164237,Directed,53,,1
1255590287348568069,13124602,Directed,54,,1
1255590249146744842,13124602,Directed,55,,1
1255587483246628865,245975946,Directed,56,,1
1255586125659471873,216777909,Directed,57,,1
1255583490747387906,3984632307,Directed,58,,1
1255582408793034752,14579710,Directed,59,,1
1255578862056083460,885868623994245120,Directed,60,,1
1255577552086806529,9317502,Directed,61,,1
1255576576424640513,948946378939609089,Directed,62,,1
1255575981173039105,9722452,Directed,63,,1
1255575019138289669,52722451,Directed,64,,1
1255574635963392000,2880932962,Directed,65,,1
1255573664512294912,75031882,Directed,66,,1
1255571801679310856,216777909,Directed,67,,1
1255571191370309632,216777909,Directed,68,,1
1255570202017902599,147656601,Directed,69,,1
1255570023021715463,216777909,Directed,70,,1
1255570020828098560,65749516,Directed,71,,1
1255569880532815877,70799317,Directed,72,,1
1255569773645254660,14594698,Directed,73,,1
1255569547127652353,70799317,Directed,74,,1
1255568693150572544,242880993,Directed,75,,1
1255566995824746496,1042601099566436352,Directed,76,,1
1255566168448000001,2797010717,Directed,77,,1
1255565424743366658,500290601,Directed,78,,1
1255564505603608577,1248983147682947073,Directed,79,,1
1255560434289172481,224628959,Directed,80,,1
1255560025264832513,54341363,Directed,81,,1
1255557835166973952,885868623994245120,Directed,82,,1
1255556467035385860,78148969,Directed,83,,1
1255555814829539329,13124602,Directed,84,,1
1255555656666566659,35751569,Directed,85,,1
1255555265421811712,43041690,Directed,86,,1
1255554814160834561,29274419,Directed,87,,1
1255554109199069184,3003883504,Directed,88,,1
1255553902432395264,9317502,Directed,89,,1
1255553892403871760,1142902008535535616,Directed,90,,1
1255553677680656386,1093695069176000512,Directed,91,,1
1255553004473909248,885868623994245120,Directed,92,,1
1255549917432512513,1917731,Directed,93,,1
1255549287687208960,78148969,Directed,94,,1
1255547683567284225,13124602,Directed,95,,1
1255544972998324224,11140932,Directed,96,,1
1255543287009751042,69650953,Directed,97,,1
1255542010150256642,13124602,Directed,98,,1
1255540373910433793,809124436880322561,Directed,99,,1
1255537733386350593,70799317,Directed,100,,1
1255536294425497600,35268237,Directed,101,,1
1255535729792475142,78148969,Directed,102,,1
1255534990487621632,106175018,Directed,103,,1
1255534757804474368,1033894968857960448,Directed,104,,1
1255533823481327617,19593634,Directed,105,,1
1255533388934656006,2670726740,Directed,106,,1
1255529400382128128,9317502,Directed,107,,1
1255528528218673156,15754806,Directed,108,,1
1255528519460745216,115939053,Directed,109,,1
1255528214090440704,1120399498692497408,Directed,110,,1
1255527281122070528,43340387,Directed,111,,1
1255523925557235714,9317502,Directed,112,,1
1255523396819058688,9317502,Directed,113,,1
1255522938893348866,167489707,Directed,114,,1
1255521626520764419,9317502,Directed,115,,1
1255521522527109122,78148969,Directed,116,,1
1255520302332862472,1798238012,Directed,117,,1
1255518188852391936,29274419,Directed,118,,1
1255517745560551424,70799317,Directed,119,,1
1255517142973325313,9317502,Directed,120,,1
1255514959213211654,10842792,Directed,121,,1
1255514598008070147,29274419,Directed,122,,1
1255513877703467014,29274419,Directed,123,,1
1255513512111202304,70799317,Directed,124,,1
1255513134644768768,70799317,Directed,125,,1
1255512163919298566,1117800649914294275,Directed,126,,1
1255512100467867648,70799317,Directed,127,,1
1255511814080737281,70799317,Directed,128,,1
1255510324062666755,92037964,Directed,129,,1
