Source,Target,Type,Label,timeset,Weight
1300219965329596417,1000388273792045056,Directed,0,,1
1300218842933796864,1230295072446537728,Directed,1,,1
1300217398025478145,180149692,Directed,2,,1
1300212715428995072,14128609,Directed,3,,1
1300211800751955969,994303120376303616,Directed,4,,1
1300211293761175553,975127727501185025,Directed,5,,1
1300207822987235330,18436797,Directed,6,,1
1300206010188156928,250769217,Directed,7,,1
1300198094370471936,54341363,Directed,8,,1
1300196738180034561,54341363,Directed,9,,1
1300194333128359936,77790994,Directed,10,,1
1300191726397804546,64376886,Directed,11,,1
1300191590468784128,45447020,Directed,12,,1
1300190762018181120,52499387,Directed,13,,1
1300189647688077312,9317502,Directed,14,,1
1300189629119959045,32101740,Directed,15,,1
1300184413641347072,1156020856084000769,Directed,16,,1
1300183960094421004,54341363,Directed,17,,1
1300179675185131531,8802752,Directed,18,,1
1300178640940998658,799972954645942272,Directed,19,,1
1300177807096590337,10012122,Directed,20,,1
1300177464388444161,1263116073777364992,Directed,21,,1
1300175133705986048,1186340935124291586,Directed,22,,1
1300173979538333697,9317502,Directed,23,,1
1300173077083381760,102478163,Directed,24,,1
1300170727174418439,4548359297,Directed,25,,1
1300168926085763072,1105126592370618370,Directed,26,,1
1300168540130025478,1142142815117484032,Directed,27,,1
1300163328048848896,1180659313595031560,Directed,28,,1
1300162515968634882,1120399498692497408,Directed,29,,1
1300161966246440960,18048681,Directed,30,,1
1300157430979006465,41280003,Directed,31,,1
1300153696903483394,166751878,Directed,32,,1
1300149888697671683,1255222024030564361,Directed,33,,1
1300149073702522883,1228070869936885760,Directed,34,,1
1300146681753862145,215322898,Directed,35,,1
1300144079540563968,183398510,Directed,36,,1
1300139680185421824,1274430065087000582,Directed,37,,1
1300138061100126210,991019970803978245,Directed,38,,1
1300136412482764800,894281995689349120,Directed,39,,1
1300130231618080769,1623272011,Directed,40,,1
1300127794467348480,31511871,Directed,41,,1
1300123940958986246,916419468884135936,Directed,42,,1
1300123656740319232,31511871,Directed,43,,1
1300119845753761793,1206696073231773696,Directed,44,,1
1300119678795296768,357030742,Directed,45,,1
1300119340373757953,335141638,Directed,46,,1
1300118907550863360,16794066,Directed,47,,1
1300114786311720960,8802752,Directed,48,,1
1300105371269431297,1081497572538306560,Directed,49,,1
1300104304012013568,32101740,Directed,50,,1
1300102131597414403,1029093933207506944,Directed,51,,1
1300101207986503680,890960460224319488,Directed,52,,1
1300100923503579139,25390350,Directed,53,,1
1300090910974377989,126313462,Directed,54,,1
1300090666530279424,15007299,Directed,55,,1
1300089162918440961,1082939283298811904,Directed,56,,1
1300088698990735361,1074682842192453633,Directed,57,,1
1300087400820072448,54341363,Directed,58,,1
1300083999877017601,83224693,Directed,59,,1
1300082583351562242,60062381,Directed,60,,1
1300080746409926658,27011708,Directed,61,,1
1300069617231187969,87282944,Directed,62,,1
1300065437196185601,36712981,Directed,63,,1
1300056920875827202,53226177,Directed,64,,1
1300050282110480384,975127727501185025,Directed,65,,1
1300050008390144001,52499387,Directed,66,,1
1300047600075395072,16794066,Directed,67,,1
1300043537581592577,1267626458958233603,Directed,68,,1
1300039379273080833,15007299,Directed,69,,1
1300032769901330432,1236701526367907841,Directed,70,,1
1300028075388940288,14754376,Directed,71,,1
1300021372803067905,32101740,Directed,72,,1
1300013407635210241,54341363,Directed,73,,1
1300002462343016448,74444498,Directed,74,,1
1299996276415696896,87282944,Directed,75,,1
1299987683859664896,6134882,Directed,76,,1
1299966916627316736,2382060517,Directed,77,,1
1299966909300043777,930595881304260608,Directed,78,,1
1299958244987867136,285699947,Directed,79,,1
1299951690116980737,49813780,Directed,80,,1
1299947450116038656,0,Directed,81,,1
1299947141343907840,1,Directed,82,,1
1299938592991608832,2,Directed,83,,1
1299936345821974528,3,Directed,84,,1
1299923730525753344,4,Directed,85,,1
1299915220224221185,5,Directed,86,,1
1299908693669052417,1030306403980898304,Directed,87,,1
1299907245493415937,2804949532,Directed,88,,1
1299906682525548544,183398510,Directed,89,,1
1299906510504501251,1292138601992654849,Directed,90,,1
1299905721312653317,2164761880,Directed,91,,1
1299905278071238657,76049312,Directed,92,,1
1299902108192378883,975127727501185025,Directed,93,,1
1299892499058692096,1149778158306103296,Directed,94,,1
1299891619966210048,1109504619380727808,Directed,95,,1
1299891319972732929,15007299,Directed,96,,1
1299890641980338176,1260512360193757184,Directed,97,,1
1299883936328355842,265564039,Directed,98,,1
1299880403055136768,395344095,Directed,99,,1
1299875855682994176,38799818,Directed,100,,1
1299873234440122371,1105126592370618370,Directed,101,,1
1299871788009222145,1044787077282496512,Directed,102,,1
1299869780976046080,914649029979594752,Directed,103,,1
1299868690951921666,1652541,Directed,104,,1
1299863853715554305,2544766821,Directed,105,,1
1299861189288226817,248890506,Directed,106,,1
1299861096451448834,885283199307436032,Directed,107,,1
1299859445627924480,1037152208754823168,Directed,108,,1
