Source,Target,Type,Label,timeset,Weight
1266881856076689412,159182079,Directed,0,,1
1266881061742686214,74756085,Directed,1,,1
1266880774533451776,14594698,Directed,2,,1
1266879295093342210,8802752,Directed,3,,1
1266879025466806278,1138847289978626049,Directed,4,,1
1266878378348601344,1138847289978626049,Directed,5,,1
1266877844879224833,21149462,Directed,6,,1
1266877236478697478,58065771,Directed,7,,1
1266876810295414784,58390909,Directed,8,,1
1266876632465358848,3331429624,Directed,9,,1
1266876465452396546,759001618884939776,Directed,10,,1
1266876213336977409,76049312,Directed,11,,1
1266874646093152259,159182079,Directed,12,,1
1266874423212195842,1083774484123975680,Directed,13,,1
1266873106662121477,1523748277,Directed,14,,1
1266872911236927489,43340817,Directed,15,,1
1266872257575555073,1083774484123975680,Directed,16,,1
1266871410858885121,168520768,Directed,17,,1
1266870482680283136,58007416,Directed,18,,1
1266870085010034689,964709709566611457,Directed,19,,1
1266869903597985792,45409867,Directed,20,,1
1266869491251675142,74756085,Directed,21,,1
1266868464968511491,1054790640637227008,Directed,22,,1
1266867815161749508,809124436880322561,Directed,23,,1
1266866911607951361,1137581080788307968,Directed,24,,1
1266866875285286918,809124436880322561,Directed,25,,1
1266866767206498304,1137581080788307968,Directed,26,,1
1266866739436040192,983022622249312257,Directed,27,,1
1266866618027724800,759001618884939776,Directed,28,,1
1266866321481961474,128372940,Directed,29,,1
1266865167532535809,74756085,Directed,30,,1
1266863470194184196,168520768,Directed,31,,1
1266863330309914625,50769180,Directed,32,,1
1266863227956314114,1218553336695263237,Directed,33,,1
1266862699700461569,1262944997118181385,Directed,34,,1
1266862105480892416,1067181177356894210,Directed,35,,1
1266861584946782210,54341363,Directed,36,,1
1266861002676736003,1137581080788307968,Directed,37,,1
1266860192861433858,128372940,Directed,38,,1
1266859464629633027,34740038,Directed,39,,1
1266859266671104008,859207742489276416,Directed,40,,1
1266859017525235714,759001618884939776,Directed,41,,1
1266858838512283650,14594698,Directed,42,,1
1266857693224013827,55536488,Directed,43,,1
1266857257750294528,1137581080788307968,Directed,44,,1
1266856730228596737,1083774484123975680,Directed,45,,1
1266855936037195776,1083774484123975680,Directed,46,,1
1266855806680645634,168520768,Directed,47,,1
1266855571770179585,1083774484123975680,Directed,48,,1
1266855230286622720,1137581080788307968,Directed,49,,1
1266854582526840832,74756085,Directed,50,,1
1266854413093801987,168520768,Directed,51,,1
1266852609689817089,168520768,Directed,52,,1
1266852382534774784,128372940,Directed,53,,1
1266852339555729411,964709709566611457,Directed,54,,1
1266851943919607809,1083774484123975680,Directed,55,,1
1266851710967955456,1220340678682726400,Directed,56,,1
1266851460551192578,1083774484123975680,Directed,57,,1
1266850425824821248,20534316,Directed,58,,1
1266850035515392003,926688202718695424,Directed,59,,1
1266849288396713985,759001618884939776,Directed,60,,1
1266848921852219394,14171352,Directed,61,,1
1266848660148682752,35805725,Directed,62,,1
1266848542339092487,74756085,Directed,63,,1
1266846303595704321,64756571,Directed,64,,1
1266846263892414465,45409867,Directed,65,,1
1266845962460377093,1255625577228316672,Directed,66,,1
1266844655351668737,74756085,Directed,67,,1
1266843958057058304,841318376836337664,Directed,68,,1
1266843376399327232,54341363,Directed,69,,1
1266841670424891395,310550036,Directed,70,,1
1266841306145394691,1164294179662520320,Directed,71,,1
1266841232598278147,2182634120,Directed,72,,1
1266840565343272960,1137581080788307968,Directed,73,,1
1266840175965077508,894281995689349120,Directed,74,,1
1266839556520914947,859207742489276416,Directed,75,,1
1266839005708070927,64773188,Directed,76,,1
1266838869800075264,2864642236,Directed,77,,1
1266838475090919424,9317502,Directed,78,,1
1266837680949735430,1262944997118181385,Directed,79,,1
1266836394925797380,116519514,Directed,80,,1
1266835330428174336,1156039853236113408,Directed,81,,1
1266834171676299275,1083774484123975680,Directed,82,,1
1266833306823397379,14466478,Directed,83,,1
1266831771129307137,74756085,Directed,84,,1
1266830468873441283,15083119,Directed,85,,1
1266830090756919296,1587184928,Directed,86,,1
1266827084070096896,1126889518286684161,Directed,87,,1
1266826031048114177,1137581080788307968,Directed,88,,1
1266825315323654145,240788563,Directed,89,,1
1266825282155134978,1083774484123975680,Directed,90,,1
1266824433244745728,1231601422854172672,Directed,91,,1
1266822952848424966,9317502,Directed,92,,1
1266822036279758850,2632802395,Directed,93,,1
1266821607340867591,70799317,Directed,94,,1
1266821564189851652,2880932962,Directed,95,,1
1266818921971269640,2880932962,Directed,96,,1
1266818744921268225,1245840374213611521,Directed,97,,1
1266818620866408449,372344970,Directed,98,,1
1266817110325559302,1137581080788307968,Directed,99,,1
1266816663602827264,138510653,Directed,100,,1
1266815789589553152,2880932962,Directed,101,,1
1266814291103145986,751854434360131584,Directed,102,,1
1266812882429399041,115989910,Directed,103,,1
1266812110111158272,2252849934,Directed,104,,1
1266811615695056898,1137581080788307968,Directed,105,,1
1266809297868120066,74756085,Directed,106,,1
1266808577169207300,18297088,Directed,107,,1
1266800598172815360,134629415,Directed,108,,1
1266796617207816198,14594698,Directed,109,,1
1266796067225559048,2632802395,Directed,110,,1
1266794002243825670,74756085,Directed,111,,1
1266792950878609408,1071408436531904512,Directed,112,,1
