Source,Target,Type,Label,timeset,Weight
1333198101855817729,764655759510663168,Directed,0,,1
1333197800952258561,14594698,Directed,1,,1
1333193516445523971,52516564,Directed,2,,1
1333191971167461376,67150902,Directed,3,,1
1333191280915001344,1271497757455499264,Directed,4,,1
1333187345978417153,3296785590,Directed,5,,1
1333185689240866817,2880932962,Directed,6,,1
1333184039633694721,1255166742273425409,Directed,7,,1
1333183195723014145,116519514,Directed,8,,1
1333181617775501313,3386617823,Directed,9,,1
1333180255901724675,1077975469788667905,Directed,10,,1
1333179826459586561,1196207508647546881,Directed,11,,1
1333178242497454082,142393421,Directed,12,,1
1333175000078102529,1045796767755849730,Directed,13,,1
1333172536000057345,2880932962,Directed,14,,1
1333165943736963075,112615383,Directed,15,,1
1333165551947014145,142099412,Directed,16,,1
1333163039777042439,158135725,Directed,17,,1
1333162847451435008,1271497757455499264,Directed,18,,1
1333162611538612225,702538741601140736,Directed,19,,1
1333159910234853382,116344930,Directed,20,,1
1333156647263481857,531563475,Directed,21,,1
1333154887740350465,18048666,Directed,22,,1
1333153510402166789,1145737805211025408,Directed,23,,1
1333148264393306115,14594698,Directed,24,,1
1333139234312609792,13769472,Directed,25,,1
1333139015437078534,13769472,Directed,26,,1
1333138876500750337,35747858,Directed,27,,1
1333136325025869826,70799317,Directed,28,,1
1333135970296881153,3342228616,Directed,29,,1
1333135361757810689,1145737805211025408,Directed,30,,1
1333134025897242624,116716199,Directed,31,,1
1333129704942006273,14754376,Directed,32,,1
1333129365589282821,1145737805211025408,Directed,33,,1
1333128318972014602,1299692244740591617,Directed,34,,1
1333128046958817284,91430932,Directed,35,,1
1333127499241447430,1271497757455499264,Directed,36,,1
1333125218165022728,1211794685338931200,Directed,37,,1
1333124480873455621,0,Directed,38,,1
1333123167292895233,1,Directed,39,,1
1333115050299715586,2,Directed,40,,1
1333114607561560072,3,Directed,41,,1
1333114348018032640,4,Directed,42,,1
1333110149502935043,5,Directed,43,,1
1333105532333404164,6,Directed,44,,1
1333099664065908741,7,Directed,45,,1
1333096005651353602,8,Directed,46,,1
1333095858431258624,9,Directed,47,,1
1333095570014154752,10,Directed,48,,1
1333092354597728258,11,Directed,49,,1
1333087182567960579,12,Directed,50,,1
1333086287134330881,13,Directed,51,,1
1333085396801032195,14,Directed,52,,1
1333085107712913408,15,Directed,53,,1
1333083991000412161,16,Directed,54,,1
1333078874641604609,17,Directed,55,,1
1333075790234329091,18,Directed,56,,1
1333075112992665607,19,Directed,57,,1
1333075106323718146,15249841,Directed,58,,1
1333074754169921550,39416218,Directed,59,,1
1333073078709051393,1271497757455499264,Directed,60,,1
1333072933338615808,1050174967298629633,Directed,61,,1
1333072325625991169,3342228616,Directed,62,,1
1333070266159804424,1271497757455499264,Directed,63,,1
1333069282155040768,101360615,Directed,64,,1
1333065732045856770,43340387,Directed,65,,1
1333064473549139977,19667016,Directed,66,,1
1333063463296512001,54760282,Directed,67,,1
1333063233201201154,3199491069,Directed,68,,1
1333062653204422659,134647381,Directed,69,,1
1333048155517169666,788981141508395008,Directed,70,,1
1333045711148027907,1312028370088144896,Directed,71,,1
1333032061867790336,1315179224832061440,Directed,72,,1
1333030266458279936,1112897635319414784,Directed,73,,1
1333026702520410115,8802752,Directed,74,,1
1333025851286441987,770781940341288960,Directed,75,,1
1333024883190738945,67150902,Directed,76,,1
1333024020644683776,373609363,Directed,77,,1
1333019335711985665,2260454084,Directed,78,,1
1333017967261605888,1071408436531904512,Directed,79,,1
1333017955685314561,1093980776205570049,Directed,80,,1
1333016304916328460,90965235,Directed,81,,1
1333014956330127360,83047809,Directed,82,,1
1333003055189684230,74626513,Directed,83,,1
1332999865236852736,1245562933700157446,Directed,84,,1
1332998265793630209,73254822,Directed,85,,1
1332924991172726784,14511951,Directed,86,,1
1332918027084582913,55481769,Directed,87,,1
1332917466083840002,55481769,Directed,88,,1
1332900284859899905,137545998,Directed,89,,1
1332899902901325826,1078618844007157761,Directed,90,,1
1332891471230488581,73254822,Directed,91,,1
1332884626126344192,67150902,Directed,92,,1
1332881688721043457,73254822,Directed,93,,1
1332877935653564417,23166886,Directed,94,,1
1332869975980339205,73254822,Directed,95,,1
1332866041098227715,1078618844007157761,Directed,96,,1
1332858642446626816,73254822,Directed,97,,1
1332857906912489473,452319009,Directed,98,,1
1332857125165535232,67150902,Directed,99,,1
1332856730150113283,36714704,Directed,100,,1
1332855247115530243,1289913726204813312,Directed,101,,1
1332855065707761665,70799317,Directed,102,,1
1332854679550693381,702538741601140736,Directed,103,,1
1332851285318639618,512700138,Directed,104,,1
1332845548190248960,702538741601140736,Directed,105,,1
1332842726136705024,1222939896349970432,Directed,106,,1
1332840640942641152,912492779669999616,Directed,107,,1
1332839712122408962,1679734056,Directed,108,,1
1332837763419435014,54341363,Directed,109,,1
1332837454437634048,1130195788850761728,Directed,110,,1
1332836741619834882,1280673152830447616,Directed,111,,1
1332836690080182278,702538741601140736,Directed,112,,1
1332836160310304768,702538741601140736,Directed,113,,1
1332833190273298453,9317502,Directed,114,,1
1332832951969738754,73254822,Directed,115,,1
1332832022885265411,2912705313,Directed,116,,1
1332829788793425920,1117608990823858178,Directed,117,,1
1332826530452529152,732586728989528065,Directed,118,,1
1332821942672437250,35805725,Directed,119,,1
1332821062367764480,2722294315,Directed,120,,1
1332820421671067648,1078618844007157761,Directed,121,,1
1332820046901620743,1260621728725831685,Directed,122,,1
1332818771539615755,1000388273792045056,Directed,123,,1
1332816523279429632,55481769,Directed,124,,1
1332816300108894209,52048790,Directed,125,,1
1332812641979559943,1197280453369184256,Directed,126,,1
1332810943563173891,55481769,Directed,127,,1
1332810244771237889,702538741601140736,Directed,128,,1
1332806534242373638,9317502,Directed,129,,1
1332806530895327234,1275081704042946562,Directed,130,,1
1332804073385455616,702538741601140736,Directed,131,,1
1332801825838424064,1250415659760017408,Directed,132,,1
1332800534873567232,702538741601140736,Directed,133,,1
1332797544586424322,1263954364986785793,Directed,134,,1
1332791042660311042,8802752,Directed,135,,1
1332788977389154310,2880932962,Directed,136,,1
1332784093369659392,702538741601140736,Directed,137,,1
1332782919186743296,45953391,Directed,138,,1
1332782360484601857,1100427039406997504,Directed,139,,1
1332779240832450560,1058935662,Directed,140,,1
1332778014925578242,747502989708038144,Directed,141,,1
1332775588462022658,1282385133937598464,Directed,142,,1
1332774608236404736,25858078,Directed,143,,1
1332773049855307779,128372940,Directed,144,,1
1332765885824716802,67150902,Directed,145,,1
1332758256964562945,775540569774944257,Directed,146,,1
1332755999074160642,1078618844007157761,Directed,147,,1
1332754606447800321,2260454084,Directed,148,,1
1332748133059715072,197283612,Directed,149,,1
1332746740399792128,22885574,Directed,150,,1
1332746156397490179,617677316,Directed,151,,1
1332744180259545088,197283612,Directed,152,,1
1332742621924626433,2880932962,Directed,153,,1
1332741761895116804,2923397967,Directed,154,,1
1332740986955554818,22885574,Directed,155,,1
1332740979082792965,769751968466305024,Directed,156,,1
1332740020407504897,19667016,Directed,157,,1
1332739285485805570,732586728989528065,Directed,158,,1
1332738836644966407,1330864513042747394,Directed,159,,1
1332737111376748546,926449001578278913,Directed,160,,1
1332736280178864136,33520195,Directed,161,,1
1332735860895342598,197283612,Directed,162,,1
1332733803731824646,1218378366392455170,Directed,163,,1
1332728857133281283,329012146,Directed,164,,1
1332728060987256833,1180890780115836929,Directed,165,,1
1332726489670881282,67150902,Directed,166,,1
1332722000574509058,15249841,Directed,167,,1
1332721628690706433,1078618844007157761,Directed,168,,1
1332720668211863557,8802752,Directed,169,,1
1332716090158428164,1032692932443365376,Directed,170,,1
1332713074898382850,54341363,Directed,171,,1
1332713018606628869,14594813,Directed,172,,1
1332712947999760385,1320075582777004035,Directed,173,,1
1332712032676818947,18161049,Directed,174,,1
1332709130239401985,67150902,Directed,175,,1
1332706208445292548,52722451,Directed,176,,1
1332705448152223744,9317502,Directed,177,,1
1332704414713475072,15249841,Directed,178,,1
1332704328650461184,54341363,Directed,179,,1
1332703473192800258,1020798087449776128,Directed,180,,1
1332703115112566784,9317502,Directed,181,,1
1332700836112330752,1097502125163188224,Directed,182,,1
1332700835319517184,1263968570964348930,Directed,183,,1
1332700204110327809,85241358,Directed,184,,1
1332699426113150976,85241358,Directed,185,,1
1332699130427297794,1290634070213435393,Directed,186,,1
