Source,Target,Type,Label,timeset,Weight
1322316003271913472,2880932962,Directed,0,,1
1322314410052980741,1016440823683174401,Directed,1,,1
1322308677420941312,1016440823683174401,Directed,2,,1
1322307921947074563,2960941317,Directed,3,,1
1322291468195811329,226711625,Directed,4,,1
1322280120556683267,1050174967298629633,Directed,5,,1
1322275744882589698,758514670265401344,Directed,6,,1
1322275317931745280,1109504619380727808,Directed,7,,1
1322272130747301888,722225468783620096,Directed,8,,1
1322272019468242945,2981289875,Directed,9,,1
1322270308980674567,14594813,Directed,10,,1
1322264883363274752,16794066,Directed,11,,1
1322258898015916033,12757002,Directed,12,,1
1322250994311454720,260509524,Directed,13,,1
1322250267409211392,1248628200952827910,Directed,14,,1
1322233716316479488,128372940,Directed,15,,1
1322230218396995588,354095556,Directed,16,,1
1322224617935802368,798892388366381056,Directed,17,,1
1322222568015826944,4550317786,Directed,18,,1
1322209079457140738,1194704144579416064,Directed,19,,1
1322202422698221573,1050174967298629633,Directed,20,,1
1322198978264518657,18122496,Directed,21,,1
1322190418541424640,330436300,Directed,22,,1
1322186794578939905,2714933675,Directed,23,,1
1322184550684987397,64244022,Directed,24,,1
1322170909835337728,330436300,Directed,25,,1
1322169211968540672,128372940,Directed,26,,1
1322162804514848769,24802340,Directed,27,,1
1322136862123823105,1626294277,Directed,28,,1
1322135000725204997,64329731,Directed,29,,1
1322134299928383489,57830113,Directed,30,,1
1322133843692920833,74756085,Directed,31,,1
1322129822508851205,32529120,Directed,32,,1
1322127835910295552,1050174967298629633,Directed,33,,1
1322120097205526528,1096543637968773120,Directed,34,,1
1322118624946098176,83125338,Directed,35,,1
1322114080132485120,14594698,Directed,36,,1
1322076825124786177,85611444,Directed,37,,1
1322033967516798977,24802340,Directed,38,,1
1322028094220324864,1222939896349970432,Directed,39,,1
1322026605930254337,1068280852277313538,Directed,40,,1
1322023319953121280,1222939896349970432,Directed,41,,1
1322022885490307073,798892388366381056,Directed,42,,1
1322018174192279554,45447020,Directed,43,,1
1322016782295683072,1222939896349970432,Directed,44,,1
1322008029257207808,1222939896349970432,Directed,45,,1
1322007845903212548,33520195,Directed,46,,1
1322005315781562369,751854434360131584,Directed,47,,1
1322002662515200000,24802340,Directed,48,,1
1322001958253842438,56457949,Directed,49,,1
1321995990593904640,1003301201285435392,Directed,50,,1
1321995224344858625,26047901,Directed,51,,1
1321994011826151425,1003301201285435392,Directed,52,,1
1321993865423998976,59150875,Directed,53,,1
1321992564371869696,2396473873,Directed,54,,1
1321991936006344704,1057609248606224386,Directed,55,,1
1321990833139310592,26047901,Directed,56,,1
1321988540520140800,2228816504,Directed,57,,1
1321981144586461185,1266739762905432067,Directed,58,,1
1321980700917157888,243729276,Directed,59,,1
1321980176121647104,56457949,Directed,60,,1
1321977861797011459,15669034,Directed,61,,1
1321977534653878273,1254286856377831431,Directed,62,,1
1321974849502404614,82271629,Directed,63,,1
1321974548464545793,75270377,Directed,64,,1
1321973973740101632,1096468083022200832,Directed,65,,1
1321973492372414464,1076971229515530241,Directed,66,,1
1321972194910576650,790680,Directed,67,,1
1321971526414094337,8802752,Directed,68,,1
1321971175099125761,1003301201285435392,Directed,69,,1
1321969625815519239,33520195,Directed,70,,1
1321959209106395141,97468342,Directed,71,,1
1321959180639653888,24802340,Directed,72,,1
1321958137130340356,96855593,Directed,73,,1
1321957625949552641,1626406039,Directed,74,,1
1321956646164271106,1050174967298629633,Directed,75,,1
1321950123157561344,1308898916834967554,Directed,76,,1
1321949200230350851,1003301201285435392,Directed,77,,1
1321948576147267585,1222939896349970432,Directed,78,,1
1321948209355304961,36373308,Directed,79,,1
1321944433001144320,45447020,Directed,80,,1
1321943710049935361,70799317,Directed,81,,1
1321936494177718274,6135602,Directed,82,,1
1321933549809901568,73254822,Directed,83,,1
1321933496546447367,20923479,Directed,84,,1
1321932676878708737,1222939896349970432,Directed,85,,1
1321929833094520832,2880932962,Directed,86,,1
1321928398571188226,33520195,Directed,87,,1
1321926986906873859,2981289875,Directed,88,,1
1321925452005593088,1108070996572061696,Directed,89,,1
1321921991239176193,357030742,Directed,90,,1
1321919978342371332,1246847906612752386,Directed,91,,1
1321912252136673286,2804949532,Directed,92,,1
1321911690280292356,90963197,Directed,93,,1
1321911402504851456,14594698,Directed,94,,1
1321905284047081472,28171150,Directed,95,,1
1321905103452934146,993546816800124928,Directed,96,,1
1321902035848089601,33374761,Directed,97,,1
1321900309883609088,204136120,Directed,98,,1
1321899526274355201,51208489,Directed,99,,1
1321897549784096768,67150902,Directed,100,,1
1321896833531154432,67150902,Directed,101,,1
1321895044362719233,67150902,Directed,102,,1
1321888411658190850,1222939896349970432,Directed,103,,1
1321888148369117187,18122496,Directed,104,,1
1321888094291976198,18122496,Directed,105,,1
1321884613371977728,2479861125,Directed,106,,1
1321882533576015874,248890506,Directed,107,,1
1321881719918743555,24802340,Directed,108,,1
1321880897587728384,3120745861,Directed,109,,1
1321877063075270658,14499351,Directed,110,,1
1321875497828179968,56457949,Directed,111,,1
1321871106614218752,8802752,Directed,112,,1
1321869344092151808,248890506,Directed,113,,1
1321868623988822016,80890618,Directed,114,,1
1321868610021806088,24802340,Directed,115,,1
1321859824288759809,83464899,Directed,116,,1
