Source,Target,Type,Label,timeset,Weight
1311086403141480451,36714942,Directed,0,,1
1311079248623546369,3132929881,Directed,1,,1
1311072239681495040,9612112,Directed,2,,1
1311066341609058304,70799317,Directed,3,,1
1311063002809077760,14270103,Directed,4,,1
1311062508199981059,54341363,Directed,5,,1
1311056787613810689,1003449594288668672,Directed,6,,1
1311053955334627328,8802752,Directed,7,,1
1311048952318435335,1120119091744919552,Directed,8,,1
1311048731849043971,1163562471854133250,Directed,9,,1
1311037100331085824,1150815283390615553,Directed,10,,1
1311036919040675841,9317502,Directed,11,,1
1311030443203063809,1271606781874241538,Directed,12,,1
1311027138733236224,1051033474784796672,Directed,13,,1
1311014474715930624,2880932962,Directed,14,,1
1311014426389229568,1298718080877514752,Directed,15,,1
1311011131293667330,735741240,Directed,16,,1
1311007773447122945,128372940,Directed,17,,1
1311006934284337152,24802340,Directed,18,,1
1311004389814013961,52849416,Directed,19,,1
1311001694969516033,16284725,Directed,20,,1
1311001285034901504,1199452700305448960,Directed,21,,1
1310995965344612355,30070288,Directed,22,,1
1310993480068542464,63010366,Directed,23,,1
1310992353826664449,342403919,Directed,24,,1
1310990681134059521,1546271816,Directed,25,,1
1310986885515313154,4579300287,Directed,26,,1
1310985435833946119,36687068,Directed,27,,1
1310981529145925632,975127727501185025,Directed,28,,1
1310978342183743490,64836589,Directed,29,,1
1310974602173190150,2860078520,Directed,30,,1
1310973258842484741,106714016,Directed,31,,1
1310971357451223042,727130698021261313,Directed,32,,1
1310970877052420096,63010366,Directed,33,,1
1310968653635084289,1081191967084765185,Directed,34,,1
1310961497284247555,1288203118069583874,Directed,35,,1
1310955545990434817,809124436880322561,Directed,36,,1
1310949304165691400,1252239875471966208,Directed,37,,1
1310940236399214595,790680,Directed,38,,1
1310904382461038592,102807162,Directed,39,,1
1310899743569203202,1053378751189397504,Directed,40,,1
1310897676372844545,14594698,Directed,41,,1
1310888318423494657,14594698,Directed,42,,1
1310887267813208066,65473559,Directed,43,,1
1310884566341758976,1105126592370618370,Directed,44,,1
1310882543236009984,1099793823918710788,Directed,45,,1
1310879774613606401,41524027,Directed,46,,1
1310868208216309762,14594698,Directed,47,,1
1310847265993633797,50311751,Directed,48,,1
1310842024942329856,8802752,Directed,49,,1
1310837007522959361,88629549,Directed,50,,1
1310829771035750400,82664640,Directed,51,,1
1310788160692137984,1086074842674315265,Directed,52,,1
1310787064959586304,14594698,Directed,53,,1
1310787036434108417,128372940,Directed,54,,1
1310775166314721281,1181629051309572096,Directed,55,,1
1310771468037484546,2828823327,Directed,56,,1
1310771333098344450,1105126592370618370,Directed,57,,1
1310769615681789958,167517041,Directed,58,,1
1310759851602083841,24237705,Directed,59,,1
1310755388543963136,1051033474784796672,Directed,60,,1
1310750739099201536,1051033474784796672,Directed,61,,1
1310749636043460608,14594698,Directed,62,,1
1310746845233192960,45409867,Directed,63,,1
1310738225988882432,46463401,Directed,64,,1
1310737416098115586,758264276,Directed,65,,1
1310736919676977160,128372940,Directed,66,,1
1310731851565281281,14594813,Directed,67,,1
1310731403806543872,27306366,Directed,68,,1
1310731044560293889,30070288,Directed,69,,1
1310730939174133760,14594698,Directed,70,,1
1310730836568928258,1286348662415806469,Directed,71,,1
1310729766220292096,1177237453255708672,Directed,72,,1
1310729687015055364,46463401,Directed,73,,1
1310724651585282048,128372940,Directed,74,,1
1310724598602903554,1055266143835955200,Directed,75,,1
1310715659500822530,133435134,Directed,76,,1
1310715066237489153,1191927595635560448,Directed,77,,1
1310713349597007874,193500696,Directed,78,,1
1310711631475810310,955586323452219393,Directed,79,,1
1310703113603633154,46463401,Directed,80,,1
1310699768960745473,128372940,Directed,81,,1
1310698572179005442,50311751,Directed,82,,1
1310698504818434048,36336107,Directed,83,,1
1310695996532424710,128372940,Directed,84,,1
1310689049443815424,30070288,Directed,85,,1
1310687429523894274,1172269482645041152,Directed,86,,1
1310685221398994945,955586323452219393,Directed,87,,1
1310671000665808897,248693492,Directed,88,,1
1310667119177146373,700641398756761600,Directed,89,,1
1310665714764836866,193500696,Directed,90,,1
1310665455825289216,112786548,Directed,91,,1
1310659779531071489,128372940,Directed,92,,1
1310658459067715586,994303120376303616,Directed,93,,1
1310655616680103940,1913013433,Directed,94,,1
1310651993191600129,1091812993640349696,Directed,95,,1
1310640120337502210,1250175069504122882,Directed,96,,1
1310638390170148865,2549092154,Directed,97,,1
1310634434090147840,128372940,Directed,98,,1
1310632638831566848,0,Directed,99,,1
1310630730163200007,1,Directed,100,,1
1310621208979927045,2,Directed,101,,1
1310620294701363203,3,Directed,102,,1
1310619081612169217,4,Directed,103,,1
