Source,Target,Type,Label,timeset,Weight
1322312296404836353,0,Directed,0,,1
1322296788188016640,1,Directed,1,,1
1322287626716631040,2,Directed,2,,1
1322279725016977411,3,Directed,3,,1
1322270366119636992,4,Directed,4,,1
1322259827020713985,5,Directed,5,,1
1322251595304869889,6,Directed,6,,1
1322244673352749061,7,Directed,7,,1
1322223131474407425,8,Directed,8,,1
1322212562969251841,9,Directed,9,,1
1322208411593936896,10,Directed,10,,1
1322197486866472960,11,Directed,11,,1
1322184154071654401,12,Directed,12,,1
1322174297746612225,13,Directed,13,,1
1322173186881060864,14,Directed,14,,1
1322173126667546630,15,Directed,15,,1
1322172851210854400,16,Directed,16,,1
1322172403297013763,17,Directed,17,,1
1322172260669640705,18,Directed,18,,1
1322163035021152256,19,Directed,19,,1
1322162871325904896,20,Directed,20,,1
1322162734188867584,21,Directed,21,,1
1322162646527942658,22,Directed,22,,1
1322162474670587905,23,Directed,23,,1
1322162386934136832,24,Directed,24,,1
1322162280986038272,25,Directed,25,,1
1322162206893637633,26,Directed,26,,1
1322160262661787649,27,Directed,27,,1
1322159935082385408,28,Directed,28,,1
1322159874319413248,29,Directed,29,,1
1322159789946929153,30,Directed,30,,1
1322159663845171202,31,Directed,31,,1
1322159373834199040,32,Directed,32,,1
1322158986339246080,33,Directed,33,,1
1322158845637070853,34,Directed,34,,1
1322158677806243847,35,Directed,35,,1
1322158571648393217,36,Directed,36,,1
1322158453427785728,37,Directed,37,,1
1322158342496804865,38,Directed,38,,1
1322158246573023238,39,Directed,39,,1
1322158138578116608,40,Directed,40,,1
1322158030792871936,41,Directed,41,,1
1322157902216527872,42,Directed,42,,1
1322157764085456896,43,Directed,43,,1
1322157656350609408,44,Directed,44,,1
1322157551195181056,45,Directed,45,,1
1322157452687802370,46,Directed,46,,1
1322157344055320579,47,Directed,47,,1
1322157246164410368,48,Directed,48,,1
1322157123527127043,49,Directed,49,,1
1322157027674755075,50,Directed,50,,1
1322156937945952256,51,Directed,51,,1
1322156630138671104,52,Directed,52,,1
1322156544432066562,53,Directed,53,,1
1322156318703132672,54,Directed,54,,1
1322156182916734978,55,Directed,55,,1
1322156087001440256,56,Directed,56,,1
1322155999273299968,57,Directed,57,,1
1322155847116562438,58,Directed,58,,1
1322155728996544512,59,Directed,59,,1
1322155563082567680,60,Directed,60,,1
1322155406278406144,61,Directed,61,,1
1322155275290353664,62,Directed,62,,1
1322155075549224965,63,Directed,63,,1
1322154788730056704,64,Directed,64,,1
1322154673944596481,65,Directed,65,,1
1322154529576656897,66,Directed,66,,1
1322154385221312513,67,Directed,67,,1
1322154259710959616,68,Directed,68,,1
1322154229751074819,69,Directed,69,,1
1322154056077529089,70,Directed,70,,1
1322153952474025984,71,Directed,71,,1
1322153863751892993,72,Directed,72,,1
1322153772307697664,73,Directed,73,,1
1322153687737864192,74,Directed,74,,1
1322153477133533186,75,Directed,75,,1
1322153328801886208,76,Directed,76,,1
1322153215941578759,77,Directed,77,,1
1322147352690438144,78,Directed,78,,1
1322144409983590402,79,Directed,79,,1
1322139411165913088,80,Directed,80,,1
1322136865030524928,81,Directed,81,,1
1322135137186992129,82,Directed,82,,1
1322132585686966272,83,Directed,83,,1
1322130746367246336,84,Directed,84,,1
1322130382033215489,85,Directed,85,,1
1322124136378937347,86,Directed,86,,1
1322119288812195841,87,Directed,87,,1
1322118843112787968,88,Directed,88,,1
1322118747918880770,89,Directed,89,,1
1322118624946098176,90,Directed,90,,1
1322060013037342722,91,Directed,91,,1
1322058040955293696,92,Directed,92,,1
1322056596554457088,93,Directed,93,,1
1322056483593441281,94,Directed,94,,1
1322039366840180743,95,Directed,95,,1
1322033734099652609,96,Directed,96,,1
1322024874932637700,97,Directed,97,,1
1322018515369578496,98,Directed,98,,1
1322008978231091200,99,Directed,99,,1
1321999675436781568,100,Directed,100,,1
1321986750613475328,101,Directed,101,,1
1321976451525214213,102,Directed,102,,1
1321971355689095170,103,Directed,103,,1
1321968186556928000,104,Directed,104,,1
1321965466156519425,105,Directed,105,,1
1321955408714543104,106,Directed,106,,1
1321946167891136513,107,Directed,107,,1
1321945780509384704,108,Directed,108,,1
1321943750000680961,2354811098,Directed,109,,1
1321942975891558401,1246586840557256705,Directed,110,,1
1321941600403132417,1222939896349970432,Directed,111,,1
1321938336563474432,1108471775191580672,Directed,112,,1
1321938074356666368,1222939896349970432,Directed,113,,1
1321932970073219077,1003301201285435392,Directed,114,,1
1321932950859075586,993423583245426688,Directed,115,,1
1321932759271673856,33520195,Directed,116,,1
1321932676878708737,1222939896349970432,Directed,117,,1
1321931372211003392,13769472,Directed,118,,1
1321927938368016385,341657886,Directed,119,,1
1321922019542372355,36373308,Directed,120,,1
1321918340068216833,1222939896349970432,Directed,121,,1
1321917507175882762,1076850381160964096,Directed,122,,1
1321915812584763394,1222939896349970432,Directed,123,,1
1321913356241031169,1003301201285435392,Directed,124,,1
1321905103452934146,993546816800124928,Directed,125,,1
1321902823588679687,396467221,Directed,126,,1
1321896271460864004,932740300212236290,Directed,127,,1
1321895923115560961,1003301201285435392,Directed,128,,1
1321895728717963264,1222939896349970432,Directed,129,,1
1321895491995664384,1282385133937598464,Directed,130,,1
1321890430460579840,1222939896349970432,Directed,131,,1
1321885156496592898,1003301201285435392,Directed,132,,1
1321882517742460929,1222939896349970432,Directed,133,,1
1321870142800875524,1076850381160964096,Directed,134,,1
1321866099017830402,1222939896349970432,Directed,135,,1
1321865443775229954,1222939896349970432,Directed,136,,1
1321863881816526849,1222939896349970432,Directed,137,,1
1321852972452712449,1076850381160964096,Directed,138,,1
1321852449947328512,1076850381160964096,Directed,139,,1
1321852141191995392,1076850381160964096,Directed,140,,1
1321850686888431620,143965763,Directed,141,,1
1321840475825983496,46803111,Directed,142,,1
1321833823269801990,13769472,Directed,143,,1
1321827341992103936,1076850381160964096,Directed,144,,1
1321827314594963456,1313128625680592896,Directed,145,,1
1321822199565721601,334135935,Directed,146,,1
1321820102879285249,25048816,Directed,147,,1
1321815209837764608,1076850381160964096,Directed,148,,1
1321801459357409280,1074209186752413696,Directed,149,,1
1321790953104003074,55885236,Directed,150,,1
1321780343192641536,1199206266759008256,Directed,151,,1
1321779146113077249,1076850381160964096,Directed,152,,1
1321772038122622976,1076850381160964096,Directed,153,,1
1321770007978745857,1076850381160964096,Directed,154,,1
1321768256655527937,1076850381160964096,Directed,155,,1
1321767992473038848,1076850381160964096,Directed,156,,1
1321706755349504000,1028015731,Directed,157,,1
1321684874013614080,56457949,Directed,158,,1
1321652065970642945,1120399498692497408,Directed,159,,1
1321623806310551555,1062831969476771842,Directed,160,,1
1321617333291462657,2279358840,Directed,161,,1
1321598845017591814,36638077,Directed,162,,1
1321597936657203201,119945574,Directed,163,,1
1321591476799852544,36638077,Directed,164,,1
1321584659352997889,1040704983358955526,Directed,165,,1
1321584618076819460,90042047,Directed,166,,1
1321583680154980352,2365378849,Directed,167,,1
1321580740824469505,128372940,Directed,168,,1
1321576298272165888,74756085,Directed,169,,1
1321576127132041224,1313128625680592896,Directed,170,,1
1321567993160179712,806344552718045184,Directed,171,,1
1321565789418377223,398785825,Directed,172,,1
1321558930074574848,224876110,Directed,173,,1
1321541639794544647,1076850381160964096,Directed,174,,1
1321541409091035136,1040704983358955526,Directed,175,,1
1321528179987783681,72722324,Directed,176,,1
1321520432835682306,575658149,Directed,177,,1
1321515007172136962,1157984524116156416,Directed,178,,1
1321507413149757443,806344552718045184,Directed,179,,1
1321490594615697409,1523748277,Directed,180,,1
1321459703273136130,1028015731,Directed,181,,1
1321455101614215179,806344552718045184,Directed,182,,1
1321453308440170496,1137581080788307968,Directed,183,,1
1321446984822259713,716131589286195200,Directed,184,,1
1321442509319557122,43340387,Directed,185,,1
1321439121508913152,18247062,Directed,186,,1
1321437881920094208,1066144755493543936,Directed,187,,1
1321431998758572032,311647088,Directed,188,,1
1321430961775644673,199275541,Directed,189,,1
1321430871140913152,18247062,Directed,190,,1
1321430470798749697,102803486,Directed,191,,1
1321427383669456898,54303075,Directed,192,,1
1321422526195650560,1076850381160964096,Directed,193,,1
1321422146229489668,894281995689349120,Directed,194,,1
1321421939731255296,1044948742368108544,Directed,195,,1
1321421345327095808,1114191182026944512,Directed,196,,1
1321419610147692547,1076850381160964096,Directed,197,,1
1321417222510776321,806344552718045184,Directed,198,,1
1321412061033861120,1076850381160964096,Directed,199,,1
1321404141474861056,1262969144531697665,Directed,200,,1
1321399504780906497,806344552718045184,Directed,201,,1
1321390952985100297,806344552718045184,Directed,202,,1
1321390754607091712,806344552718045184,Directed,203,,1
1321379557035954178,1028015731,Directed,204,,1
1321330254384955392,78957336,Directed,205,,1
1321327646161178624,1157984524116156416,Directed,206,,1
1321269256223412227,32101740,Directed,207,,1
1321266767063355403,1040704983358955526,Directed,208,,1
1321264972933058562,17934700,Directed,209,,1
1321263758296100867,1108091374086356993,Directed,210,,1
1321253286528339968,1282385133937598464,Directed,211,,1
1321246025508626437,1076850381160964096,Directed,212,,1
1321244554415190016,1085066069897822209,Directed,213,,1
1321243529679687683,17934700,Directed,214,,1
1321243249638580226,44333533,Directed,215,,1
1321234860833464325,1076850381160964096,Directed,216,,1
1321232659390078977,1256337486860759040,Directed,217,,1
1321219067836043270,14594813,Directed,218,,1
1321215618373324800,14594813,Directed,219,,1
1321204796175601666,932740300212236290,Directed,220,,1
1321196046249304068,975127727501185025,Directed,221,,1
1321188722071711753,15332531,Directed,222,,1
1321177033444118530,300095067,Directed,223,,1
1321163977200668675,33520195,Directed,224,,1
1321163974042394625,81842196,Directed,225,,1
1321162915790073858,266861485,Directed,226,,1
1321149971228491776,826002515791601665,Directed,227,,1
1321143098831998982,82271629,Directed,228,,1
1321142333681946624,1189245697582882817,Directed,229,,1
1321131437068832773,1157984524116156416,Directed,230,,1
1321130041821057025,266861485,Directed,231,,1
1321120059306217474,2592106943,Directed,232,,1
1321116485620740097,390774462,Directed,233,,1
1321116469250449411,1076850381160964096,Directed,234,,1
1321116388271001601,1076850381160964096,Directed,235,,1
1321116268783689729,1076850381160964096,Directed,236,,1
1321116211686576128,1076850381160964096,Directed,237,,1
1321115865811701765,1076850381160964096,Directed,238,,1
1321092989586997248,1076850381160964096,Directed,239,,1
1321088793731043333,49677865,Directed,240,,1
1321088499207016448,17091571,Directed,241,,1
1321083392956518408,1076850381160964096,Directed,242,,1
1321079965643902977,1076850381160964096,Directed,243,,1
1321079789986435072,1076850381160964096,Directed,244,,1
1321060112350515200,17715048,Directed,245,,1
1321052152673042433,18048681,Directed,246,,1
1321039951576924160,1076850381160964096,Directed,247,,1
1321038529145806848,1076850381160964096,Directed,248,,1
1321035935505670146,2259161310,Directed,249,,1
1321034351207993347,1076850381160964096,Directed,250,,1
1321034244018311174,1076850381160964096,Directed,251,,1
1321031126408925184,1090291692744466433,Directed,252,,1
1320973801044099073,1315704110457511937,Directed,253,,1
1320949161643155456,151984352,Directed,254,,1
1320927876745748482,14594813,Directed,255,,1
1320924404080119809,1076850381160964096,Directed,256,,1
1320924177742909442,1076850381160964096,Directed,257,,1
1320923919772274688,128372940,Directed,258,,1
1320923775672737792,151984352,Directed,259,,1
1320922909645381633,1076850381160964096,Directed,260,,1
1320922346438479873,1076850381160964096,Directed,261,,1
1320917848890449920,151984352,Directed,262,,1
1320914190517809156,123710016,Directed,263,,1
1320893996974120961,151984352,Directed,264,,1
1320882353565278210,975127727501185025,Directed,265,,1
1320879246596857857,52048790,Directed,266,,1
1320866085500030976,418830106,Directed,267,,1
1320860117777158145,151984352,Directed,268,,1
1320847362626101251,9317502,Directed,269,,1
1320835560852914181,1421721,Directed,270,,1
1320832863533760523,826002515791601665,Directed,271,,1
1320829426607792135,826002515791601665,Directed,272,,1
1320825768537182213,1212449586628874240,Directed,273,,1
1320824069613387778,280638438,Directed,274,,1
1320807924042747904,56457949,Directed,275,,1
1320801906164404225,151984352,Directed,276,,1
