Id,Label,timeset,users_can_post,link,category,talking_about_count,like_count
141778575922565,Beleza Sem Tamanho,,yes,https://www.facebook.com/BelezasemTamanhoBlog/,Society/Culture Website,61737,117212
893153407372009,Outlet Plus Size,,yes,https://www.facebook.com/plussizedescontos/,Community,5,929
183702091662611,Garotas Rosa Choque,,yes,https://www.facebook.com/GarotasRosaChoque/,Personal Blog,2674,26522
176035362557038,Pedro Nobre,,yes,https://www.facebook.com/opedronobre/,Public Figure,823,5592
382679915130926,Ney Fek,,yes,https://www.facebook.com/ney.fek/,Clothing,69,3655
404688852889676,Adelecentrismo,,yes,https://www.facebook.com/Adelecentrismo/,Entertainment Website,6,3485
419691654741839,Estação 365 Moda Feminina GG,,yes,https://www.facebook.com/estacao365gg/,Company,33,12568
141210266005082,SOU Gordinho SIM,,yes,https://www.facebook.com/SouGordinhoSim/,Health/Wellness Website,23,8235
161008580612230,Delícias da Rack,,no,https://www.facebook.com/deliciasdarackoficial/,Community,0,1905
194507617297324,Kelly Hato Fotografias - Photo+Art,,yes,https://www.facebook.com/KellyHatoFotografias/,Local Business,1,793
264175613598422,Best Size - Loja Virtual de Moda Plus Size,,yes,https://www.facebook.com/Best-Size-Loja-Virtual-de-Moda-Plus-Size-264175613598422/,Clothing,269,13523
292738067403489,Fluvia Lacerda *official*,,no,https://www.facebook.com/Fluvia-Lacerda-official-292738067403489/,Public Figure,26791,94315
229786170410532,Espaço Plus Size,,no,https://www.facebook.com/EspacoPlusSize/,Just For Fun,158,16042
190000937699646,Lunender,,yes,https://www.facebook.com/Lunender/,Clothing,1238,475939
253215021383818,Cambos,,yes,https://www.facebook.com/CambosOficial/,Clothing,452,37182
227859510593798,Dia de Amar Seu Corpo,,yes,https://www.facebook.com/diadeamarseucorpo/,Health/Beauty,2,938
227205427313701,I Believe,,yes,https://www.facebook.com/ibelievebr/,Health/Wellness Website,6,3007
115380398553479,Blog Débora Fernandes Plus,,no,https://www.facebook.com/blogdeborafernandesplus/,Clothing,2509,17709
313309908745548,Berry Moda Gestante,,yes,https://www.facebook.com/berrygestante/,Shopping/Retail,1260,5499
885593464796069,Mayara Além Do Peso,,yes,https://www.facebook.com/mayara.alemdopeso/,Public Figure,141,14252
1429709960624741,Líquido São José dos Campos,,yes,https://www.facebook.com/Líquido-São-José-dos-Campos-1429709960624741/,Clothing,140,9723
269340286558581,Über Nail - Spa de Unhas,,yes,https://www.facebook.com/ubernail/,Spas/Beauty/Personal Care,3,792
152469411574284,Pulp Fashion Week Paris - Plus Fashion Models,,no,https://www.facebook.com/Pulpfashionweek/,Organization,368,5379
1477600462503861,Luiza Rinaldi,,yes,https://www.facebook.com/luiza.rinaldi.3/,Shopping/Retail,11,3935
557062394328624,GIVY Fashion,,yes,https://www.facebook.com/givyfashion/,Clothing,27,2418
636211809731944,Elisa Pritsopoulos,,yes,https://www.facebook.com/elisapritsopoulos/,Coach,136,4209
201620369925977,Cia Athletica SJC,,no,https://www.facebook.com/CiaAthleticaSJC/,Sports/Recreation/Activities,239,14523
933986283299572,C&D Cia da Beleza,,yes,https://www.facebook.com/ced.dabeleza/,Spas/Beauty/Personal Care,18,8464
883630091693175,Toni,,yes,https://www.facebook.com/eusoutoni/,Fictional Character,3,1393
341698355948755,Dãrivam - Plus Size,,yes,https://www.facebook.com/darivamOficial/,Clothing,15,2588
436498646470365,Isso É Pauta,,yes,https://www.facebook.com/issoepauta/,Media/News/Publishing,12,1090
336385556388760,Jes Plus Culture,,yes,https://www.facebook.com/marcajes/,Clothing,153,3129
533339133394526,Léo Augusto Fotografia,,yes,https://www.facebook.com/LeoAugustoFotografia/,Camera/Photo,12,4938
243536735664387,Alinne Rosa - Frivolidades Essenciais de uma Mulher,,yes,https://www.facebook.com/BlogAlinneRosa/,Personal Blog,7,4474
1632222493671299,Clínica BYC,,yes,https://www.facebook.com/clinicabyc/,Spas/Beauty/Personal Care,176,3130
613889288626722,Sheila Make up,,yes,https://www.facebook.com/Sheila-Make-up-613889288626722/,Spas/Beauty/Personal Care,13,2115
225744650773236,LikeStore,,no,https://www.facebook.com/likestore/,Internet/Software,131,44189
660828923950713,Jardim,,no,https://www.facebook.com/jardimsjc/,Restaurant/Cafe,56,6385
790867414268928,Curvy Store,,no,https://www.facebook.com/Curvy-Store-790867414268928/,Clothing,1,707
637810726306431,Blog Plus Size,,yes,https://www.facebook.com/blogplussize/,Blogger,900,48173
237565506339587,Diva Paulista Moda Plus Size,,yes,https://www.facebook.com/divapaulista/,Shopping/Retail,7,3153
343983859041816,Maistrê Consultoria de Imagem,,no,https://www.facebook.com/maistreconsultoria/,Consulting/Business Services,25,1818
285875308186591,MODA GG PLUS SIZE,,yes,https://www.facebook.com/ModaGGPlusSize/,Community,1099,9398
397557203697654,Vex Gráfica Digital,,yes,https://www.facebook.com/vexgrafica/,Professional Services,2,1167
179133195578591,My Simple Life,,yes,https://www.facebook.com/imysimplelife/,Community,3,827
219850581558170,Gráfica Mapews,,yes,https://www.facebook.com/Gráfica-Mapews-219850581558170/,Company,4,130
105603346141658,OVALE,,no,https://www.facebook.com/jornalovale/,Media/News/Publishing,5735,47274
1524942087769539,Gloss Viajante,,yes,https://www.facebook.com/GlossViajante/,Blogger,1,218
146504285416022,Alpharrabyo,,no,https://www.facebook.com/curtaalpharrabyo/,Clothing,112,8627
517593958278049,Clube Melissa Pouso Alegre,,no,https://www.facebook.com/ClubeMelissaPousoAlegre/,Product/Service,228,5163
500217530021958,Empório Bijux Shopping Serra Sul MG,,yes,https://www.facebook.com/EmporioBijouxPousoAlegre/,Community,0,854
395733287156690,Result,,yes,https://www.facebook.com/resultjeans/,Clothing,40,24017
759689137437872,Abafa O Caso,,no,https://www.facebook.com/blogabafaocaso/,Personal Blog,213,3368
110881648985571,Outlet Lingerie,,no,https://www.facebook.com/OutletL/,Shopping/Retail,133,54179
146183372108809,Ket&Bros,,yes,https://www.facebook.com/KetBros-146183372108809/,Retail and Consumer Merchandise,4,518
157836307618325,Ogochi Menswear,,yes,https://www.facebook.com/ogochiwear/,Clothing,1183,131490
200573653426488,Suelen Fernanda Santana Pinto,,yes,https://www.facebook.com/Suelenpinto19/,Athlete,11,3254
466568436696066,Marcia Morais | Plus Size,,no,https://www.facebook.com/marciamoraisoficial/,Clothing,18,11598
380142048690399,Academia F4 Fitness,,yes,https://www.facebook.com/AcademiaF4Fitness/,Sports/Recreation/Activities,68,1572
385024594913328,Mega Vale Cosméticos,,yes,https://www.facebook.com/megavalecosmeticos/,Health/Beauty,141,12392
454831681324391,UP Size Magazine,,no,https://www.facebook.com/UpSizeMagazine/,Magazine,33,6341
1395757040662422,BiquíniAvulso.com,,yes,https://www.facebook.com/BiquiniAvulso/,Clothing,119,12508
377966552252862,Lumiar   Foto e Cinema,,no,https://www.facebook.com/lumiarfotoecinema/,Movie Studio,140,17100
230173740457030,Bem Vestida Moda Grande - Plus Size,,yes,https://www.facebook.com/Bem-Vestida-Moda-Grande-Plus-Size-230173740457030/,Shopping/Retail,3,532
10150125867040707,Triumph,,yes,https://www.facebook.com/Triumph/,Clothing,368,1176660
1565356183683432,Sinaest 1.0 - Simpósio Nacional de Estilo,,yes,https://www.facebook.com/sinaest1.0/,Community,2,854
