Source,Target,Type,Label,timeset,Weight
1300221191400165378,1301267077320388610,Directed,0,,1
1300220858175295488,83125338,Directed,1,,1
1300220471837970433,713584964,Directed,2,,1
1300220421518884866,1138643365325672448,Directed,3,,1
1300220278535008258,3378088599,Directed,4,,1
1300220277469609986,55122151,Directed,5,,1
1300220065988702208,1262545392975126529,Directed,6,,1
1300220065988702208,1095353326424809477,Directed,7,,1
1300220065988702208,1129892174697521152,Directed,8,,1
1300220065988702208,975127727501185025,Directed,9,,1
1300219891988004865,713584964,Directed,10,,1
1300219810056413185,15534741,Directed,11,,1
1300219239069036552,283730728492025973,Directed,12,,1
1300219239069036552,59908505,Directed,13,,1
1300219239069036552,8802752,Directed,14,,1
1300219223990386688,43340387,Directed,15,,1
1300219094801756162,43340387,Directed,16,,1
1300219062983819265,1262729034171142144,Directed,17,,1
1300219062983819265,975127727501185025,Directed,18,,1
1300219022303256576,178941969,Directed,19,,1
1300219022303256576,863246911297531904,Directed,20,,1
1300219022303256576,17795199,Directed,21,,1
1300219022303256576,14213711,Directed,22,,1
1300219022303256576,975127727501185025,Directed,23,,1
1300218726558687239,1236740586130018305,Directed,24,,1
1300218726558687239,1268693398246080514,Directed,25,,1
1300218726558687239,940601766244167683,Directed,26,,1
1300218726558687239,206678960,Directed,27,,1
1300218726558687239,32422503,Directed,28,,1
1300218726558687239,1126652316,Directed,29,,1
1300218726558687239,599175151,Directed,30,,1
1300218726558687239,8314982,Directed,31,,1
1300218726558687239,58951368,Directed,32,,1
1300218726558687239,1262317363984306177,Directed,33,,1
1300218695919296512,1246179171870654465,Directed,34,,1
1300217715899224065,29797128,Directed,35,,1
1300217469857079298,1227928143476002817,Directed,36,,1
1300217330195034113,711999783695749120,Directed,37,,1
1300217330195034113,39169862,Directed,38,,1
1300216765339836417,975127727501185025,Directed,39,,1
1300216463815577600,14594813,Directed,40,,1
1300215744916000769,20771988,Directed,41,,1
1300215672551727104,43340387,Directed,42,,1
1300215672551727104,975127727501185025,Directed,43,,1
1300215328379531264,15226475,Directed,44,,1
1300215044903522304,912006662491435008,Directed,45,,1
1300215002872381441,975127727501185025,Directed,46,,1
1300214884265795585,1227935705713778689,Directed,47,,1
