Source,Target,Type,Label,timeset,Weight
1244776398587342848,74756085,Directed,0,,1
1244776298255462406,75031882,Directed,1,,1
1244776258992562177,33520195,Directed,2,,1
1244776180961730561,144801356,Directed,3,,1
1244776180961730561,152325528,Directed,4,,1
1244776147902181376,70799317,Directed,5,,1
1244775946000965632,0,Directed,6,,1
1244775946000965632,73303613,Directed,7,,1
1244775883346513922,14500900,Directed,8,,1
1244775883346513922,1076061444,Directed,9,,1
1244775883346513922,852678666916159488,Directed,10,,1
1244775883346513922,37717107,Directed,11,,1
1244775878283968513,1074209186752413696,Directed,12,,1
1244775836739424264,1074209186752413696,Directed,13,,1
1244775630559993856,32101740,Directed,14,,1
1244775524595044352,57401087,Directed,15,,1
1244775524595044352,33520195,Directed,16,,1
1244775513245319172,128372940,Directed,17,,1
1244775336967094274,1074209186752413696,Directed,18,,1
1244775119727276033,3092434408,Directed,19,,1
1244775099783352322,342403919,Directed,20,,1
1244775099783352322,1008670124453384192,Directed,21,,1
1244774941813334016,2563917541,Directed,22,,1
1244774941813334016,732774741040320512,Directed,23,,1
1244774941813334016,1054536200114130945,Directed,24,,1
1244774861031051264,975127727501185025,Directed,25,,1
1244774502489350144,33520195,Directed,26,,1
1244774435015581696,19667016,Directed,27,,1
1244774123206848512,138471254,Directed,28,,1
1244774123206848512,40933920,Directed,29,,1
1244774123206848512,63597537,Directed,30,,1
1244774123206848512,3957668722,Directed,31,,1
1244774123206848512,112796268,Directed,32,,1
1244774120048517121,1,Directed,33,,1
1244774120048517121,33520195,Directed,34,,1
1244774078000640008,1228085152263409665,Directed,35,,1
1244774078000640008,1113094855281008641,Directed,36,,1
1244774067942629378,1120399498692497408,Directed,37,,1
1244773757748641793,2215751618,Directed,38,,1
1244773757748641793,1345101881660624897,Directed,39,,1
1244773757748641793,2,Directed,40,,1
1244773715411427328,1074209186752413696,Directed,41,,1
1244773617172439042,1083774484123975680,Directed,42,,1
1244773617172439042,128372940,Directed,43,,1
1244773216322756611,3323322923,Directed,44,,1
1244773119946117120,975127727501185025,Directed,45,,1
1244772999175311365,74756085,Directed,46,,1
1244772997766025216,128372940,Directed,47,,1
1244772997766025216,357030742,Directed,48,,1
1244772997766025216,975127727501185025,Directed,49,,1
1244772997766025216,2726301380,Directed,50,,1
1244772559771578368,1074209186752413696,Directed,51,,1
1244772553937293312,3,Directed,52,,1
1244772523042050048,438507544,Directed,53,,1
1244772523042050048,153505589,Directed,54,,1
1244772430821896192,4,Directed,55,,1
1244772430821896192,128372940,Directed,56,,1
1244772430821896192,2726301380,Directed,57,,1
1244772430821896192,1113094855281008641,Directed,58,,1
1244772430821896192,971822131024748545,Directed,59,,1
1244772430821896192,1074209186752413696,Directed,60,,1
1244772430821896192,1083774484123975680,Directed,61,,1
1244772430821896192,68712576,Directed,62,,1
1244772430821896192,74756085,Directed,63,,1
1244772430821896192,40053694,Directed,64,,1
1244772422533996544,83384119,Directed,65,,1
1244772422533996544,1133021209468243968,Directed,66,,1
1244772368561647616,17737614,Directed,67,,1
1244772352812089344,1325224754865975296,Directed,68,,1
1244772265494851584,70809242,Directed,69,,1
1244772145466671105,128372940,Directed,70,,1
