Source,Target,Type,Label,timeset,Weight
1322327404673748992,14539108,Directed,0,,1
1322325941335588864,895261812370939907,Directed,1,,1
1322325888084676614,45409867,Directed,2,,1
1322325263779246080,1255959314575101958,Directed,3,,1
1322325263779246080,4896510833,Directed,4,,1
1322325263779246080,1250060431357546499,Directed,5,,1
1322325263779246080,59477935,Directed,6,,1
1322324854037716994,9722452,Directed,7,,1
1322324198283509762,1016440823683174401,Directed,8,,1
1322324198283509762,1290739318118645765,Directed,9,,1
1322324198283509762,1222939896349970432,Directed,10,,1
1322324198283509762,1087259768,Directed,11,,1
1322324165865734144,2923397967,Directed,12,,1
1322324165865734144,1054058964420300803,Directed,13,,1
1322322420821299210,1095412400776495104,Directed,14,,1
1322322420821299210,391606213,Directed,15,,1
1322322420821299210,991676636738281472,Directed,16,,1
1322321845408989186,1069387315129257984,Directed,17,,1
1322320486941032449,219300594,Directed,18,,1
1322320272469430273,1130529482681532419,Directed,19,,1
1322320272469430273,190361426,Directed,20,,1
1322320272469430273,2955850721,Directed,21,,1
1322319331288559618,1290739318118645765,Directed,22,,1
1322319331288559618,1016440823683174401,Directed,23,,1
1322319331288559618,1222939896349970432,Directed,24,,1
1322319331288559618,1087259768,Directed,25,,1
1322318021084532737,4278472156,Directed,26,,1
1322318021084532737,151984352,Directed,27,,1
1322317310900711425,54341363,Directed,28,,1
1322316594140368898,1058696179951775744,Directed,29,,1
1322316594140368898,3418534018,Directed,30,,1
1322316594140368898,33520195,Directed,31,,1
1322316396433416199,900885950234062848,Directed,32,,1
1322316396433416199,26248174,Directed,33,,1
1322316396433416199,31161322,Directed,34,,1
1322316003271913472,128372940,Directed,35,,1
1322315589495508994,2585621855,Directed,36,,1
1322315313405374464,883410074559033344,Directed,37,,1
1322313560672927747,8802752,Directed,38,,1
1322313514925596677,128372940,Directed,39,,1
1322313090386579456,809124436880322561,Directed,40,,1
1322312011645157378,1050174967298629633,Directed,41,,1
1322311156359434242,1259827508029120514,Directed,42,,1
1322310844567474176,81842196,Directed,43,,1
1322310844567474176,1087259768,Directed,44,,1
1322309973859311618,17715048,Directed,45,,1
1322309050365825024,5710809337161144795,Directed,46,,1
1322309050365825024,1322324198283509762,Directed,47,,1
1322309050365825024,1290739318118645765,Directed,48,,1
1322309050365825024,1222939896349970432,Directed,49,,1
1322309050365825024,1087259768,Directed,50,,1
1322308941196513283,745359826633490434,Directed,51,,1
1322308941196513283,1268125522007068677,Directed,52,,1
1322308941196513283,54341363,Directed,53,,1
1322308528388919297,1255628623182278657,Directed,54,,1
1322308378006327298,1290739318118645765,Directed,55,,1
1322308378006327298,1222939896349970432,Directed,56,,1
1322308378006327298,1087259768,Directed,57,,1
1322307985620770818,128372940,Directed,58,,1
1322306235874660355,74756085,Directed,59,,1
1322306018752319496,2804949532,Directed,60,,1
1322305638484115457,8578640989509173536,Directed,61,,1
1322305638484115457,57042381,Directed,62,,1
1322305638484115457,17715048,Directed,63,,1
1322305638484115457,1058819604741525510,Directed,64,,1
1322305638484115457,1148957624282624000,Directed,65,,1
1322304838005379072,2951068704,Directed,66,,1
1322304547214270470,4865868083,Directed,67,,1
1322304090714591233,1193163313007464450,Directed,68,,1
1322304090714591233,116519514,Directed,69,,1
1322303464274317312,84758606,Directed,70,,1
1322303464274317312,75264300,Directed,71,,1
1322303464274317312,10228272,Directed,72,,1
1322302598561628160,745426593217187845,Directed,73,,1
1322302557943980038,76049312,Directed,74,,1
1322301679295991809,1148318806303027205,Directed,75,,1
1322301679295991809,2998664567,Directed,76,,1
1322298963006017536,1281591452619935744,Directed,77,,1
1322298936170811392,14594698,Directed,78,,1
1322298866281127937,9722452,Directed,79,,1
1322298628518617089,1007435010922762241,Directed,80,,1
1322298628518617089,1051579029030137857,Directed,81,,1
1322298628518617089,1092929432183029760,Directed,82,,1
1322298628518617089,733829670097952771,Directed,83,,1
1322298628518617089,893191603401216001,Directed,84,,1
1322298256420933637,752271863175340032,Directed,85,,1
1322298014422237186,123361951,Directed,86,,1
1322298014422237186,220370973,Directed,87,,1
1322298014422237186,8802752,Directed,88,,1
1322297021609500675,1114303223161135111,Directed,89,,1
1322296837747953665,104801286,Directed,90,,1
1322296684320329734,1222622741339217921,Directed,91,,1
1322296684320329734,1220341991055273986,Directed,92,,1
1322296048166031361,8578640989509173536,Directed,93,,1
1322296048166031361,57042381,Directed,94,,1
1322296048166031361,17715048,Directed,95,,1
1322296048166031361,1058819604741525510,Directed,96,,1
1322296048166031361,1148957624282624000,Directed,97,,1
1322295031093493765,987240830351151104,Directed,98,,1
1322295031093493765,8802752,Directed,99,,1
1322294385120288770,1202130601,Directed,100,,1
1322293396489359361,727130698021261313,Directed,101,,1
1322292885362978821,7455304650730050533,Directed,102,,1
1322291927761461248,13653812,Directed,103,,1
1322291887814955011,2848279835,Directed,104,,1
1322291529340342272,2580377228,Directed,105,,1
1322291517059420161,1022877333961801728,Directed,106,,1
1322291517059420161,1114705430750670848,Directed,107,,1
1322291517059420161,205880891,Directed,108,,1
1322291517059420161,748961924797399041,Directed,109,,1
1322291517059420161,128372940,Directed,110,,1
1322290872990470145,1296507270956711937,Directed,111,,1
1322290872990470145,172480936,Directed,112,,1
1322290872990470145,17715048,Directed,113,,1
1322289877208227841,3020722498,Directed,114,,1
1322289877208227841,850920747581267969,Directed,115,,1
1322289877208227841,1054561973260697600,Directed,116,,1
1322289573825753093,9317502,Directed,117,,1
1322289573825753093,76369002,Directed,118,,1
1322288869778300930,727130698021261313,Directed,119,,1
1322288755366154247,1031671693671104515,Directed,120,,1
1322288755366154247,931250955466739712,Directed,121,,1
1322286660663549954,10180112,Directed,122,,1
1322284520142491649,36373308,Directed,123,,1
1322284520142491649,1242471700257595403,Directed,124,,1
1322284176025001985,8802752,Directed,125,,1
1322284171847471104,2804949532,Directed,126,,1
1322284156206895104,1145142811202916357,Directed,127,,1
1322284156206895104,33520195,Directed,128,,1
1322284082504630277,1051033474784796672,Directed,129,,1
1322283443330420736,45409867,Directed,130,,1
1322282969957081088,14594698,Directed,131,,1
1322280919143763968,33520195,Directed,132,,1
1322280261975986181,1232748177171849220,Directed,133,,1
1322279978072002566,174818242,Directed,134,,1
1322278976795168769,151984352,Directed,135,,1
1322278712763711489,1232648412736229376,Directed,136,,1
1322278239214149632,34586817,Directed,137,,1
1322278212454518785,3268669763344166912,Directed,138,,1
1322278212454518785,33520195,Directed,139,,1
1322277477964795904,1094496374,Directed,140,,1
1322277477964795904,1460706924,Directed,141,,1
1322277477964795904,2538053700,Directed,142,,1
1322277477964795904,1233097472337162249,Directed,143,,1
1322277477964795904,765582163886665728,Directed,144,,1
1322277477964795904,742110251458170880,Directed,145,,1
1322277056168734720,2880932962,Directed,146,,1
1322276658280304640,1183983621343981568,Directed,147,,1
1322276441397100545,2528987124,Directed,148,,1
1322276441397100545,3156263219,Directed,149,,1
1322276422162010112,929432082409025538,Directed,150,,1
1322275812641558531,2339440569,Directed,151,,1
1322275812641558531,74756085,Directed,152,,1
1322275715161665536,116519514,Directed,153,,1
1322275180647976961,3869250306077486385,Directed,154,,1
1322275180647976961,1245872162529062912,Directed,155,,1
1322275180647976961,4715912055,Directed,156,,1
1322275180647976961,2714933675,Directed,157,,1
1322275168585211904,9722452,Directed,158,,1
1322274996350296071,1256571174831689728,Directed,159,,1
1322274996350296071,1116469345629155329,Directed,160,,1
1322274996350296071,33520195,Directed,161,,1
1322274878565863431,13968202,Directed,162,,1
1322274878565863431,49685585,Directed,163,,1
1322274878565863431,69650953,Directed,164,,1
1322274878565863431,43023158,Directed,165,,1
1322274852426948609,1054398906925223936,Directed,166,,1
1322274852426948609,790680,Directed,167,,1
1322274512147259401,208741721,Directed,168,,1
1322274298183168009,128372940,Directed,169,,1
1322274298183168009,59477935,Directed,170,,1
1322272603948666881,1248628200952827910,Directed,171,,1
1322271983833391108,2880932962,Directed,172,,1
1322271413353459715,54341363,Directed,173,,1
1322271413353459715,128372940,Directed,174,,1
1322270047365222400,731177089823584256,Directed,175,,1
1322270047365222400,6732882355057105788,Directed,176,,1
1322270027396108290,8901062407880816460,Directed,177,,1
1322270000388911104,6042948240749563592,Directed,178,,1
1322269739956260873,45409867,Directed,179,,1
1322268659562258434,9042956592264164277,Directed,180,,1
1322268659562258434,7950299358474052802,Directed,181,,1
1322268345010368518,2610305735262661968,Directed,182,,1
1322267892512026624,1248628200952827910,Directed,183,,1
1322267053009625088,2009932339805814164,Directed,184,,1
1322267026015113217,1940180366737997926,Directed,185,,1
1322266984776609792,81842196,Directed,186,,1
1322266984776609792,4913349540958354378,Directed,187,,1
1322266984776609792,128372940,Directed,188,,1
1322266029893058560,6542136549319271867,Directed,189,,1
1322266029893058560,1166353825243184601,Directed,190,,1
1322265493521182720,2811029539228040099,Directed,191,,1
1322265493521182720,8729147036671107408,Directed,192,,1
1322265493521182720,17715048,Directed,193,,1
1322265072035659781,4930689528744364971,Directed,194,,1
1322265072035659781,696961506113433740,Directed,195,,1
1322265072035659781,432662226413952394,Directed,196,,1
1322264432026783745,3759123453583116499,Directed,197,,1
1322263765258244097,2880932962,Directed,198,,1
1322263629018746881,2880932962,Directed,199,,1
1322263589592408064,7997076981821530517,Directed,200,,1
1322263589592408064,3291199271336602889,Directed,201,,1
1322263589592408064,59477935,Directed,202,,1
1322263440795324418,45409867,Directed,203,,1
1322263102419881984,33520195,Directed,204,,1
1322262867442323458,8728561208881665309,Directed,205,,1
1322262329669672966,2880932962,Directed,206,,1
1322262163327799296,6367299502286728016,Directed,207,,1
1322262163327799296,6265419632576705518,Directed,208,,1
1322262142888890368,9722452,Directed,209,,1
1322260847008325632,2880932962,Directed,210,,1
1322259898290286594,45409867,Directed,211,,1
1322259556957900800,2009932339805814164,Directed,212,,1
1322259179436986370,54341363,Directed,213,,1
1322258589516484616,2880932962,Directed,214,,1
1322258501088018433,2880932962,Directed,215,,1
1322258478803619841,2066797547830757614,Directed,216,,1
1322258194606022657,8728561208881665309,Directed,217,,1
1322256456297709568,2459268043530390599,Directed,218,,1
1322256456297709568,8318654073486376017,Directed,219,,1
1322256456297709568,6372808941844253678,Directed,220,,1
1322256456297709568,6888383999904753812,Directed,221,,1
1322255005861187585,33520195,Directed,222,,1
1322254566277160963,6995543657660676337,Directed,223,,1
1322254566277160963,1563519504105684648,Directed,224,,1
1322254566277160963,1016582497382624757,Directed,225,,1
1322254532257189888,1443118785679321801,Directed,226,,1
1322254532257189888,7124678564924868389,Directed,227,,1
1322254532257189888,7750734089543032260,Directed,228,,1
1322253905917521920,2629311020320950382,Directed,229,,1
1322253541159915521,4190330891435313422,Directed,230,,1
1322252805030191105,1290739318118645765,Directed,231,,1
1322252805030191105,1222939896349970432,Directed,232,,1
1322252805030191105,1087259768,Directed,233,,1
1322251971747893249,6589743206774887769,Directed,234,,1
1322251461884022786,7940667795757632228,Directed,235,,1
1322249639278555137,5884931366830523734,Directed,236,,1
1322249639278555137,2814601683892168626,Directed,237,,1
1322249277104656386,5768857353861493639,Directed,238,,1
1322249277104656386,54341363,Directed,239,,1
1322249266837016578,4486704873778967480,Directed,240,,1
1322249266837016578,6176231270926946263,Directed,241,,1
1322249266837016578,493356507957216638,Directed,242,,1
1322249266837016578,8369686046344962090,Directed,243,,1
1322248558662324224,9722452,Directed,244,,1
1322248235482796032,4288050576176096386,Directed,245,,1
1322248235482796032,3932838668635366246,Directed,246,,1
1322248235482796032,8333108151653200165,Directed,247,,1
1322247981026914307,5272088076201577199,Directed,248,,1
1322247981026914307,74756085,Directed,249,,1
