Source,Target,Type,Label,timeset,Weight
1311092757537189890,7595010566097402328,Directed,0,,1
1311092395539398656,936746511387459584,Directed,1,,1
1311092155180515333,24802340,Directed,2,,1
1311092155180515333,277451833,Directed,3,,1
1311090700713422848,1172594635983732741,Directed,4,,1
1311090700713422848,1262534490951421952,Directed,5,,1
1311090017889128450,17715048,Directed,6,,1
1311089708148105218,36373308,Directed,7,,1
1311088218352353282,46463401,Directed,8,,1
1311087839111675906,5505473764837073657,Directed,9,,1
1311087839111675906,160910872,Directed,10,,1
1311087462542987265,102131276,Directed,11,,1
1311087462542987265,33612275,Directed,12,,1
1311087462542987265,35260027,Directed,13,,1
1311087358482186240,46463401,Directed,14,,1
1311087298054967297,732774741040320512,Directed,15,,1
1311086403141480451,78725785,Directed,16,,1
1311085986101825542,541058234,Directed,17,,1
1311085986101825542,1257666919144062976,Directed,18,,1
1311085169110134784,6867877768177160876,Directed,19,,1
1311085094237503489,37717107,Directed,20,,1
1311084960166670344,1039645767898746887,Directed,21,,1
1311084960166670344,172236790,Directed,22,,1
1311084843019759616,14594698,Directed,23,,1
1311084843019759616,70799317,Directed,24,,1
1311084338801512448,56457949,Directed,25,,1
1311084216940138496,195474607,Directed,26,,1
1311084216940138496,127511167,Directed,27,,1
1311083608304685056,1309269601365241856,Directed,28,,1
1311083608304685056,101133483,Directed,29,,1
1311083608304685056,995129812950896642,Directed,30,,1
1311083300274962433,971822131024748545,Directed,31,,1
1311081791105699842,14594813,Directed,32,,1
1311081069148540928,2251003279,Directed,33,,1
1311081069148540928,1180985374119735296,Directed,34,,1
1311079800304435200,33920118,Directed,35,,1
1311079800304435200,70799317,Directed,36,,1
1311078926832275458,1045263739870728193,Directed,37,,1
1311078926832275458,35260027,Directed,38,,1
1311078777661857795,1403191501,Directed,39,,1
1311075854462726145,1280504416194494464,Directed,40,,1
1311075516435312643,977544351264931841,Directed,41,,1
1311075246057951233,14594698,Directed,42,,1
1311075110158241794,1051129128777322498,Directed,43,,1
1311075110158241794,1546271816,Directed,44,,1
1311075110158241794,1115034649418452994,Directed,45,,1
1311075008677019656,102131276,Directed,46,,1
1311075008677019656,33612275,Directed,47,,1
1311075008677019656,35260027,Directed,48,,1
1311073583087718400,85241358,Directed,49,,1
1311073583087718400,2466250004,Directed,50,,1
1311073077162397696,134931511,Directed,51,,1
1311072964067168257,1123258543505850368,Directed,52,,1
1311072700790603776,1037152208754823168,Directed,53,,1
1311071877264179205,1311072204038103041,Directed,54,,1
1311071737430278145,36597234,Directed,55,,1
1311071581796544513,981598997252067331,Directed,56,,1
1311071581796544513,53125435,Directed,57,,1
1311071581796544513,157461361,Directed,58,,1
1311071581796544513,762402774260875265,Directed,59,,1
1311069651242291205,1217889321367359488,Directed,60,,1
1311069630497271809,142393421,Directed,61,,1
1311069630497271809,16794066,Directed,62,,1
1311069081748082688,4847653162,Directed,63,,1
1311069081748082688,153625759,Directed,64,,1
1311069081748082688,2880932962,Directed,65,,1
1311068758061047808,2943701379,Directed,66,,1
1311068758061047808,69386431,Directed,67,,1
1311068361820901376,908048968990556161,Directed,68,,1
1311067909318270976,1232864093368877056,Directed,69,,1
1311067515691433987,975127727501185025,Directed,70,,1
1311067515691433987,64706049,Directed,71,,1
1311066850357325829,2959459379,Directed,72,,1
1311066850357325829,37717107,Directed,73,,1
1311066850357325829,1113094855281008641,Directed,74,,1
1311066276144590848,87282944,Directed,75,,1
1311066088713736193,19083439,Directed,76,,1
1311064591246516224,1546271816,Directed,77,,1
1311064471520108544,96180599,Directed,78,,1
1311064342884945921,46463401,Directed,79,,1
1311064023237091330,1546271816,Directed,80,,1
1311062692749348875,1051033474784796672,Directed,81,,1
1311062484573401088,42593930,Directed,82,,1
1311061346243485698,128372940,Directed,83,,1
1311060988536459270,1187941122548654082,Directed,84,,1
1311060988536459270,727130698021261313,Directed,85,,1
1311060988536459270,10228272,Directed,86,,1
1311058625431994370,10228272,Directed,87,,1
1311058278013640704,5520952,Directed,88,,1
1311057714584465408,906298331130986496,Directed,89,,1
1311057379094605825,33520195,Directed,90,,1
1311057212735975426,3379752310,Directed,91,,1
1311057212735975426,10180112,Directed,92,,1
1311056551348756482,128372940,Directed,93,,1
1311055938774855680,402924672,Directed,94,,1
1311054375427678208,1546271816,Directed,95,,1
1311053287152590849,27282476,Directed,96,,1
1311053287152590849,2747491411,Directed,97,,1
1311053074816028672,938249858397409280,Directed,98,,1
1311052168661737478,17715048,Directed,99,,1
1311052156590592001,3350289887,Directed,100,,1
1311052078358372353,10877272,Directed,101,,1
1311051750263132162,128372940,Directed,102,,1
1311049674632105984,858666493332074496,Directed,103,,1
1311049674632105984,1292652516275040256,Directed,104,,1
1311049674632105984,751454653011951616,Directed,105,,1
1311049674632105984,4106068103,Directed,106,,1
1311049674632105984,1192899281419743232,Directed,107,,1
1311049674632105984,35765232,Directed,108,,1
1311048952318435335,64706049,Directed,109,,1
1311048952318435335,45953391,Directed,110,,1
1311048952318435335,76049312,Directed,111,,1
1311048952318435335,19667016,Directed,112,,1
1311048952318435335,16794066,Directed,113,,1
1311047913662017536,106175018,Directed,114,,1
1311047681352097801,128372940,Directed,115,,1
1311047299548745740,282189557,Directed,116,,1
1311047299548745740,1546271816,Directed,117,,1
1311047299548745740,2418284320000442884,Directed,118,,1
1311047034179330053,832158569965882403,Directed,119,,1
1311047034179330053,3157927787,Directed,120,,1
1311046704817373189,1311484623235551232,Directed,121,,1
1311046704817373189,35805725,Directed,122,,1
1311046511468449794,747813642184306688,Directed,123,,1
1311046511468449794,3157927787,Directed,124,,1
1311046511468449794,116240707,Directed,125,,1
1311045998907715587,1058872553509400576,Directed,126,,1
1311044986541166593,92353661,Directed,127,,1
1311043593747009537,41196811,Directed,128,,1
1311043477942276099,747813642184306688,Directed,129,,1
1311043477942276099,3157927787,Directed,130,,1
1311043477942276099,116240707,Directed,131,,1
1311042450232872960,46463401,Directed,132,,1
1311042450232872960,128372940,Directed,133,,1
1311042390048813066,17715048,Directed,134,,1
1311041749612195842,9317502,Directed,135,,1
1311041480572702720,128372940,Directed,136,,1
1311040726168461312,14594813,Directed,137,,1
1311040549651181575,701089409094000640,Directed,138,,1
1311040491891326984,332421904,Directed,139,,1
1311040187510788098,128372940,Directed,140,,1
1311040079226339328,1250175069504122882,Directed,141,,1
1311039940768260097,1056954821557841920,Directed,142,,1
1311039197285961734,1045263739870728193,Directed,143,,1
1311039197285961734,35260027,Directed,144,,1
1311039067279237123,852571421289177094,Directed,145,,1
1311039067279237123,193441509,Directed,146,,1
1311039063210762241,14049943,Directed,147,,1
1311039063210762241,87806549,Directed,148,,1
1311039063210762241,2880932962,Directed,149,,1
1311039063210762241,128372940,Directed,150,,1
1311038615523389457,1546271816,Directed,151,,1
1311037950659100676,35260027,Directed,152,,1
1311037749538050050,2880932962,Directed,153,,1
1311036981233831937,762402774260875265,Directed,154,,1
1311036358241275910,1051033474784796672,Directed,155,,1
1311036019035328517,67003409,Directed,156,,1
