Source,Target,Type,Label,timeset,Weight
1255648046714630145,116519514,Directed,0,,1
1255648046714630145,7915530127052194166,Directed,1,,1
1255648046714630145,128372940,Directed,2,,1
1255647599295705088,153505589,Directed,3,,1
1255647359150817280,999737559134728193,Directed,4,,1
1255647359150817280,748992510232391681,Directed,5,,1
1255647359150817280,133936058,Directed,6,,1
1255647359150817280,5669634238713825629,Directed,7,,1
1255647359150817280,961699120011296768,Directed,8,,1
1255647359150817280,2326155365956821825,Directed,9,,1
1255647359150817280,1512100567,Directed,10,,1
1255647359150817280,63632175,Directed,11,,1
1255647359150817280,1355582028,Directed,12,,1
1255647359150817280,297001137,Directed,13,,1
1255647359150817280,3671433808780067425,Directed,14,,1
1255647359150817280,96635234,Directed,15,,1
1255647359150817280,192538987,Directed,16,,1
1255647359150817280,1262872968,Directed,17,,1
1255647359150817280,1168955445580615680,Directed,18,,1
1255647359150817280,315963466,Directed,19,,1
1255647359150817280,369249116,Directed,20,,1
1255647359150817280,2848737897,Directed,21,,1
1255647359150817280,131533437,Directed,22,,1
1255647359150817280,143469633,Directed,23,,1
1255647359150817280,701023912367784391,Directed,24,,1
1255647359150817280,298777111,Directed,25,,1
1255647359150817280,366517094,Directed,26,,1
1255647359150817280,98653618,Directed,27,,1
1255647359150817280,110477961,Directed,28,,1
1255647359150817280,1549870093,Directed,29,,1
1255647359150817280,1040754541250183169,Directed,30,,1
1255647359150817280,7216442417926134069,Directed,31,,1
1255647054262648835,971110539169591298,Directed,32,,1
1255646954773721088,22219885,Directed,33,,1
1255646954773721088,74756085,Directed,34,,1
1255646349409869826,17850880,Directed,35,,1
1255646349409869826,1047109227716784128,Directed,36,,1
1255646349409869826,260509524,Directed,37,,1
1255645829060272135,138854341,Directed,38,,1
1255645415434788865,128372940,Directed,39,,1
1255645309306384385,74756085,Directed,40,,1
1255645000643293186,17850880,Directed,41,,1
1255645000643293186,86620159,Directed,42,,1
1255645000643293186,260509524,Directed,43,,1
1255643568569491457,485591231,Directed,44,,1
1255642809920442368,781048926,Directed,45,,1
1255642356558303233,128372940,Directed,46,,1
1255642338073939968,736329770011635712,Directed,47,,1
1255642338073939968,3318337402,Directed,48,,1
1255640288107925505,74756085,Directed,49,,1
1255640286040072195,848885173462740992,Directed,50,,1
1255640286040072195,1238265590185365505,Directed,51,,1
1255640286040072195,116519514,Directed,52,,1
1255640081441923072,52722451,Directed,53,,1
1255640081441923072,61744371,Directed,54,,1
1255639360210436097,153505589,Directed,55,,1
1255639360210436097,151653693,Directed,56,,1
