Source,Target,Type,Label,timeset,Weight
1300221070851616769,924253083491799040,Directed,0,,1
1300221070851616769,758733786221686786,Directed,1,,1
1300221070851616769,975127727501185025,Directed,2,,1
1300219019056820228,975127727501185025,Directed,3,,1
1300218956788256770,30070288,Directed,4,,1
1300217715899224065,29797128,Directed,5,,1
1300216889940082691,37717107,Directed,6,,1
1300216889940082691,861707648584085504,Directed,7,,1
1300216543503056897,1172269482645041152,Directed,8,,1
1300216081471205380,131377486,Directed,9,,1
1300216081471205380,51064768,Directed,10,,1
1300215701941235715,16794066,Directed,11,,1
1300212746575925256,464128120,Directed,12,,1
1300212362339856384,975127727501185025,Directed,13,,1
1300208936549842945,859495277031501824,Directed,14,,1
1300208331106275328,33781482,Directed,15,,1
1300208331106275328,10534782,Directed,16,,1
1300208331106275328,772982739259699200,Directed,17,,1
1300208331106275328,316273207,Directed,18,,1
1300204777041788935,1265370121230524422,Directed,19,,1
1300204777041788935,14594698,Directed,20,,1
1300204777041788935,70799317,Directed,21,,1
1300204279802793984,2157441475,Directed,22,,1
1300204279802793984,1129892174697521152,Directed,23,,1
1300204279802793984,1262545392975126529,Directed,24,,1
1300204279802793984,975127727501185025,Directed,25,,1
1300202856629313538,197410009,Directed,26,,1
1300201272428113923,16949344,Directed,27,,1
1300199914052497408,1197910360512184321,Directed,28,,1
1300199330217943041,52722451,Directed,29,,1
1300199099644481536,325238685,Directed,30,,1
1300197823489732612,29330019,Directed,31,,1
1300197823489732612,41061694,Directed,32,,1
1300197823489732612,277242927,Directed,33,,1
1300197823489732612,3975930341833973985,Directed,34,,1
1300197823489732612,138471254,Directed,35,,1
1300196501361233923,100782421,Directed,36,,1
1300195070524747776,84094789,Directed,37,,1
1300194047802343427,1263282364844781570,Directed,38,,1
1300194047802343427,975127727501185025,Directed,39,,1
1300192930821484550,1263282364844781570,Directed,40,,1
1300191621603119110,2189036407,Directed,41,,1
1300191469567913986,93536280,Directed,42,,1
1300189991864348676,52048790,Directed,43,,1
1300189642692734977,1059905960238596101,Directed,44,,1
1300188488952934413,66441430,Directed,45,,1
1300186580875911169,1292891126299537409,Directed,46,,1
1300186580875911169,3490873162,Directed,47,,1
