Source,Target,Type,Label,timeset,Weight
1288986908111056901,156719729,Directed,0,,1
1288986826905137153,29639594,Directed,1,,1
1288986826905137153,68712576,Directed,2,,1
1288986826905137153,861707648584085504,Directed,3,,1
1288986826905137153,128372940,Directed,4,,1
1288986726652936196,1272621904147419137,Directed,5,,1
1288986726652936196,1164511790715330561,Directed,6,,1
1288986726652936196,1264862705476947968,Directed,7,,1
1288986726652936196,544735824,Directed,8,,1
1288986153430011904,70799317,Directed,9,,1
1288986063168569345,123891446,Directed,10,,1
1288986063168569345,121828021,Directed,11,,1
1288985941726633986,544735824,Directed,12,,1
1288985612624769025,44915986,Directed,13,,1
1288985612624769025,28342530,Directed,14,,1
1288985468651044868,544735824,Directed,15,,1
1288985444001218560,126436384,Directed,16,,1
1288985327215022081,762402774260875265,Directed,17,,1
1288985234722246656,989198300132921344,Directed,18,,1
1288985234722246656,1155082794818854914,Directed,19,,1
1288985234722246656,39366339,Directed,20,,1
1288985063942750209,1292464311709782016,Directed,21,,1
1288984160573497345,70799317,Directed,22,,1
1288984160573497345,1227385854617948161,Directed,23,,1
1288984069632593920,154126517,Directed,24,,1
1288984069632593920,323585266,Directed,25,,1
1288983839067471878,755522485060247556,Directed,26,,1
1288983805282443265,0,Directed,27,,1
1288983378356731911,3370926088,Directed,28,,1
1288983378356731911,67150902,Directed,29,,1
1288982918531096582,128372940,Directed,30,,1
1288982863736709120,544735824,Directed,31,,1
1288982319391531009,342403919,Directed,32,,1
1288982036708044803,174818242,Directed,33,,1
1288981773536428034,2358959672,Directed,34,,1
1288981773536428034,942449441239392258,Directed,35,,1
1288981773536428034,53863905,Directed,36,,1
1288981733770244102,45870897,Directed,37,,1
1288981733770244102,16968506,Directed,38,,1
1288981491926663172,173728731,Directed,39,,1
1288981491926663172,1301944856080781323,Directed,40,,1
1288981335047053312,97910251,Directed,41,,1
1288981335047053312,6135622,Directed,42,,1
1288981150766112768,49524564,Directed,43,,1
1288981150766112768,1390494661,Directed,44,,1
1288981150766112768,33884545,Directed,45,,1
1288981128154677255,2793168808,Directed,46,,1
1288981030620340224,544735824,Directed,47,,1
1288981027436863493,954546843953876992,Directed,48,,1
1288981021187334144,1141110211689832450,Directed,49,,1
1288981021187334144,54190869,Directed,50,,1
1288981021187334144,10228272,Directed,51,,1
1288980928136654848,95740548,Directed,52,,1
1288980886961164293,123891446,Directed,53,,1
1288980746007347204,544735824,Directed,54,,1
1288980725446868994,10228272,Directed,55,,1
1288980348731379713,261007129,Directed,56,,1
1288980348731379713,1162541671395012609,Directed,57,,1
1288980348731379713,966061552943222785,Directed,58,,1
1288980319350054913,61383742,Directed,59,,1
1288980176236351489,160341518,Directed,60,,1
1288980076026040337,62979727,Directed,61,,1
1288980076026040337,130979339,Directed,62,,1
1288980076026040337,367933714,Directed,63,,1
1288979793388675075,1129011978,Directed,64,,1
1288979638925103106,95740548,Directed,65,,1
1288979106726580225,1197910360512184321,Directed,66,,1
1288978666064502786,2570095951,Directed,67,,1
1288977892295217152,1078840189773062144,Directed,68,,1
1288977892295217152,40095953,Directed,69,,1
1288977892295217152,76049312,Directed,70,,1
1288977843146416139,1,Directed,71,,1
1288977449523519490,3400004585,Directed,72,,1
1288977449523519490,22770880,Directed,73,,1
1288977233470783490,54600557,Directed,74,,1
1288977048942391298,2,Directed,75,,1
1288976931422113793,66746614,Directed,76,,1
1288976920227590144,987390526260465666,Directed,77,,1
1288976920227590144,2726301380,Directed,78,,1
1288976877206622211,65473559,Directed,79,,1
1288976840351264774,29274419,Directed,80,,1
1288976606493581314,1282385133937598464,Directed,81,,1
1288976606493581314,1288985396341354497,Directed,82,,1
1288976580648341504,838099262,Directed,83,,1
1288976580648341504,2685920805,Directed,84,,1
1288976393645297664,1175138755499483139,Directed,85,,1
1288976196462694403,28364791,Directed,86,,1
1288975681293111298,978804433646751744,Directed,87,,1
1288975681293111298,73254822,Directed,88,,1
1288975396759896069,178245486,Directed,89,,1
1288975396759896069,168306147,Directed,90,,1
1288975267776679936,24969337,Directed,91,,1
1288975073601298439,3,Directed,92,,1
1288975073601298439,1218707751364448256,Directed,93,,1
1288974948472627202,544735824,Directed,94,,1
1288974850544082945,1288985396341354497,Directed,95,,1
1288974850544082945,4,Directed,96,,1
1288974798333325314,40095953,Directed,97,,1
1288974798333325314,76049312,Directed,98,,1
1288974499564658694,1282385133937598464,Directed,99,,1
1288974332392284161,975127727501185025,Directed,100,,1
1288973221719572481,34740038,Directed,101,,1
1288973021152149505,256730310,Directed,102,,1
1288972789907693569,1096946806326468611,Directed,103,,1
1288972789907693569,128372940,Directed,104,,1
1288972760455286784,2892290499,Directed,105,,1
1288972673289158656,374489943,Directed,106,,1
1288972380933697539,1163185590646558720,Directed,107,,1
1288972380933697539,889245630463438850,Directed,108,,1
1288972262863970306,544735824,Directed,109,,1
1288972262863970306,1041631358047596544,Directed,110,,1
1288972223257153537,2593085527,Directed,111,,1
1288972052519624708,717387948979843073,Directed,112,,1
1288971824135647233,544735824,Directed,113,,1
1288971824135647233,52982851,Directed,114,,1
1288971144922648583,10228272,Directed,115,,1
1288971097174675461,14594698,Directed,116,,1
1288969981787623424,40095953,Directed,117,,1
1288969981787623424,76049312,Directed,118,,1
1288969968319631360,2880932962,Directed,119,,1
1288969265631170560,39176902,Directed,120,,1
1288969233833943040,1194276864900173829,Directed,121,,1
1288967971080155136,978804433646751744,Directed,122,,1
1288967971080155136,73254822,Directed,123,,1
1288967856454012928,10228272,Directed,124,,1
1288967747314081792,24802340,Directed,125,,1
1288967698433503233,32101740,Directed,126,,1
1288967698433503233,1240658610734141441,Directed,127,,1
1288967588299579392,49116653,Directed,128,,1
1288967588299579392,1252332739619143681,Directed,129,,1
1288967572617154560,5,Directed,130,,1
1288967572617154560,6,Directed,131,,1
1288967222392696832,14594698,Directed,132,,1
1288967010320293889,2239936083,Directed,133,,1
1288967010320293889,1218707751364448256,Directed,134,,1
1288966750869094403,791951026265821184,Directed,135,,1
1288966558254075904,2537953394,Directed,136,,1
1288966349558026240,2670726740,Directed,137,,1
1288966158683648004,1282385133937598464,Directed,138,,1
1288966136218955776,1074209186752413696,Directed,139,,1
1288966136218955776,1045847259966050309,Directed,140,,1
1288966119479480321,1204554433574711296,Directed,141,,1
1288966119479480321,1385820133,Directed,142,,1
1288965833809690624,2726301380,Directed,143,,1
1288965493072830464,2726301380,Directed,144,,1
1288965346611859458,2726301380,Directed,145,,1
1288965190009184268,93908986,Directed,146,,1
1288965190009184268,128372940,Directed,147,,1
1288965156182122499,7,Directed,148,,1
1288965156182122499,1618773036,Directed,149,,1
1288965156182122499,766448886,Directed,150,,1
1288965156182122499,78183235,Directed,151,,1
1288965156182122499,1085956295402946560,Directed,152,,1
1288965156182122499,2880932962,Directed,153,,1
1288964827101224960,40095953,Directed,154,,1
1288964827101224960,76049312,Directed,155,,1
1288964604434034693,142461507,Directed,156,,1
1288964362091331584,912492779669999616,Directed,157,,1
1288964135678627840,1282385133937598464,Directed,158,,1
1288964065143005185,2238054716,Directed,159,,1
1288964065143005185,889245630463438850,Directed,160,,1
1288963983215558658,85327394,Directed,161,,1
1288963513503940608,1282385133937598464,Directed,162,,1
1288963099542859776,99725860,Directed,163,,1
1288962958148673542,861593808718442500,Directed,164,,1
1288962958148673542,17813487,Directed,165,,1
1288962890523906048,1282385133937598464,Directed,166,,1
1288962697724338177,73102744,Directed,167,,1
1288962583425417218,8,Directed,168,,1
1288961390414356485,1288967569546842114,Directed,169,,1
1288961369727959041,2448158362,Directed,170,,1
1288961369727959041,217562747,Directed,171,,1
1288961171534548993,391606213,Directed,172,,1
1288961171534548993,73254822,Directed,173,,1
1288959839650164736,93339429,Directed,174,,1
1288959199897165826,68466700,Directed,175,,1
1288959199897165826,128372940,Directed,176,,1
1288958979759116288,975127727501185025,Directed,177,,1
1288958979759116288,128372940,Directed,178,,1
1288958138432069633,73254822,Directed,179,,1
1288957881094737928,14594813,Directed,180,,1
1288957099343478788,8749892,Directed,181,,1
1288957099343478788,17905183,Directed,182,,1
1288956812809719808,128372940,Directed,183,,1
1288956741531635714,26591980,Directed,184,,1
1288956633511534593,1086271918313857026,Directed,185,,1
1288955841937383425,9,Directed,186,,1
1288955773364690944,57395855,Directed,187,,1
1288955722290667526,2726301380,Directed,188,,1
1288955617932124160,109770017,Directed,189,,1
1288955617932124160,1016252916,Directed,190,,1
1288954287293374467,2173224545,Directed,191,,1
1288954287293374467,1182768537389142020,Directed,192,,1
1288954287293374467,2726301380,Directed,193,,1
1288954139205087232,119758810,Directed,194,,1
1288954096301625344,2726301380,Directed,195,,1
1288954057797902338,1058087014933913600,Directed,196,,1
1288954027326296069,1251282053993304072,Directed,197,,1
1288953589747134467,10,Directed,198,,1
1288953589747134467,136689895,Directed,199,,1
1288953589747134467,371797057,Directed,200,,1
1288953545148989444,163108833,Directed,201,,1
1288953545148989444,759001618884939776,Directed,202,,1
1288953455638437888,45870897,Directed,203,,1
1288953398109319169,9317502,Directed,204,,1
1288953398109319169,76369002,Directed,205,,1
1288952909930156035,544735824,Directed,206,,1
1288952714320400384,2726301380,Directed,207,,1
1288952553745653763,112498734,Directed,208,,1
1288952089507516419,1288965190009184268,Directed,209,,1
1288952089507516419,128372940,Directed,210,,1
1288950646817914880,11,Directed,211,,1
1288950646817914880,780846744615530496,Directed,212,,1
1288950441246691328,73254822,Directed,213,,1
1288950382052495361,68313718,Directed,214,,1
1288950382052495361,965968837484179459,Directed,215,,1
1288950073850822656,759001618884939776,Directed,216,,1
1288949616906506240,2726301380,Directed,217,,1
1288949286781292550,14502789,Directed,218,,1
1288949216090509312,2885225949,Directed,219,,1
1288949216090509312,89748022,Directed,220,,1
1288949150894219264,261007129,Directed,221,,1
1288949150894219264,966061552943222785,Directed,222,,1
1288948693325041665,93339429,Directed,223,,1
1288948621841489926,12,Directed,224,,1
1288948602581258240,76049312,Directed,225,,1
1288948595446751233,114291510,Directed,226,,1
1288948595446751233,892812067928977418,Directed,227,,1
1288948267670220800,33884545,Directed,228,,1
1288947908419760128,10228272,Directed,229,,1
1288947825397702662,598091652,Directed,230,,1
1288947825397702662,155589270,Directed,231,,1
1288947825397702662,759001618884939776,Directed,232,,1
1288947707374112773,28626164,Directed,233,,1
1288947569536765952,1113094855281008641,Directed,234,,1
1288947263826518028,2726301380,Directed,235,,1
1288946811139510278,35142788,Directed,236,,1
1288946811139510278,1113094855281008641,Directed,237,,1
1288946602166624257,1288986908111056901,Directed,238,,1
1288946602166624257,2150940669,Directed,239,,1
1288946357420601345,759001618884939776,Directed,240,,1
1288946357420601345,975127727501185025,Directed,241,,1
1288946228148031489,1288946228148031489,Directed,242,,1
1288945726995804165,2880932962,Directed,243,,1
1288945064216059907,544735824,Directed,244,,1
1288945000164798469,14594813,Directed,245,,1
1288944954576973830,0,Directed,246,,1
1288944585817968641,2762284493,Directed,247,,1
1288944585817968641,34740038,Directed,248,,1
1288944276760600578,10228272,Directed,249,,1
1288944132958945280,2726301380,Directed,250,,1
1288943362322698243,1286654723723014148,Directed,251,,1
1288943362322698243,39366339,Directed,252,,1
1288942566025711622,2726301380,Directed,253,,1
1288942462715797505,1288942462715797505,Directed,254,,1
1288942263175872513,975127727501185025,Directed,255,,1
1288942243693432833,1282385133937598464,Directed,256,,1
1288942171886886913,754699394969178112,Directed,257,,1
1288942171886886913,2881162246,Directed,258,,1
1288942171886886913,967598054068146176,Directed,259,,1
1288941764724826119,9255842,Directed,260,,1
1288941077844635648,1282385133937598464,Directed,261,,1
1288941060308303882,13,Directed,262,,1
1288941017383809024,1241451000264876032,Directed,263,,1
1288941017383809024,45409867,Directed,264,,1
1288940910563282945,54341363,Directed,265,,1
1288940177398943744,1156970665796354049,Directed,266,,1
1288940041390129152,74756085,Directed,267,,1
1288940041390129152,1523748277,Directed,268,,1
1288939818060324865,61383742,Directed,269,,1
1288939774645018624,45870897,Directed,270,,1
1288939763639226368,759001618884939776,Directed,271,,1
1288939724426674176,64798737,Directed,272,,1
1288939486219509769,1288967569546842114,Directed,273,,1
1288938713163202560,11242312,Directed,274,,1
1288938713163202560,2533981,Directed,275,,1
1288938713163202560,829355783141744642,Directed,276,,1
1288938713163202560,1015805741029036032,Directed,277,,1
1288938404781207552,2892290499,Directed,278,,1
1288938247931023362,2726301380,Directed,279,,1
1288938135032823812,975127727501185025,Directed,280,,1
1288937320524152835,9317502,Directed,281,,1
1288937320524152835,76369002,Directed,282,,1
1288936943405998088,2491072637,Directed,283,,1
1288936943405998088,1192157453720399873,Directed,284,,1
1288936943405998088,454061147,Directed,285,,1
1288936943405998088,206882977,Directed,286,,1
1288936943405998088,455012797,Directed,287,,1
1288936943405998088,350384454,Directed,288,,1
1288936943405998088,1473746294,Directed,289,,1
1288936885688176647,146812867,Directed,290,,1
1288936885688176647,31444389,Directed,291,,1
1288936885688176647,26591980,Directed,292,,1
1288936857699590152,48579013,Directed,293,,1
1288936857699590152,3387582239,Directed,294,,1
1288936600639021061,975127727501185025,Directed,295,,1
1288936478874243072,869662809075929088,Directed,296,,1
1288936280986996736,138471254,Directed,297,,1
1288936280986996736,40933920,Directed,298,,1
1288936280986996736,63597537,Directed,299,,1
1288936280986996736,66746614,Directed,300,,1
1288936280986996736,112796268,Directed,301,,1
1288936280986996736,2205328350,Directed,302,,1
1288936032403169280,61207256,Directed,303,,1
1288936032403169280,74756085,Directed,304,,1
1288935959036338176,2726301380,Directed,305,,1
1288935875867562009,1037435162647244800,Directed,306,,1
1288935875867562009,181721850,Directed,307,,1
1288935875867562009,27514068,Directed,308,,1
1288935875867562009,2726301380,Directed,309,,1
1288935875867562009,1218707751364448256,Directed,310,,1
1288935875867562009,128372940,Directed,311,,1
1288935811019350016,1098387637751156736,Directed,312,,1
1288935367543001089,73254822,Directed,313,,1
1288934989233618945,40095953,Directed,314,,1
1288934989233618945,76049312,Directed,315,,1
1288934703790264325,93339429,Directed,316,,1
1288934687923228677,13769472,Directed,317,,1
1288934622747938818,73254822,Directed,318,,1
1288934423329755143,47591084,Directed,319,,1
