Source,Target,Type,Label,timeset,Weight
1266881906949357568,74756085,Directed,0,,1
1266881906949357568,1523748277,Directed,1,,1
1266881194261712896,8802752,Directed,2,,1
1266880858021154817,1003810164749856769,Directed,3,,1
1266880612121657344,350411337,Directed,4,,1
1266880201163759620,40095953,Directed,5,,1
1266880201163759620,37717107,Directed,6,,1
1266880201163759620,37776045,Directed,7,,1
1266879979524165637,1149972427373457408,Directed,8,,1
1266879979524165637,1045692545429377025,Directed,9,,1
1266879979524165637,0,Directed,10,,1
1266879979524165637,1099435996289089537,Directed,11,,1
1266879979524165637,1,Directed,12,,1
1266879979524165637,1230864927541342212,Directed,13,,1
1266879979524165637,543726765,Directed,14,,1
1266879940047355904,352373166,Directed,15,,1
1266878960874541056,68722955,Directed,16,,1
1266878866083262464,74756085,Directed,17,,1
1266878866083262464,111698159,Directed,18,,1
1266878866083262464,1523748277,Directed,19,,1
1266878372921081857,1138847289978626049,Directed,20,,1
1266878124282839041,47387995,Directed,21,,1
1266878124282839041,82953728,Directed,22,,1
1266878124282839041,37717107,Directed,23,,1
1266878081882562560,58951368,Directed,24,,1
1266877821647032320,8105922,Directed,25,,1
1266877432830791682,74756085,Directed,26,,1
1266877432830791682,1523748277,Directed,27,,1
1266877220267622400,14594813,Directed,28,,1
1266876641386598400,544310969,Directed,29,,1
1266876641386598400,20736511,Directed,30,,1
1266876461555859457,144372753,Directed,31,,1
1266876461555859457,76049312,Directed,32,,1
1266875643905617922,34629513,Directed,33,,1
1266875643905617922,68313718,Directed,34,,1
1266875643905617922,900756488574074880,Directed,35,,1
1266875643905617922,259840707,Directed,36,,1
1266875643905617922,75267429,Directed,37,,1
1266875643905617922,128372940,Directed,38,,1
1266875605540319232,142835897,Directed,39,,1
1266875482802397184,4873020423,Directed,40,,1
1266874981583028229,759001618884939776,Directed,41,,1
1266874886598901762,1227693904163635202,Directed,42,,1
1266874886598901762,1083774484123975680,Directed,43,,1
1266874886598901762,149991703,Directed,44,,1
1266874433203048449,1887482154,Directed,45,,1
1266874433203048449,225925013,Directed,46,,1
1266874433203048449,1163562471854133250,Directed,47,,1
1266874433203048449,65473559,Directed,48,,1
1266873098051207169,895779955153522688,Directed,49,,1
1266873098051207169,1163562471854133250,Directed,50,,1
1266872792735264769,759001618884939776,Directed,51,,1
1266871216545116160,1083774484123975680,Directed,52,,1
1266871216545116160,543470439,Directed,53,,1
1266870855667191808,325358028,Directed,54,,1
1266870855667191808,112907866,Directed,55,,1
1266870716521164801,1238504342258409473,Directed,56,,1
1266870716521164801,1250210839560368128,Directed,57,,1
1266870716521164801,759001618884939776,Directed,58,,1
1266870366552633345,59476917,Directed,59,,1
1266869901488201731,74756085,Directed,60,,1
1266869901488201731,1523748277,Directed,61,,1
1266869901488201731,1086021738163523584,Directed,62,,1
1266869901488201731,128372940,Directed,63,,1
1266869156890238977,809124436880322561,Directed,64,,1
1266869112678035463,2758948984,Directed,65,,1
1266869112678035463,106714016,Directed,66,,1
1266868982449090565,27856959,Directed,67,,1
1266868668056641538,2758948984,Directed,68,,1
1266868409817542659,2,Directed,69,,1
1266868114131689474,76049312,Directed,70,,1
1266867926000447489,55536488,Directed,71,,1
1266867926000447489,759001618884939776,Directed,72,,1
1266867904156401664,416767894,Directed,73,,1
1266867724044636167,13769472,Directed,74,,1
1266867544251682818,4838632578,Directed,75,,1
1266867542024433664,74756085,Directed,76,,1
1266867542024433664,1523748277,Directed,77,,1
1266867163576614915,809124436880322561,Directed,78,,1
1266867163576614915,76077104,Directed,79,,1
1266867163576614915,49677865,Directed,80,,1
1266867163576614915,68810711,Directed,81,,1
1266867163576614915,259840707,Directed,82,,1
1266867163576614915,57763444,Directed,83,,1
1266867163576614915,75267429,Directed,84,,1
1266867163576614915,107057781,Directed,85,,1
1266866845203734528,116519514,Directed,86,,1
1266866845203734528,128372940,Directed,87,,1
1266866683827945472,1222939896349970432,Directed,88,,1
1266866509143556097,74756085,Directed,89,,1
1266866509143556097,1523748277,Directed,90,,1
1266866347516051461,176514261,Directed,91,,1
1266866347516051461,2785282860,Directed,92,,1
1266866214732693505,809124436880322561,Directed,93,,1
1266865543212077059,2804949532,Directed,94,,1
1266865333144559616,74756085,Directed,95,,1
1266865333144559616,1523748277,Directed,96,,1
1266864973172682752,22219885,Directed,97,,1
1266864796177227776,27013292,Directed,98,,1
1266864435043368960,74756085,Directed,99,,1
1266864435043368960,1523748277,Directed,100,,1
1266864199201894405,3,Directed,101,,1
1266864136056647681,40095953,Directed,102,,1
1266864136056647681,37717107,Directed,103,,1
1266864136056647681,37776045,Directed,104,,1
1266863840941219841,4,Directed,105,,1
1266863840941219841,5,Directed,106,,1
1266863434592813056,20736511,Directed,107,,1
1266863428104306689,6,Directed,108,,1
1266863428104306689,7,Directed,109,,1
1266863067385790464,55536488,Directed,110,,1
1266863067385790464,759001618884939776,Directed,111,,1
1266863030966595584,128372940,Directed,112,,1
1266863030966595584,74756085,Directed,113,,1
1266862948263354369,809124436880322561,Directed,114,,1
1266861801175764992,8,Directed,115,,1
1266861801175764992,9,Directed,116,,1
1266861770758426624,10,Directed,117,,1
1266861364301234179,116519514,Directed,118,,1
1266861364301234179,128372940,Directed,119,,1
1266860622072995846,1083774484123975680,Directed,120,,1
1266860478162259968,11,Directed,121,,1
1266860313904926720,12,Directed,122,,1
1266860313904926720,13769472,Directed,123,,1
1266858088012886016,13,Directed,124,,1
1266857986330431488,37717107,Directed,125,,1
1266857966315155459,14,Directed,126,,1
1266857427984691201,15,Directed,127,,1
1266857427984691201,16,Directed,128,,1
1266857427984691201,17,Directed,129,,1
1266857156378320897,18,Directed,130,,1
1266857156378320897,19,Directed,131,,1
1266856921782501382,20,Directed,132,,1
1266856309212790784,21,Directed,133,,1
1266856077985042435,22,Directed,134,,1
1266856077985042435,23,Directed,135,,1
1266856077985042435,759001618884939776,Directed,136,,1
1266856023576412161,809124436880322561,Directed,137,,1
1266855908841308160,24,Directed,138,,1
1266855908006600705,25,Directed,139,,1
1266855908006600705,26,Directed,140,,1
1266855908006600705,27,Directed,141,,1
1266855908006600705,28,Directed,142,,1
1266855908006600705,13769472,Directed,143,,1
1266855908006600705,128372940,Directed,144,,1
1266855088003448832,29,Directed,145,,1
1266855088003448832,30,Directed,146,,1
1266854725993070599,31,Directed,147,,1
1266854725993070599,68313718,Directed,148,,1
1266854725993070599,32,Directed,149,,1
1266854725993070599,33,Directed,150,,1
1266854725993070599,128372940,Directed,151,,1
1266854406026334211,14,Directed,152,,1
1266853573784145921,34,Directed,153,,1
1266853573784145921,37717107,Directed,154,,1
1266853357198675968,35,Directed,155,,1
1266853357198675968,36,Directed,156,,1
1266853357198675968,37,Directed,157,,1
1266852905786781696,759001618884939776,Directed,158,,1
1266852817718960140,38,Directed,159,,1
1266852670666608641,39,Directed,160,,1
1266852185909977093,40,Directed,161,,1
1266852185909977093,41,Directed,162,,1
1266852185909977093,42,Directed,163,,1
1266852110873890823,43,Directed,164,,1
1266851413189148672,44,Directed,165,,1
1266851413189148672,45,Directed,166,,1
1266851413189148672,20736511,Directed,167,,1
1266851398265835521,116519514,Directed,168,,1
1266851398265835521,128372940,Directed,169,,1
1266851101854351361,46,Directed,170,,1
1266850062203830274,47,Directed,171,,1
