Source,Target,Type,Label,timeset,Weight
1244776196027682823,1139334192733536256,Directed,0,,1
1244776196027682823,128372940,Directed,1,,1
1244775916112355335,253176236,Directed,2,,1
1244775645856641029,575662077,Directed,3,,1
1244775413819244545,1074209186752413696,Directed,4,,1
1244775391081963520,242730842,Directed,5,,1
1244775041692205056,1173983170678726658,Directed,6,,1
1244775041692205056,36413526,Directed,7,,1
1244774835827474441,1875878815,Directed,8,,1
1244774802289823745,128372940,Directed,9,,1
1244774802289823745,43041690,Directed,10,,1
1244774065916784640,16892009,Directed,11,,1
1244773524377657346,434489143,Directed,12,,1
1244773524377657346,115032742,Directed,13,,1
1244773524377657346,393680893,Directed,14,,1
1244773306034765826,975127727501185025,Directed,15,,1
1244773034466082819,975127727501185025,Directed,16,,1
1244772936566874114,2592878949,Directed,17,,1
1244772936566874114,219325486,Directed,18,,1
1244772936566874114,97468342,Directed,19,,1
1244772936566874114,22219885,Directed,20,,1
1244772909803089926,1875878815,Directed,21,,1
1244772770837336064,33520195,Directed,22,,1
1244772567606611974,55767644,Directed,23,,1
1244772436870082566,212030377,Directed,24,,1
1244772430821896192,8351303937709830693,Directed,25,,1
1244772430821896192,128372940,Directed,26,,1
1244772430821896192,2726301380,Directed,27,,1
1244772430821896192,1113094855281008641,Directed,28,,1
1244772430821896192,971822131024748545,Directed,29,,1
1244772430821896192,1074209186752413696,Directed,30,,1
1244772430821896192,1083774484123975680,Directed,31,,1
1244772430821896192,68712576,Directed,32,,1
1244772430821896192,74756085,Directed,33,,1
1244772430821896192,40053694,Directed,34,,1
1244772344444473344,5098057261776422715,Directed,35,,1
1244772344444473344,40053694,Directed,36,,1
1244771791043788801,1244771791043788801,Directed,37,,1
1244771750765879296,1228085152263409665,Directed,38,,1
1244771574013743104,14594698,Directed,39,,1
1244771574013743104,56692859,Directed,40,,1
1244771386247299076,570148387,Directed,41,,1
1244771366848606218,971415379103842304,Directed,42,,1
1244771138124873731,279334127,Directed,43,,1
1244771138124873731,252168075,Directed,44,,1
1244771059695525899,1875878815,Directed,45,,1
1244770958940012547,33584794,Directed,46,,1
1244770446257664002,980953536606466055,Directed,47,,1
1244770168603054080,706609000830406656,Directed,48,,1
1244770168603054080,222231985,Directed,49,,1
1244770140232781827,2239745698,Directed,50,,1
1244770140232781827,74722174,Directed,51,,1
1244770140232781827,128372940,Directed,52,,1
1244770140232781827,37717107,Directed,53,,1
1244770140232781827,975127727501185025,Directed,54,,1
1244770140232781827,357030742,Directed,55,,1
1244770140232781827,123710016,Directed,56,,1
1244769795872088065,264832207,Directed,57,,1
1244769795872088065,2420875670,Directed,58,,1
1244769795872088065,804827784493338624,Directed,59,,1
1244769327791910920,54341363,Directed,60,,1
1244769327791910920,142393421,Directed,61,,1
1244769327791910920,474595805,Directed,62,,1
1244769327791910920,76369002,Directed,63,,1
1244769327791910920,76651032,Directed,64,,1
1244769327791910920,31201557,Directed,65,,1
1244769327791910920,17715048,Directed,66,,1
1244769327791910920,1523748277,Directed,67,,1
1244769079086350336,1019812561,Directed,68,,1
1244769001563193345,1875878815,Directed,69,,1
1244768960459034630,1074209186752413696,Directed,70,,1
1244768960459034630,288882715,Directed,71,,1
1244768587111444480,19667016,Directed,72,,1
1244768587111444480,9317502,Directed,73,,1
1244768447906451456,16892009,Directed,74,,1
1244768255635529729,275632510,Directed,75,,1
1244768255635529729,362697550,Directed,76,,1
1244768255635529729,128020344,Directed,77,,1
1244768255635529729,3230941657,Directed,78,,1
1244768255635529729,2756180896,Directed,79,,1
1244768009035468801,19667016,Directed,80,,1
1244767939036958721,1875878815,Directed,81,,1
1244767487490695168,1074209186752413696,Directed,82,,1
1244767117779632129,22219885,Directed,83,,1
1244767106211733505,74756085,Directed,84,,1
1244767106211733505,1201864404855377922,Directed,85,,1
1244767069717045248,275178249,Directed,86,,1
1244766174367363073,106122302,Directed,87,,1
1244766174367363073,55436610,Directed,88,,1
1244766046868963328,128372940,Directed,89,,1
1244766046357200904,1160207360167743495,Directed,90,,1
1244766046357200904,790680,Directed,91,,1
1244766046357200904,2563917541,Directed,92,,1
1244765799459573760,3092434408,Directed,93,,1
1244765235212365824,747992585302589441,Directed,94,,1
1244765235212365824,834805651146678274,Directed,95,,1
1244765235212365824,1074209186752413696,Directed,96,,1
1244765017041494016,14673230,Directed,97,,1
1244764728553017349,1691766560,Directed,98,,1
1244764728553017349,2874267760,Directed,99,,1
