Source,Target,Type,Label,timeset,Weight
1300219965329596417,1000388273792045056,Directed,0,,1
1300218842933796864,1230295072446537728,Directed,1,,1
1300217398025478145,180149692,Directed,2,,1
1300212715428995072,14128609,Directed,3,,1
1300211800751955969,994303120376303616,Directed,4,,1
1300211293761175553,975127727501185025,Directed,5,,1
1300207822987235330,18436797,Directed,6,,1
1300206010188156928,250769217,Directed,7,,1
1300198094370471936,54341363,Directed,8,,1
1300196738180034561,54341363,Directed,9,,1
1300194333128359936,77790994,Directed,10,,1
1300191726397804546,64376886,Directed,11,,1
1300191590468784128,45447020,Directed,12,,1
1300190762018181120,52499387,Directed,13,,1
1300189647688077312,9317502,Directed,14,,1
1300189629119959045,32101740,Directed,15,,1
1300184413641347072,1156020856084000769,Directed,16,,1
1300183960094421004,54341363,Directed,17,,1
1300179675185131531,8802752,Directed,18,,1
1300178640940998658,799972954645942272,Directed,19,,1
1300177807096590337,10012122,Directed,20,,1
1300177464388444161,1263116073777364992,Directed,21,,1
1300175133705986048,1186340935124291586,Directed,22,,1
1300173979538333697,9317502,Directed,23,,1
1300173077083381760,102478163,Directed,24,,1
1300170727174418439,4548359297,Directed,25,,1
1300168926085763072,1105126592370618370,Directed,26,,1
1300168540130025478,1142142815117484032,Directed,27,,1
1300163328048848896,1180659313595031560,Directed,28,,1
1300162515968634882,1120399498692497408,Directed,29,,1
1300161966246440960,18048681,Directed,30,,1
1300157430979006465,41280003,Directed,31,,1
1300153696903483394,166751878,Directed,32,,1
1300149888697671683,1255222024030564361,Directed,33,,1
1300146681753862145,215322898,Directed,34,,1
1300144079540563968,183398510,Directed,35,,1
1300139680185421824,1274430065087000582,Directed,36,,1
1300138061100126210,991019970803978245,Directed,37,,1
1300136412482764800,894281995689349120,Directed,38,,1
1300130231618080769,1623272011,Directed,39,,1
1300127794467348480,31511871,Directed,40,,1
1300123940958986246,916419468884135936,Directed,41,,1
1300123656740319232,31511871,Directed,42,,1
1300119845753761793,1206696073231773696,Directed,43,,1
1300119678795296768,357030742,Directed,44,,1
1300119340373757953,335141638,Directed,45,,1
1300118907550863360,16794066,Directed,46,,1
1300114786311720960,8802752,Directed,47,,1
1300105371269431297,1081497572538306560,Directed,48,,1
1300104304012013568,32101740,Directed,49,,1
1300102131597414403,1029093933207506944,Directed,50,,1
1300101207986503680,890960460224319488,Directed,51,,1
1300100923503579139,25390350,Directed,52,,1
1300090910974377989,126313462,Directed,53,,1
1300090666530279424,15007299,Directed,54,,1
1300089162918440961,1082939283298811904,Directed,55,,1
1300088698990735361,1074682842192453633,Directed,56,,1
1300087400820072448,54341363,Directed,57,,1
1300083999877017601,83224693,Directed,58,,1
1300082583351562242,60062381,Directed,59,,1
1300080746409926658,27011708,Directed,60,,1
