Source,Target,Type,Label,timeset,Weight
1344433048511799301,63010366,Directed,0,,1
1344432367780376577,128372940,Directed,1,,1
1344427330081533957,128372940,Directed,2,,1
1344425584915582976,1051033474784796672,Directed,3,,1
1344424962313084928,128372940,Directed,4,,1
1344420106420576259,29274419,Directed,5,,1
1344418152738910214,448998685,Directed,6,,1
1344417106759184385,25029808,Directed,7,,1
1344416556974043136,14594813,Directed,8,,1
1344416364296024066,14594698,Directed,9,,1
1344415459525996544,128372940,Directed,10,,1
1344414996030218240,4756619295,Directed,11,,1
1344414803457159168,4756619295,Directed,12,,1
1344414384970489856,33520195,Directed,13,,1
1344413770886639616,128372940,Directed,14,,1
1344412158298357762,128372940,Directed,15,,1
1344411658110836743,128372940,Directed,16,,1
1344411535314137089,3301120439,Directed,17,,1
1344409909115424768,128372940,Directed,18,,1
1344409060020547589,1315059245839273985,Directed,19,,1
1344409017154752513,3037008029,Directed,20,,1
1344406631765958656,4756619295,Directed,21,,1
1344405876585730055,154920224,Directed,22,,1
1344405133808066562,1221218015791984640,Directed,23,,1
1344404866832199681,128372940,Directed,24,,1
1344403237269602306,119935574,Directed,25,,1
1344401670747336707,709380049544331264,Directed,26,,1
1344399035541692419,24250530,Directed,27,,1
1344398870550372356,1221218015791984640,Directed,28,,1
1344398494665203712,14594698,Directed,29,,1
1344397107235614724,1003301201285435392,Directed,30,,1
1344397078680776709,1184178787786936320,Directed,31,,1
1344396670604353538,326071624,Directed,32,,1
1344396623259045888,4756619295,Directed,33,,1
1344393457679421442,1294284740237852673,Directed,34,,1
1344391287773007874,1185212394634727424,Directed,35,,1
1344389594888994818,701725963,Directed,36,,1
1344389288885161986,969228816009846786,Directed,37,,1
1344388693193330690,44608726,Directed,38,,1
1344388014416556032,1203122965728116736,Directed,39,,1
1344386001184169985,1523823530,Directed,40,,1
1344385893847732234,4474207935,Directed,41,,1
1344383164521852929,14525148,Directed,42,,1
1344378856417931268,1324353309285752832,Directed,43,,1
1344378084288581638,45409867,Directed,44,,1
1344374101150982146,1132653308055887872,Directed,45,,1
1344371305362182152,1288607168388837377,Directed,46,,1
1344369070284615683,464128120,Directed,47,,1
1344368499783831553,32529120,Directed,48,,1
1344364187506638849,326071624,Directed,49,,1
1344363099470655490,25029808,Directed,50,,1
1344362389077184512,234966034,Directed,51,,1
1344358793338101764,1222939896349970432,Directed,52,,1
1344358552803160069,39786972,Directed,53,,1
1344356745951506434,70799317,Directed,54,,1
1344356418879696896,142393421,Directed,55,,1
1344353991984099335,837874510414098432,Directed,56,,1
1344353691382513665,495417511,Directed,57,,1
1344353653851901952,1221218015791984640,Directed,58,,1
1344351709225754625,1221218015791984640,Directed,59,,1
1344348640651980800,83149967,Directed,60,,1
1344348319565418496,1066144755493543936,Directed,61,,1
1344347302618685443,250769217,Directed,62,,1
1344344896430362631,33374761,Directed,63,,1
1344343858172358656,790680,Directed,64,,1
1344342650183409664,33374761,Directed,65,,1
1344341504228257793,1221218015791984640,Directed,66,,1
1344341195443621888,1263110407264374784,Directed,67,,1
1344340595725123584,1221218015791984640,Directed,68,,1
