Source,Target,Type,Label,timeset,Weight
1277753151689568261,1070647634552082432,Directed,0,,1
1277752996290592768,553658110,Directed,1,,1
1277752745370554368,47984479,Directed,2,,1
1277752608283938818,2512961019,Directed,3,,1
1277751730202120194,42868756,Directed,4,,1
1277749931890130944,86124966,Directed,5,,1
1277749879834632194,193500696,Directed,6,,1
1277748788946448390,86550361,Directed,7,,1
1277748225655570432,68712576,Directed,8,,1
1277748083741331457,712485187481952261,Directed,9,,1
1277745830993289216,43023158,Directed,10,,1
1277745789943635968,2597576840,Directed,11,,1
1277745637761654785,2174809804,Directed,12,,1
1277745393963610112,32101740,Directed,13,,1
1277745281489154048,32101740,Directed,14,,1
1277744135907262470,17715048,Directed,15,,1
1277743940473675782,8802752,Directed,16,,1
1277742900969963520,779844450147237889,Directed,17,,1
1277742668840349696,8802752,Directed,18,,1
1277741669459378178,751454653011951616,Directed,19,,1
1277741643114909697,68712576,Directed,20,,1
1277741000920891397,1138847289978626049,Directed,21,,1
1277740858704625666,1041468381403250689,Directed,22,,1
1277740642903429120,24802340,Directed,23,,1
1277740188098269185,53232912,Directed,24,,1
1277739937182384130,626725650,Directed,25,,1
1277739891280039936,1254941533360607232,Directed,26,,1
1277738784109596672,60722362,Directed,27,,1
1277738069500874754,1261301167205818371,Directed,28,,1
1277736435697811461,1201864404855377922,Directed,29,,1
1277735648829595654,57044549,Directed,30,,1
1277735458756333573,86550361,Directed,31,,1
1277735279852478464,86550361,Directed,32,,1
1277733044787580928,32101740,Directed,33,,1
1277728938387791878,24802340,Directed,34,,1
1277728306364907520,1267925527605755905,Directed,35,,1
1277727276554227712,8802752,Directed,36,,1
1277724663691558912,43340387,Directed,37,,1
1277723010292682755,1138847289978626049,Directed,38,,1
1277722019371638784,8802752,Directed,39,,1
1277721666341212163,8802752,Directed,40,,1
1277721039573745665,1106337804643168258,Directed,41,,1
1277720878118297602,975127727501185025,Directed,42,,1
1277720565982339075,95904965,Directed,43,,1
1277720275862380546,4060086012,Directed,44,,1
1277720242085658627,3060235071,Directed,45,,1
1277720239808053248,8802752,Directed,46,,1
1277719555264131074,787361839827062788,Directed,47,,1
1277718758166061058,8802752,Directed,48,,1
1277716245241044994,8802752,Directed,49,,1
1277715964256235521,1255625577228316672,Directed,50,,1
1277715896329474051,36413526,Directed,51,,1
1277713526019231745,8802752,Directed,52,,1
1277713143012233216,1629353329,Directed,53,,1
1277713022434381825,1148957624282624000,Directed,54,,1
1277712726467411969,24802340,Directed,55,,1
1277712172307681282,8802752,Directed,56,,1
1277711882841985025,64706049,Directed,57,,1
1277710863647084545,68712576,Directed,58,,1
1277710664090505217,112786548,Directed,59,,1
1277710182286536705,24802340,Directed,60,,1
1277709489635053569,761267701780209664,Directed,61,,1
1277708655580844034,57044549,Directed,62,,1
1277706756626567171,1025379394574008320,Directed,63,,1
1277705335613149194,1038122587769987073,Directed,64,,1
1277703673590755329,8802752,Directed,65,,1
1277703246593896460,8802752,Directed,66,,1
1277703055908233217,21585076,Directed,67,,1
1277702375420170240,70799317,Directed,68,,1
1277701052125642752,8802752,Directed,69,,1
1277700832088272896,43023158,Directed,70,,1
1277700736143540225,204368952,Directed,71,,1
1277700412905263105,70799317,Directed,72,,1
1277700034205810688,8802752,Directed,73,,1
1277698460968521729,8802752,Directed,74,,1
1277697984352981000,16795139,Directed,75,,1
1277697653380452356,1106007969181958144,Directed,76,,1
1277697030991818752,68712576,Directed,77,,1
1277696560323854336,3437495182,Directed,78,,1
1277691796437565444,17229160,Directed,79,,1
1277691315870982145,50456603,Directed,80,,1
1277689661629005825,1161750045160554501,Directed,81,,1
1277689640842080256,1629353329,Directed,82,,1
1277689341482065929,68712576,Directed,83,,1
1277688011073953792,131272137,Directed,84,,1
1277686927467167746,39326635,Directed,85,,1
1277686476566822919,1137581080788307968,Directed,86,,1
1277685595884654597,809124436880322561,Directed,87,,1
1277685254514507777,41280003,Directed,88,,1
1277684599032893442,8802752,Directed,89,,1
1277683977512529920,2880932962,Directed,90,,1
1277682997223993346,3351081418,Directed,91,,1
1277681989500493824,2174537102,Directed,92,,1
1277681492446138368,1629353329,Directed,93,,1
1277681231963009026,68712576,Directed,94,,1
1277681008041754625,67150902,Directed,95,,1
1277678227339821056,24802340,Directed,96,,1
1277678166182711296,24261916,Directed,97,,1
1277677598856929280,68712576,Directed,98,,1
1277675652867665920,24802340,Directed,99,,1
1277674879605788672,913144237260197894,Directed,100,,1
1277674122110218241,1055515184272498688,Directed,101,,1
1277673879679442955,68712576,Directed,102,,1
1277673192820224007,8802752,Directed,103,,1
1277672047469105159,1193576608969433088,Directed,104,,1
