Source,Target,Type,Label,timeset,Weight
1244775753838989319,40053694,Directed,0,,1
1244774612266889218,128372940,Directed,1,,1
1244774561515790337,34779125,Directed,2,,1
1244774551453663233,97555792,Directed,3,,1
1244773577901162496,1083774484123975680,Directed,4,,1
1244772762390052865,74756085,Directed,5,,1
1244771386247299076,2988152505,Directed,6,,1
1244770542563057673,1125509026274521090,Directed,7,,1
1244770528017219584,1074209186752413696,Directed,8,,1
1244769771767443456,1074209186752413696,Directed,9,,1
1244766558536314887,577407652,Directed,10,,1
1244766431570518018,595508725,Directed,11,,1
1244766046868963328,975127727501185025,Directed,12,,1
1244765263356182529,112570023,Directed,13,,1
1244765224613359617,1015007536762716161,Directed,14,,1
1244763753008238599,1071499269880901639,Directed,15,,1
1244763341026983939,1071499269880901639,Directed,16,,1
1244762928315650048,128372940,Directed,17,,1
1244762904777437185,33520195,Directed,18,,1
1244761906130411526,128372940,Directed,19,,1
1244761726467399681,15249841,Directed,20,,1
1244757497317134339,2563917541,Directed,21,,1
1244755927548473346,225925013,Directed,22,,1
1244753590268448768,268512837,Directed,23,,1
1244752790272049152,128372940,Directed,24,,1
1244751949658050567,74756085,Directed,25,,1
1244749720314163201,128372940,Directed,26,,1
1244747087591309312,0,Directed,27,,1
1244746016429137922,74756085,Directed,28,,1
1244744740987428866,128372940,Directed,29,,1
1244737253848633344,161838613,Directed,30,,1
1244735014564225024,1074209186752413696,Directed,31,,1
1244733627629535232,831760092,Directed,32,,1
1244732998471335938,146569971,Directed,33,,1
1244732736251858945,1074209186752413696,Directed,34,,1
1244732334974304257,945809862390370304,Directed,35,,1
1244731653295087616,128372940,Directed,36,,1
1244730541443821569,921620790,Directed,37,,1
1244729024552763393,74756085,Directed,38,,1
1244728081706868738,1074209186752413696,Directed,39,,1
1244727739971764224,1074209186752413696,Directed,40,,1
1244727286512877568,67693913,Directed,41,,1
1244726142243942405,1074209186752413696,Directed,42,,1
1244725584372080641,1074209186752413696,Directed,43,,1
1244725534673821698,128372940,Directed,44,,1
1244724422310866952,811377027047636995,Directed,45,,1
1244724359190794241,128372940,Directed,46,,1
1244724091464056833,1533983665,Directed,47,,1
1244723284073209856,1068595011833470976,Directed,48,,1
1244723074521378817,1063733667309207553,Directed,49,,1
1244722850105303043,1107853739812179970,Directed,50,,1
