Source,Target,Type,Label,timeset,Weight
1322316003271913472,0,Directed,0,,1
1322314410052980741,1,Directed,1,,1
1322307921947074563,2,Directed,2,,1
1322291468195811329,3,Directed,3,,1
1322280120556683267,4,Directed,4,,1
1322275744882589698,5,Directed,5,,1
1322275317931745280,6,Directed,6,,1
1322272130747301888,7,Directed,7,,1
1322272019468242945,8,Directed,8,,1
1322270308980674567,9,Directed,9,,1
1322264883363274752,10,Directed,10,,1
1322258898015916033,11,Directed,11,,1
1322250994311454720,12,Directed,12,,1
1322250267409211392,1248628200952827910,Directed,13,,1
1322233716316479488,128372940,Directed,14,,1
1322230218396995588,354095556,Directed,15,,1
1322224617935802368,798892388366381056,Directed,16,,1
1322222568015826944,4550317786,Directed,17,,1
1322209079457140738,1194704144579416064,Directed,18,,1
1322202422698221573,1050174967298629633,Directed,19,,1
1322198978264518657,18122496,Directed,20,,1
1322190418541424640,330436300,Directed,21,,1
1322186794578939905,2714933675,Directed,22,,1
1322184550684987397,64244022,Directed,23,,1
1322173344213590016,248890506,Directed,24,,1
1322170909835337728,330436300,Directed,25,,1
1322169211968540672,128372940,Directed,26,,1
1322162804514848769,24802340,Directed,27,,1
1322136862123823105,1626294277,Directed,28,,1
1322135000725204997,64329731,Directed,29,,1
1322134299928383489,57830113,Directed,30,,1
1322133843692920833,74756085,Directed,31,,1
1322129822508851205,32529120,Directed,32,,1
1322127835910295552,1050174967298629633,Directed,33,,1
1322120097205526528,1096543637968773120,Directed,34,,1
1322118624946098176,83125338,Directed,35,,1
1322114080132485120,14594698,Directed,36,,1
1322076825124786177,85611444,Directed,37,,1
1322033967516798977,24802340,Directed,38,,1
1322028094220324864,1222939896349970432,Directed,39,,1
1322026605930254337,1068280852277313538,Directed,40,,1
