Source,Target,Type,Label,timeset,Weight
1311086403141480451,0,Directed,0,,1
1311079248623546369,1,Directed,1,,1
1311072239681495040,2,Directed,2,,1
1311066341609058304,3,Directed,3,,1
1311063002809077760,4,Directed,4,,1
1311062508199981059,5,Directed,5,,1
1311056787613810689,6,Directed,6,,1
1311053955334627328,7,Directed,7,,1
1311048952318435335,8,Directed,8,,1
1311048731849043971,9,Directed,9,,1
1311037100331085824,10,Directed,10,,1
1311036919040675841,11,Directed,11,,1
1311027138733236224,12,Directed,12,,1
1311014474715930624,13,Directed,13,,1
1311014426389229568,14,Directed,14,,1
1311011131293667330,15,Directed,15,,1
1311007773447122945,16,Directed,16,,1
1311006934284337152,17,Directed,17,,1
1311004389814013961,18,Directed,18,,1
1311001694969516033,19,Directed,19,,1
1311001285034901504,20,Directed,20,,1
1310995965344612355,21,Directed,21,,1
1310993480068542464,22,Directed,22,,1
1310992353826664449,23,Directed,23,,1
1310990681134059521,24,Directed,24,,1
1310986885515313154,25,Directed,25,,1
1310985435833946119,26,Directed,26,,1
1310981529145925632,27,Directed,27,,1
1310978342183743490,28,Directed,28,,1
1310974602173190150,29,Directed,29,,1
1310973258842484741,30,Directed,30,,1
1310971357451223042,31,Directed,31,,1
1310970877052420096,32,Directed,32,,1
1310968653635084289,33,Directed,33,,1
1310961497284247555,34,Directed,34,,1
1310955545990434817,35,Directed,35,,1
1310949304165691400,36,Directed,36,,1
1310940236399214595,37,Directed,37,,1
1310904382461038592,38,Directed,38,,1
1310899743569203202,39,Directed,39,,1
1310897676372844545,40,Directed,40,,1
1310888318423494657,41,Directed,41,,1
1310887267813208066,42,Directed,42,,1
1310884566341758976,43,Directed,43,,1
1310882543236009984,44,Directed,44,,1
1310879774613606401,45,Directed,45,,1
1310868208216309762,46,Directed,46,,1
1310847265993633797,47,Directed,47,,1
1310842024942329856,48,Directed,48,,1
1310837007522959361,49,Directed,49,,1
1310829771035750400,50,Directed,50,,1
1310788160692137984,51,Directed,51,,1
1310787064959586304,52,Directed,52,,1
1310787036434108417,53,Directed,53,,1
1310775166314721281,54,Directed,54,,1
1310771468037484546,55,Directed,55,,1
1310771333098344450,56,Directed,56,,1
1310769615681789958,57,Directed,57,,1
