Source,Target,Type,Label,timeset,Weight
1255647642798997505,1201864404855377922,Directed,0,,1
1255645376800944128,47718326,Directed,1,,1
1255637426581766150,2880932962,Directed,2,,1
1255633581139021830,30070288,Directed,3,,1
1255627589542084608,342403919,Directed,4,,1
1255626526701375490,74756085,Directed,5,,1
1255626246249156608,74756085,Directed,6,,1
1255623241982451712,3003883504,Directed,7,,1
1255620669091516416,832686254873468929,Directed,8,,1
1255607145921462274,1040704983358955526,Directed,9,,1
1255591204852465664,3003883504,Directed,10,,1
1255588897234415616,53039176,Directed,11,,1
1255588576504557574,19402238,Directed,12,,1
1255578814559645697,35751569,Directed,13,,1
1255569060072431620,64706049,Directed,14,,1
1255564505603608577,1248983147682947073,Directed,15,,1
1255555275760832515,14173315,Directed,16,,1
1255552072612745217,1156946536045174785,Directed,17,,1
1255550160333090818,9317502,Directed,18,,1
1255543843635724294,816256267194867712,Directed,19,,1
1255540709643386881,1254141493780066305,Directed,20,,1
1255534447056822279,345524427,Directed,21,,1
1255534090784210946,32101740,Directed,22,,1
1255533220126433283,9722452,Directed,23,,1
1255531572192841728,27013292,Directed,24,,1
1255528519460745216,115939053,Directed,25,,1
1255525669473312768,149776802,Directed,26,,1
1255520939250520066,475862409,Directed,27,,1
1255520287753453579,128372940,Directed,28,,1
1255519634549280771,803788403179474945,Directed,29,,1
1255518364203651072,475862409,Directed,30,,1
1255517942617452546,227694096,Directed,31,,1
1255510569152581632,885868623994245120,Directed,32,,1
1255503853899993088,74756085,Directed,33,,1
1255500483202109441,266861485,Directed,34,,1
1255498405536763909,14500900,Directed,35,,1
1255494335031894019,1070086043901313024,Directed,36,,1
1255490279639040000,128372940,Directed,37,,1
1255488843358355462,336012343,Directed,38,,1
1255474427615219712,1040279810126303232,Directed,39,,1
1255468240874156034,2884022608,Directed,40,,1
1255465750413934592,1105126592370618370,Directed,41,,1
1255462265270214657,1003301201285435392,Directed,42,,1
1255458630985494530,475862409,Directed,43,,1
1255455904612433922,128372940,Directed,44,,1
1255436996467724288,511843282,Directed,45,,1
1255434993649811456,1105126592370618370,Directed,46,,1
1255426827939700737,17715048,Directed,47,,1
1255415697259278336,19402238,Directed,48,,1
1255413793598947330,475862409,Directed,49,,1
1255402447310336002,434891334,Directed,50,,1
1255386571894935553,49645942,Directed,51,,1
1255373028864778240,19402238,Directed,52,,1
1255354652889174017,112570023,Directed,53,,1
