Source,Target,Type,Label,timeset,Weight
1300212538643304448,1275083746438533121,Directed,0,,1
1300203423313391617,803788403179474945,Directed,1,,1
1300202856629313538,888929480714145792,Directed,2,,1
1300200900762492933,1183327309224386560,Directed,3,,1
1300197121686212610,36413526,Directed,4,,1
1300193542346805248,907619081066631168,Directed,5,,1
1300192391819931648,57870905,Directed,6,,1
1300155423505473537,2972088165,Directed,7,,1
1300145889865019392,1879324716,Directed,8,,1
1300134748904398856,1040696441893801984,Directed,9,,1
1300129463368331264,1074209186752413696,Directed,10,,1
1300113344293203968,126520566,Directed,11,,1
1300105729542684674,32101740,Directed,12,,1
1300103726875783169,311691153,Directed,13,,1
1300097408085495810,14662354,Directed,14,,1
1300095786689212416,1208291834960715776,Directed,15,,1
1300086958807539712,292583158,Directed,16,,1
1300078835594035202,391920857,Directed,17,,1
1300056461842829314,14662354,Directed,18,,1
1300054779431989250,90441288,Directed,19,,1
1300035100583833601,304092926,Directed,20,,1
1299961568210432000,823255657902129153,Directed,21,,1
1299954617380470786,1039132774249185280,Directed,22,,1
1299953410276458496,894281995689349120,Directed,23,,1
1299935813745156097,1285637268795879424,Directed,24,,1
1299931040732119041,1240107551527763968,Directed,25,,1
1299925399095439360,87073645,Directed,26,,1
1299909597751250945,271464227,Directed,27,,1
1299880403055136768,395344095,Directed,28,,1
1299874800064696320,14662354,Directed,29,,1
1299871788009222145,1044787077282496512,Directed,30,,1
1299862376045518850,54341363,Directed,31,,1
1299855930889252864,1258585737425047554,Directed,32,,1
1299853967149748224,2706139399,Directed,33,,1
1299850675916951553,823255657902129153,Directed,34,,1
1299850491317420032,213860039,Directed,35,,1
1299850338095312896,1080860522248056832,Directed,36,,1
1299835964882325504,975127727501185025,Directed,37,,1
1299832678112538626,806344552718045184,Directed,38,,1
1299830529638965253,14754376,Directed,39,,1
1299829244957163521,32101740,Directed,40,,1
1299816737270116366,975127727501185025,Directed,41,,1
1299816238483464193,975127727501185025,Directed,42,,1
1299814140098367494,2775202518,Directed,43,,1
1299809612485603334,1254141493780066305,Directed,44,,1
1299791683010387969,806344552718045184,Directed,45,,1
1299789182815084545,326849708,Directed,46,,1
1299786142171234308,806344552718045184,Directed,47,,1
1299767893480144896,334135935,Directed,48,,1
1299766576258965504,1263282364844781570,Directed,49,,1
1299762924291059712,806344552718045184,Directed,50,,1
1299753307511099397,131318899,Directed,51,,1
1299750634162401280,26371840,Directed,52,,1
1299746281196322817,14594698,Directed,53,,1
1299745182339006465,108448051,Directed,54,,1
1299744258866458625,1251933194439610368,Directed,55,,1
1299743493926117376,64085650,Directed,56,,1
1299743096066973697,1071408436531904512,Directed,57,,1
1299739939987501059,108448051,Directed,58,,1
1299739865119162369,53226177,Directed,59,,1
1299736359406534656,108448051,Directed,60,,1
1299734543398772738,108448051,Directed,61,,1
1299733784049352704,14594698,Directed,62,,1
1299732326767788033,123713349,Directed,63,,1
1299728817775431686,14594698,Directed,64,,1
1299722288187797505,182573469,Directed,65,,1
1299720523203706880,20294499,Directed,66,,1
