Source,Target,Type,Label,timeset,Weight
1344431754732515331,24250530,Directed,0,,1
1344427515994103815,128372940,Directed,1,,1
1344424273105088512,20736511,Directed,2,,1
1344417224166174723,1139260740148301825,Directed,3,,1
1344398432203628544,1122127745742405633,Directed,4,,1
1344392322151309313,4474207935,Directed,5,,1
1344387942316445704,1122127745742405633,Directed,6,,1
1344384624785584128,1719406974,Directed,7,,1
1344382638921035777,1122127745742405633,Directed,8,,1
1344381659920146433,1122127745742405633,Directed,9,,1
1344362409914486784,112570023,Directed,10,,1
1344358739114160130,1122127745742405633,Directed,11,,1
1344353007257849856,1048707026908577794,Directed,12,,1
1344343150823960576,33520195,Directed,13,,1
1344335436345389056,1122127745742405633,Directed,14,,1
1344334930898280451,809124436880322561,Directed,15,,1
1344331706128605186,1077746456746958851,Directed,16,,1
1344318676892327936,54183938,Directed,17,,1
1344310402365206529,13769472,Directed,18,,1
1344284570397638658,45870897,Directed,19,,1
1344252852022235138,37717107,Directed,20,,1
1344248069165035523,1066144755493543936,Directed,21,,1
1344244250733588480,1611556308,Directed,22,,1
1344242213715369984,908126885032468481,Directed,23,,1
1344220749708603392,1247175275621814275,Directed,24,,1
1344220611112017920,1103349617192775680,Directed,25,,1
1344220517918797826,3068908427,Directed,26,,1
1344220370354765824,340331807,Directed,27,,1
1344215975797768194,13769472,Directed,28,,1
1344206296074100736,1252033376435015680,Directed,29,,1
1344204596521164801,1036604998895976448,Directed,30,,1
1344201056138522624,1003301201285435392,Directed,31,,1
1344169824310751232,86550361,Directed,32,,1
1344126030441799681,92509126,Directed,33,,1
1344116548487802881,210077250,Directed,34,,1
1344105178400776192,1050121324436307970,Directed,35,,1
1344096450691686402,1221218015791984640,Directed,36,,1
1344095489654988800,332475242,Directed,37,,1
1344093674821595136,340331807,Directed,38,,1
1344088164558897153,986967849049747456,Directed,39,,1
1344075851751690254,1221218015791984640,Directed,40,,1
1344073591386763265,4816540349,Directed,41,,1
1344069228261998592,1090291692744466433,Directed,42,,1
1344068166817873929,52722451,Directed,43,,1
1344068140045623298,761007272361336836,Directed,44,,1
1344063567406968832,70799317,Directed,45,,1
1344063493838876673,244739873,Directed,46,,1
1344061597329862657,192378571,Directed,47,,1
1344058667642052608,2189036407,Directed,48,,1
1344057865301094401,66003638,Directed,49,,1
1344057042240237568,18912498,Directed,50,,1
1344041113137590288,1221218015791984640,Directed,51,,1
1344034850693636096,1036604998895976448,Directed,52,,1
1344033686065471493,58390909,Directed,53,,1
1344031580814274568,504554669,Directed,54,,1
1344015468831662082,67743025,Directed,55,,1
1344014950893834243,1276240872103800832,Directed,56,,1
1344014006634344450,1244311592604499970,Directed,57,,1
1344011264876572672,192378571,Directed,58,,1
1344009906660253696,58390909,Directed,59,,1
1344001756636860418,2189036407,Directed,60,,1
1344000172636966915,1003301201285435392,Directed,61,,1
1343990531127439366,1003301201285435392,Directed,62,,1
1343989439001993218,52722451,Directed,63,,1
1343989266574172163,2484809081,Directed,64,,1
1343988299875180549,2683464980,Directed,65,,1
1343982949126057995,44608726,Directed,66,,1
1343975387915837441,3352045510,Directed,67,,1
1343974385087111169,1221218015791984640,Directed,68,,1
1343973690204180481,1149032517120471042,Directed,69,,1
1343970015591202822,1090291692744466433,Directed,70,,1
1343965099283906560,4474207935,Directed,71,,1
1343957568515936259,33612275,Directed,72,,1
