Source,Target,Type,Label,timeset,Weight
1288987557485858821,907301328988332033,Directed,0,,1
1288986758621941761,1267925527605755905,Directed,1,,1
1288983934215356416,889245630463438850,Directed,2,,1
1288983878649159683,33520195,Directed,3,,1
1288983334425681926,155372716,Directed,4,,1
1288981447655723012,1055515184272498688,Directed,5,,1
1288981109972373506,1276491234031349761,Directed,6,,1
1288979793388675075,18820392,Directed,7,,1
1288976762429464582,1191927595635560448,Directed,8,,1
1288974562080837633,1356030014,Directed,9,,1
1288973577497251840,35203398,Directed,10,,1
1288973561206648835,35203398,Directed,11,,1
1288972588153217024,2892290499,Directed,12,,1
1288972193523802117,60929362,Directed,13,,1
1288970324449656834,2726301380,Directed,14,,1
1288969671081897984,3322502295,Directed,15,,1
1288968810100211713,223636134,Directed,16,,1
1288968719654432773,532229126,Directed,17,,1
1288968128882515968,1877426498,Directed,18,,1
1288968048632893441,75058892,Directed,19,,1
1288967572617154560,788349570,Directed,20,,1
1288964095295787010,758350964894015488,Directed,21,,1
1288961470009610240,3322502295,Directed,22,,1
1288959946395197442,791951026265821184,Directed,23,,1
1288959581545271297,170101506,Directed,24,,1
1288958925711310848,869662809075929088,Directed,25,,1
1288958685377703936,1251282053993304072,Directed,26,,1
1288958154458517506,1267925527605755905,Directed,27,,1
1288956912076292099,1129022308901896192,Directed,28,,1
1288955591432507392,1251282053993304072,Directed,29,,1
1288954788617617408,92652977,Directed,30,,1
1288954752047382529,89584864,Directed,31,,1
1288954110885146634,1146535398,Directed,32,,1
1288954027326296069,1251282053993304072,Directed,33,,1
1288953712711536640,806344552718045184,Directed,34,,1
1288952001649352706,1093319598114553856,Directed,35,,1
1288949706488524802,1146535398,Directed,36,,1
1288949180426260480,389084055,Directed,37,,1
1288947646909100034,1247178508473905158,Directed,38,,1
1288947025724223488,73254822,Directed,39,,1
1288943448435892225,780846744615530496,Directed,40,,1
1288940374040420352,2853461537,Directed,41,,1
1288938518748762119,145459615,Directed,42,,1
1288936120508731398,1006474869570093056,Directed,43,,1
1288935432152125441,1074209186752413696,Directed,44,,1
1288934248947372055,1222939896349970432,Directed,45,,1
1288934045422886912,36373308,Directed,46,,1
1288933691033636869,3913127241,Directed,47,,1
1288933397503660032,912492779669999616,Directed,48,,1
1288933013863256078,350822109,Directed,49,,1
1288932394528133136,93339429,Directed,50,,1
1288931262699315200,3322502295,Directed,51,,1
1288931007891214344,851052757960282112,Directed,52,,1
1288930570429517829,52722451,Directed,53,,1
1288928291769004033,142420252,Directed,54,,1
1288924508108324865,3322502295,Directed,55,,1
1288924473429839874,342403919,Directed,56,,1
1288924044121735170,3913127241,Directed,57,,1
1288923957937213442,3913127241,Directed,58,,1
1288923955907231744,64428524,Directed,59,,1
1288923118417981443,1179892107873525762,Directed,60,,1
1288922971122413569,3913127241,Directed,61,,1
1288922760916410368,105155795,Directed,62,,1
1288921676961533953,74756085,Directed,63,,1
1288921655398617089,18820392,Directed,64,,1
1288919918872858624,14662354,Directed,65,,1
1288919074815311872,3662771592,Directed,66,,1
1288918742144081921,851985789072408576,Directed,67,,1
1288918640360857601,544735824,Directed,68,,1
1288918430746390528,93339429,Directed,69,,1
1288916325981716480,225925013,Directed,70,,1
1288915698534830080,420586063,Directed,71,,1
1288915411157880833,2913693957,Directed,72,,1
1288914371356360709,73254822,Directed,73,,1
1288914321716674561,755763151170396160,Directed,74,,1
1288910815605686273,35203398,Directed,75,,1
1288910456531423234,928093930624901122,Directed,76,,1
1288909012189229065,73254822,Directed,77,,1
1288907560985210884,1288672188791500800,Directed,78,,1
1288904201326796801,210077250,Directed,79,,1
1288904124793270272,3322502295,Directed,80,,1
1288903953443434497,92340842,Directed,81,,1
1288902212589166593,4474207935,Directed,82,,1
