Source,Target,Type,Label,timeset,Weight
1277752988338176002,1174141619068723200,Directed,0,,1
1277751957332131840,128372940,Directed,1,,1
1277747156963778562,83858789,Directed,2,,1
1277740219236782080,43023158,Directed,3,,1
1277736972405137408,1254941533360607232,Directed,4,,1
1277731763981299712,1859818728,Directed,5,,1
1277722214620684289,2700299806,Directed,6,,1
1277722155501969411,3332947457,Directed,7,,1
1277721767650492419,1066144755493543936,Directed,8,,1
1277719532610768896,971764265676951552,Directed,9,,1
1277717297868742656,1254141493780066305,Directed,10,,1
1277705797678575621,953058541602070528,Directed,11,,1
1277701975975636994,1106337804643168258,Directed,12,,1
1277700048416055303,1538067019,Directed,13,,1
1277697643225980934,16892009,Directed,14,,1
1277695579024310272,182181105,Directed,15,,1
1277693465795661824,20736511,Directed,16,,1
1277690923376349191,971110539169591298,Directed,17,,1
1277690452985118725,65473559,Directed,18,,1
1277681935528062976,128372940,Directed,19,,1
1277681132272828416,43023158,Directed,20,,1
1277679682075480067,1066144755493543936,Directed,21,,1
1277674703654735873,1929350725,Directed,22,,1
1277673182300901377,1009046609424941056,Directed,23,,1
1277672504484597761,288474923,Directed,24,,1
1277661210071138304,1281187602,Directed,25,,1
1277659842442862595,256747696,Directed,26,,1
1277659591627718659,1124660861535236096,Directed,27,,1
1277654186625241091,14436030,Directed,28,,1
1277652043189149697,41935355,Directed,29,,1
1277651039169261571,47251304,Directed,30,,1
1277646023721136129,1000004748177805312,Directed,31,,1
1277643729713709056,1138847289978626049,Directed,32,,1
1277642674548457472,456795842,Directed,33,,1
1277640118124326913,24511456,Directed,34,,1
1277638520094556160,36413526,Directed,35,,1
1277630953746243586,1046878136309301248,Directed,36,,1
1277630678528557057,33977655,Directed,37,,1
1277627691131449348,128372940,Directed,38,,1
1277627303141552128,1066144755493543936,Directed,39,,1
1277623763220168704,520386868,Directed,40,,1
1277618424013873160,913144237260197894,Directed,41,,1
1277616873534824448,1066144755493543936,Directed,42,,1
1277616565089943553,344262204,Directed,43,,1
1277614722691538945,1066144755493543936,Directed,44,,1
1277610636407705604,30261067,Directed,45,,1
1277609783642783745,287291325,Directed,46,,1
1277596073696079873,347440286,Directed,47,,1
1277593788886781953,44536683,Directed,48,,1
1277587033712660481,819184274603671552,Directed,49,,1
1277584451262992384,2980524357,Directed,50,,1
1277581449726656513,1054727550113640448,Directed,51,,1
1277581011396763648,33520195,Directed,52,,1
1277579060747665410,1138847289978626049,Directed,53,,1
1277577095984619528,73254822,Directed,54,,1
1277575958200016896,1106007969181958144,Directed,55,,1
1277572723603132417,1015342794641170437,Directed,56,,1
1277570799386472450,727130698021261313,Directed,57,,1
1277559103712309249,1217916952888389632,Directed,58,,1
1277540500023762945,3374563353,Directed,59,,1
1277538786185011200,1066144755493543936,Directed,60,,1
1277472352524218369,4086538637,Directed,61,,1
1277471654558515201,755197610198052864,Directed,62,,1
1277465232332533761,1066144755493543936,Directed,63,,1
1277454990257389568,1259305899824484356,Directed,64,,1
1277448986618671104,727130698021261313,Directed,65,,1
1277443809228570624,1066144755493543936,Directed,66,,1
1277418710534422530,1176664736466964480,Directed,67,,1
1277417776777486337,2761075536,Directed,68,,1
1277413419801620481,58048468,Directed,69,,1
1277407019192987649,125486849,Directed,70,,1
1277406532091682816,1244155897749876736,Directed,71,,1
1277405903168385025,24802340,Directed,72,,1
1277403983544373248,33520195,Directed,73,,1
1277400947921125384,727130698021261313,Directed,74,,1
1277400441043771392,785201784,Directed,75,,1
1277397065908326401,1055222166491463681,Directed,76,,1
1277386028509204481,1044652115703009281,Directed,77,,1
1277383952169345024,1080860522248056832,Directed,78,,1
1277382890880368645,1054727550113640448,Directed,79,,1
