Source,Target,Type,Label,timeset,Weight
1244772052223045632,74756085,Directed,0,,1
1244772026050633730,751454653011951616,Directed,1,,1
1244771979393224705,1087259768,Directed,2,,1
1244771386247299076,2988152505,Directed,3,,1
1244769844592922624,144207783,Directed,4,,1
1244769588103036933,14840606,Directed,5,,1
1244766046868963328,975127727501185025,Directed,6,,1
1244764655521841155,282695161,Directed,7,,1
1244762689899057155,3092434408,Directed,8,,1
1244762526178574342,566401400,Directed,9,,1
1244762272691609612,1201864404855377922,Directed,10,,1
1244758120993370114,83032457,Directed,11,,1
1244757282887475200,7744592,Directed,12,,1
1244751233929351171,104869666,Directed,13,,1
1244749135649157126,428333,Directed,14,,1
1244747221129662474,842132775843037185,Directed,15,,1
1244747188577669120,1242471700257595403,Directed,16,,1
1244745099004780545,128372940,Directed,17,,1
1244742043412414464,15088915,Directed,18,,1
1244739658615062528,87837604,Directed,19,,1
1244736438874365954,83050864,Directed,20,,1
1244735171363995649,128372940,Directed,21,,1
1244735168562200577,803788403179474945,Directed,22,,1
1244733721468641285,2228816504,Directed,23,,1
1244732264904343552,930133384936001537,Directed,24,,1
1244730541443821569,921620790,Directed,25,,1
1244727285133053953,1593765786,Directed,26,,1
1244726299836461068,106122302,Directed,27,,1
1244724422310866952,811377027047636995,Directed,28,,1
1244724091464056833,1533983665,Directed,29,,1
1244723074521378817,1063733667309207553,Directed,30,,1
1244722850105303043,1107853739812179970,Directed,31,,1
1244720440087646209,1242471700257595403,Directed,32,,1
1244719350449307658,2826292747,Directed,33,,1
1244719075084980227,304446807,Directed,34,,1
1244717559242469377,593189095,Directed,35,,1
1244715685009412096,487472811,Directed,36,,1
1244715515853094925,820585528160636928,Directed,37,,1
1244715497318465536,593189095,Directed,38,,1
1244715353030168576,128372940,Directed,39,,1
1244715233421275137,128372940,Directed,40,,1
1244714713700843521,347026577,Directed,41,,1
1244711836425031682,487472811,Directed,42,,1
1244711325256822784,1074209186752413696,Directed,43,,1
1244710916006035462,33520195,Directed,44,,1
1244709623489335296,1201864404855377922,Directed,45,,1
1244708951159189504,61799669,Directed,46,,1
1244707816557944832,22219885,Directed,47,,1
1244706390377222144,61799669,Directed,48,,1
1244705704725839873,2716763753,Directed,49,,1
1244705528351260672,84076180,Directed,50,,1
1244705424357691392,1100880648150175749,Directed,51,,1
1244705116915187716,151984352,Directed,52,,1
1244704900384251904,61799669,Directed,53,,1
1244704734272946177,1242188614810959874,Directed,54,,1
1244704071677882368,1242471700257595403,Directed,55,,1
1244700779103084544,22219885,Directed,56,,1
1244700361010614272,1242471700257595403,Directed,57,,1
1244699926698827778,912492779669999616,Directed,58,,1
