Source,Target,Type,Label,timeset,Weight
1333196103831924743,8802752,Directed,0,,1
1333191656259117064,1145737805211025408,Directed,1,,1
1333181571369758722,73767560,Directed,2,,1
1333181455950811139,130203587,Directed,3,,1
1333180558063652864,1284986998063869952,Directed,4,,1
1333177606213148673,73767560,Directed,5,,1
1333176366263644162,523331076,Directed,6,,1
1333173346943578113,59476917,Directed,7,,1
1333171818769879048,1262534490951421952,Directed,8,,1
1333142860741439488,1145737805211025408,Directed,9,,1
1333136663032324099,1078618844007157761,Directed,10,,1
1333134025897242624,116716199,Directed,11,,1
1333128046958817284,91430932,Directed,12,,1
1333127325928583169,294914798,Directed,13,,1
1333097515604971529,16632084,Directed,14,,1
1333092884376145921,449974837,Directed,15,,1
1333088704026570752,1145737805211025408,Directed,16,,1
1333082397919809539,449974837,Directed,17,,1
1333081061727866891,216527950,Directed,18,,1
1333078154878078980,1145737805211025408,Directed,19,,1
1333068315514769411,449974837,Directed,20,,1
1333040089019117569,449974837,Directed,21,,1
1333033915381067778,702538741601140736,Directed,22,,1
1333028987023618050,449974837,Directed,23,,1
1333028341759270912,449974837,Directed,24,,1
1333027357796478976,806344552718045184,Directed,25,,1
1333025101139369985,449974837,Directed,26,,1
1333023559518720006,3215652176,Directed,27,,1
1333012401428590594,3412904122,Directed,28,,1
1332972163431886848,14511951,Directed,29,,1
1332953521235353601,1020798087449776128,Directed,30,,1
1332878071628705793,1158355664,Directed,31,,1
1332873673611603968,3412904122,Directed,32,,1
1332845712380399616,3131182829,Directed,33,,1
1332832263520837634,702538741601140736,Directed,34,,1
1332814435816239112,531422272,Directed,35,,1
1332807115308732416,2438022373,Directed,36,,1
1332805126575284224,702538741601140736,Directed,37,,1
1332796793042722819,702538741601140736,Directed,38,,1
1332791228853866497,957252520853819392,Directed,39,,1
1332790428098236418,745761593665982464,Directed,40,,1
1332790341674668032,224218067,Directed,41,,1
1332786134624120836,149659716,Directed,42,,1
1332785381289418759,14594698,Directed,43,,1
1332779677669335043,18831926,Directed,44,,1
1332759116528427008,47251304,Directed,45,,1
1332753323200540677,31161322,Directed,46,,1
1332743971299274755,9317502,Directed,47,,1
1332743936838955013,17752026,Directed,48,,1
1332699178095570949,395392468,Directed,49,,1
1332698845503959040,59476917,Directed,50,,1
1332689225054101504,1290259240494432256,Directed,51,,1
1332679161765367808,1078618844007157761,Directed,52,,1
1332678317967814656,1282385133937598464,Directed,53,,1
1332672369819840513,4610785887,Directed,54,,1
1332670662960361480,17752026,Directed,55,,1
1332653745839222785,1078618844007157761,Directed,56,,1
1332649587484614656,806344552718045184,Directed,57,,1
1332648762272047104,1282385133937598464,Directed,58,,1
1332644556433666048,18956073,Directed,59,,1
1332635120008835072,1282385133937598464,Directed,60,,1
1332616375802671104,1282385133937598464,Directed,61,,1
1332535841823076355,292929271,Directed,62,,1
1332533172102377475,2413289725,Directed,63,,1
1332530795345563648,4065162315,Directed,64,,1
1332521118373212162,806344552718045184,Directed,65,,1
1332517237303996421,102601082,Directed,66,,1
1332514624558817286,15249841,Directed,67,,1
1332511995602538496,806344552718045184,Directed,68,,1
1332501213473091584,1233431371210727425,Directed,69,,1
1332487780413353984,17752026,Directed,70,,1
1332471937189163010,2884771,Directed,71,,1
1332468772402307073,3355276119,Directed,72,,1
1332468159102771201,806344552718045184,Directed,73,,1
1332453601470525441,263311307,Directed,74,,1
1332435839977213952,1222939896349970432,Directed,75,,1
1332434888344162304,806344552718045184,Directed,76,,1
1332434716629360642,16632084,Directed,77,,1
1332425631993368576,68440549,Directed,78,,1
1332425476116189184,74756085,Directed,79,,1
1332422113244958722,762402774260875265,Directed,80,,1
1332420978459234310,806344552718045184,Directed,81,,1
1332376558603038723,19740831,Directed,82,,1
1332370670861299716,18956073,Directed,83,,1
1332368917541642242,54341363,Directed,84,,1
1332342117402816512,19667016,Directed,85,,1
1332332228035158016,1222939896349970432,Directed,86,,1
1332330266946363392,18956073,Directed,87,,1
1332323994490515456,1222939896349970432,Directed,88,,1
1332311717917962247,1076850381160964096,Directed,89,,1
1332303445831847936,350476403,Directed,90,,1
1332302987184775172,116716199,Directed,91,,1
1332290707210563584,116716199,Directed,92,,1
1332280012804861952,74756085,Directed,93,,1
1332230011479339011,1196207508647546881,Directed,94,,1
1332212040392433665,74756085,Directed,95,,1
