Source,Target,Type,Label,timeset,Weight
1322312296404836353,1129681838,Directed,0,,1
1322296788188016640,1254080476823932930,Directed,1,,1
1322287626716631040,806344552718045184,Directed,2,,1
1322279725016977411,806344552718045184,Directed,3,,1
1322270366119636992,1197148955773153280,Directed,4,,1
1322259827020713985,806344552718045184,Directed,5,,1
1322251595304869889,61251074,Directed,6,,1
1322244673352749061,83858789,Directed,7,,1
1322212562969251841,1148318806303027205,Directed,8,,1
1322197486866472960,1254080476823932930,Directed,9,,1
1322184154071654401,74756085,Directed,10,,1
1322174297746612225,74756085,Directed,11,,1
1322173186881060864,2822662924,Directed,12,,1
1322173126667546630,1510477088,Directed,13,,1
1322172851210854400,3429824939,Directed,14,,1
1322172403297013763,123887939,Directed,15,,1
1322172260669640705,46669483,Directed,16,,1
1322163035021152256,142461507,Directed,17,,1
1322162871325904896,14594698,Directed,18,,1
1322162734188867584,3331429624,Directed,19,,1
1322162646527942658,14594813,Directed,20,,1
1322162474670587905,30070288,Directed,21,,1
1322162386934136832,17711232,Directed,22,,1
1322162280986038272,65473559,Directed,23,,1
1322162206893637633,291926260,Directed,24,,1
1322160262661787649,67865633,Directed,25,,1
1322159935082385408,570942005,Directed,26,,1
1322159874319413248,1125899185855848448,Directed,27,,1
1322159789946929153,36886145,Directed,28,,1
1322159663845171202,1125899185855848448,Directed,29,,1
1322159373834199040,991676636738281472,Directed,30,,1
1322158986339246080,1045192364908851206,Directed,31,,1
1322158845637070853,1290259240494432256,Directed,32,,1
1322158677806243847,230344210,Directed,33,,1
1322158571648393217,1055689074177179649,Directed,34,,1
1322158453427785728,2980524357,Directed,35,,1
1322158342496804865,1249769581725573121,Directed,36,,1
1322158246573023238,1045192364908851206,Directed,37,,1
1322158138578116608,1639317996,Directed,38,,1
1322158030792871936,1249769581725573121,Directed,39,,1
1322157902216527872,1053003526052474881,Directed,40,,1
1322157764085456896,36373308,Directed,41,,1
1322157656350609408,1426457622,Directed,42,,1
1322157551195181056,1044278134659518464,Directed,43,,1
1322157452687802370,35436883,Directed,44,,1
1322157344055320579,1043314950947659776,Directed,45,,1
1322157246164410368,720997579266396162,Directed,46,,1
1322157123527127043,1280904318951075846,Directed,47,,1
1322157027674755075,230344210,Directed,48,,1
1322156937945952256,1186949007194636288,Directed,49,,1
1322156630138671104,1102750047920447488,Directed,50,,1
1322156544432066562,1259305899824484356,Directed,51,,1
1322156318703132672,1259305899824484356,Directed,52,,1
1322156182916734978,1033109042191847424,Directed,53,,1
1322156087001440256,1053003526052474881,Directed,54,,1
1322155999273299968,4819342755,Directed,55,,1
1322155847116562438,1091778199728652289,Directed,56,,1
1322155728996544512,1105126592370618370,Directed,57,,1
1322155563082567680,84758606,Directed,58,,1
1322155275290353664,907301328988332033,Directed,59,,1
1322155075549224965,176580977,Directed,60,,1
1322154788730056704,977632554856730625,Directed,61,,1
1322154673944596481,1067816792922427397,Directed,62,,1
1322154529576656897,176580977,Directed,63,,1
1322154385221312513,922933940490563586,Directed,64,,1
1322154259710959616,1044328178230194179,Directed,65,,1
1322154229751074819,1148318806303027205,Directed,66,,1
1322154056077529089,330770436,Directed,67,,1
1322153952474025984,42736936,Directed,68,,1
1322153863751892993,157226645,Directed,69,,1
1322153772307697664,1158389772920020993,Directed,70,,1
1322153687737864192,912492779669999616,Directed,71,,1
1322153477133533186,128372940,Directed,72,,1
1322153328801886208,912492779669999616,Directed,73,,1
1322153215941578759,912492779669999616,Directed,74,,1
1322147352690438144,37717107,Directed,75,,1
1322144409983590402,74756085,Directed,76,,1
1322139411165913088,74756085,Directed,77,,1
1322136865030524928,74756085,Directed,78,,1
1322135137186992129,1148318806303027205,Directed,79,,1
1322132585686966272,1222939896349970432,Directed,80,,1
1322130746367246336,1003301201285435392,Directed,81,,1
1322130382033215489,1242471700257595403,Directed,82,,1
1322124136378937347,74756085,Directed,83,,1
1322119288812195841,1076850381160964096,Directed,84,,1
1322118843112787968,1076850381160964096,Directed,85,,1
1322118747918880770,1076850381160964096,Directed,86,,1
1322118624946098176,83125338,Directed,87,,1
1322058040955293696,1003301201285435392,Directed,88,,1
1322056596554457088,311647088,Directed,89,,1
1322056483593441281,112570023,Directed,90,,1
1322039366840180743,955586323452219393,Directed,91,,1
1322033734099652609,2923397967,Directed,92,,1
1322024874932637700,74756085,Directed,93,,1
1322018515369578496,1003301201285435392,Directed,94,,1
1322008978231091200,1123936283615727616,Directed,95,,1
1321999675436781568,1003301201285435392,Directed,96,,1
1321986750613475328,1003301201285435392,Directed,97,,1
1321976451525214213,74756085,Directed,98,,1
1321971355689095170,1222939896349970432,Directed,99,,1
1321968186556928000,1222939896349970432,Directed,100,,1
1321965466156519425,1076850381160964096,Directed,101,,1
1321955408714543104,1222939896349970432,Directed,102,,1
1321946167891136513,1003301201285435392,Directed,103,,1
1321945780509384704,1003301201285435392,Directed,104,,1
1321943750000680961,2354811098,Directed,105,,1
1321942975891558401,1246586840557256705,Directed,106,,1
1321941600403132417,1222939896349970432,Directed,107,,1
1321938336563474432,1108471775191580672,Directed,108,,1
1321938074356666368,1222939896349970432,Directed,109,,1
1321932970073219077,1003301201285435392,Directed,110,,1
1321932950859075586,993423583245426688,Directed,111,,1
1321932759271673856,33520195,Directed,112,,1
1321932676878708737,1222939896349970432,Directed,113,,1
1321931372211003392,13769472,Directed,114,,1
1321927938368016385,341657886,Directed,115,,1
1321922019542372355,36373308,Directed,116,,1
1321918340068216833,1222939896349970432,Directed,117,,1
1321917507175882762,1076850381160964096,Directed,118,,1
1321915812584763394,1222939896349970432,Directed,119,,1
1321913356241031169,1003301201285435392,Directed,120,,1
1321905103452934146,993546816800124928,Directed,121,,1
1321902823588679687,396467221,Directed,122,,1
