Source,Target,Type,Label,timeset,Weight
1311084548977913856,75681910,Directed,0,,1
1311075854689148930,78681704,Directed,1,,1
1311074034696757250,1101680527709483008,Directed,2,,1
1311060432250187778,9829882,Directed,3,,1
1311037098191880192,1271497757455499264,Directed,4,,1
1311027836354994185,2972088165,Directed,5,,1
1310992623566548992,35805725,Directed,6,,1
1310980283672539136,727130698021261313,Directed,7,,1
1310968372989964291,89584864,Directed,8,,1
1310959570081189894,762565663273656320,Directed,9,,1
1310958566371717122,219493590,Directed,10,,1
1310905418248531970,211662230,Directed,11,,1
1310891211511795713,907001638514249729,Directed,12,,1
1310882168323944449,128372940,Directed,13,,1
1310877117035540480,128372940,Directed,14,,1
1310770727247904768,128372940,Directed,15,,1
1310752425146449920,1192933854992117767,Directed,16,,1
1310746554819543040,2822662924,Directed,17,,1
1310744551972319233,25816369,Directed,18,,1
1310734187868160000,988699484,Directed,19,,1
1310717255706202114,128372940,Directed,20,,1
1310716765723394051,225232891,Directed,21,,1
1310709816273362950,128372940,Directed,22,,1
1310706058076323840,1215065576906874880,Directed,23,,1
1310686281228341250,128372940,Directed,24,,1
1310680253392658432,50311751,Directed,25,,1
1310679968565911554,50311751,Directed,26,,1
1310672658078535681,128372940,Directed,27,,1
1310671065098661890,128372940,Directed,28,,1
1310667107441553409,128372940,Directed,29,,1
1310666355482472454,1273302589543768065,Directed,30,,1
1310662989855559683,128372940,Directed,31,,1
1310657801304276992,128372940,Directed,32,,1
1310655210180800515,128372940,Directed,33,,1
1310651176107610113,128372940,Directed,34,,1
1310620310920744960,128372940,Directed,35,,1
1310620276833619969,1191927595635560448,Directed,36,,1
1310620142284537862,128372940,Directed,37,,1
1310617281500786689,128372940,Directed,38,,1
1310616996699156481,128372940,Directed,39,,1
1310615838513410049,128372940,Directed,40,,1
1310613014098444288,128372940,Directed,41,,1
1310612652155121665,128372940,Directed,42,,1
1310609754268618753,128372940,Directed,43,,1
1310607332657815557,128372940,Directed,44,,1
1310605931386941440,274749508,Directed,45,,1
1310596016165486594,704282873231237121,Directed,46,,1
1310595751496605696,1187489378261749760,Directed,47,,1
1310591771039199233,1187489378261749760,Directed,48,,1
1310582645340991489,2979710080,Directed,49,,1
1310572612813283329,68712576,Directed,50,,1
1310572240308711424,3350289887,Directed,51,,1
1310564299346251776,326849708,Directed,52,,1
1310562206350815237,1254141493780066305,Directed,53,,1
1310561006184288256,66441430,Directed,54,,1
1310482599480090625,78957336,Directed,55,,1
1310413599509184513,1159173020101107712,Directed,56,,1
1310401662864031744,128372940,Directed,57,,1
1310383799914631170,128372940,Directed,58,,1
1310330099724677121,16737221,Directed,59,,1
1310311439987601414,104819806,Directed,60,,1
1310297872781512704,1271201581871005696,Directed,61,,1
