Source,Target,Type,Label,timeset,Weight
1255647802757197828,885868623994245120,Directed,1,,1
1255647678253486082,1050174967298629633,Directed,3,,1
1255647644036325377,128372940,Directed,4,,1
1255647626600624136,975127727501185025,Directed,5,,1
1255647570258472961,1254284824988332032,Directed,6,,1
1255647562499047431,2892290499,Directed,7,,1
1255647450565672961,128372940,Directed,8,,1
1255647434262360071,14594813,Directed,9,,1
1255647280373301248,10228272,Directed,12,,1
1255647275432501249,126436384,Directed,13,,1
