Source,Target,Type,Label,timeset,Weight
1255647802757197828,885868623994245120,Directed,1,,1
1255647678253486082,1050174967298629633,Directed,3,,1
1255647644036325377,128372940,Directed,4,,1
1255647626600624136,975127727501185025,Directed,5,,1
1255647570258472961,1254284824988332032,Directed,6,,1
1255647562499047431,2892290499,Directed,7,,1
1255647434262360071,14594813,Directed,9,,1
1255647280373301248,10228272,Directed,12,,1
1255647275432501249,126436384,Directed,13,,1
1255647002437857280,17850880,Directed,15,,1
1255647002437857280,55269569,Directed,15,,1
1255647002437857280,260509524,Directed,15,,1
1255647000965664774,74756085,Directed,16,,1
1255646738414800896,72917379,Directed,19,,1
1255646671716876288,1095834875716874245,Directed,21,,1
1255646671716876288,54547433,Directed,21,,1
1255646404447535107,330770436,Directed,26,,1
1255646320615981056,35805725,Directed,29,,1
1255646098296901633,20771988,Directed,30,,1
1255646096162009089,64706049,Directed,31,,1
1255646096162009089,18048666,Directed,31,,1
1255645910186496000,953243284981329920,Directed,33,,1
1255645910186496000,45870897,Directed,33,,1
1255645730280296454,1250037140647481344,Directed,34,,1
1255645671576780808,240692662,Directed,36,,1
1255645671576780808,1253795796128092167,Directed,36,,1
1255645671576780808,1233121290325823490,Directed,36,,1
1255645671576780808,153505589,Directed,36,,1
1255645671576780808,151653693,Directed,36,,1
1255645575078383627,3318337402,Directed,39,,1
1255645575078383627,1189243148159115271,Directed,39,,1
1255645389883150339,55885236,Directed,43,,1
1255645310824722433,61241748,Directed,45,,1
1255645310824722433,4106068103,Directed,45,,1
1255644898394595328,1041826298715365377,Directed,48,,1
1255644883563548673,34164237,Directed,49,,1
1255644861107187713,16794066,Directed,51,,1
1255644838214742016,1218707751364448256,Directed,53,,1
1255644739812110337,1219531374312509440,Directed,54,,1
1255644739812110337,1053738706232844290,Directed,54,,1
1255644160922615810,1388402174,Directed,60,,1
1255643631723130881,1494658207,Directed,65,,1
1255643600488206337,1426055796,Directed,66,,1
1255643600488206337,907446048091766785,Directed,66,,1
1255643600488206337,949339313447292928,Directed,66,,1
1255643600488206337,731609172349980673,Directed,66,,1
1255643600488206337,24565292,Directed,66,,1
1255643554212458498,3003883504,Directed,67,,1
1255642982008721408,2923397967,Directed,72,,1
1255642982008721408,3984632307,Directed,72,,1
1255642783307706370,88902955,Directed,77,,1
1255642783307706370,2800880229,Directed,77,,1
1255642742169964545,67743025,Directed,80,,1
1255642714764386306,1255616700944351232,Directed,81,,1
1255642540860112899,184979046,Directed,84,,1
1255642540860112899,47091791,Directed,84,,1
1255642365743763457,21207962,Directed,86,,1
1255642121866002439,112498734,Directed,87,,1
1255642105353043968,293139242,Directed,88,,1
1255641928391110656,1847372568,Directed,90,,1
1255641519090020355,87021796,Directed,93,,1
1255641514476257281,1236412002039406595,Directed,94,,1
1255641514476257281,9317502,Directed,94,,1
1255641514476257281,75122758,Directed,94,,1
1255641496965038081,1255616700944351232,Directed,95,,1
1255641406502318082,1523748277,Directed,96,,1
1255641364248907777,1041468381403250689,Directed,99,,1
1255641251774431232,58578276,Directed,101,,1
1255641094026604547,1251647725998952448,Directed,103,,1
1255640871388753921,35260027,Directed,106,,1
1255640827797389314,1255640827797389314,Directed,108,,1
1255640763788144640,162453393,Directed,109,,1
1255640598645747714,1255616700944351232,Directed,112,,1
1255640107853451266,1138977421892489216,Directed,118,,1
1255639914760278024,94451423,Directed,121,,1
1255639862209908738,216777909,Directed,123,,1
1255639854743945220,349205902,Directed,124,,1
1255639854743945220,76369002,Directed,124,,1
1255639326161096705,119972326,Directed,129,,1
1255639326161096705,359821009,Directed,129,,1
1255639245609459712,458636870,Directed,131,,1
1255638783137021962,1228459273560231937,Directed,134,,1
1255638783137021962,1055689074177179649,Directed,134,,1
1255638516366749696,22219885,Directed,137,,1
1255638475140993025,1062540426228445184,Directed,138,,1
1255638354705571841,13769472,Directed,139,,1
1255638282962173972,393546208,Directed,140,,1
1255638171725041670,1036770944168194048,Directed,142,,1
1255637989864230912,1255616700944351232,Directed,143,,1
1255637876437549059,1050149819833090051,Directed,145,,1
1255637562594603008,14886589,Directed,148,,1
1255637562594603008,1247201674487349256,Directed,148,,1
1255637512829239297,58611077,Directed,149,,1
1255637512829239297,198181485,Directed,149,,1
1255637193768538112,851818634993389568,Directed,150,,1
1255637193055514624,1287574799024349184,Directed,151,,1
1255636921457561601,1255634291800846339,Directed,153,,1
1255636324763262978,708472687199444998,Directed,163,,1
1255636324763262978,64773188,Directed,163,,1
1255636173264949260,7159072,Directed,164,,1
1255636173264949260,35047698,Directed,164,,1
1255636173264949260,14874228,Directed,164,,1
1255636086891728929,1214186893673283584,Directed,166,,1
1255636086891728929,30248877,Directed,166,,1
1255635815415386120,1045445518699220992,Directed,170,,1
1255635815415386120,934063235757674496,Directed,170,,1
1255635815415386120,68712576,Directed,170,,1
1255635757940781057,778257048530259968,Directed,171,,1
1255635757940781057,1255615544763600897,Directed,171,,1
1255635527287660544,1255634291800846339,Directed,174,,1
1255635339898769410,735741240,Directed,176,,1
1255635085627478017,1325224754865975296,Directed,181,,1
1255634902604812300,133306441,Directed,185,,1
1255634902604812300,1255615544763600897,Directed,185,,1
1255634902604812300,33520195,Directed,185,,1
1255634803321421829,49676037,Directed,187,,1
1255634803321421829,67150902,Directed,187,,1
1255634379461853190,983002572117159936,Directed,192,,1
1255634362307096576,106502630,Directed,193,,1
1255634362307096576,90227660,Directed,193,,1
1255633829718622209,1206382356577357827,Directed,197,,1
1255633829718622209,72060418,Directed,197,,1
1255633829718622209,42593930,Directed,197,,1
1255633779097587713,8315402,Directed,199,,1
1255632927678967808,24952459,Directed,209,,1
1255631880772374528,3382362087,Directed,216,,1
1255631847712796674,69069168,Directed,217,,1
1255631770848018432,57870905,Directed,218,,1
1255631702195671040,19593634,Directed,219,,1
1255631667223502850,84986389,Directed,221,,1
1255631667223502850,54423036,Directed,221,,1
1255631667223502850,1232150536721518592,Directed,221,,1
1255631627763568640,13124602,Directed,222,,1
1255631480031764480,1165773652190736384,Directed,226,,1
1255631413396848642,40053694,Directed,228,,1
1255631275576168453,288352529,Directed,232,,1
1255631207573880833,86972385,Directed,234,,1
1255631207573880833,437824506,Directed,234,,1
1255631018922557440,30978177,Directed,236,,1
1255631000773804032,17715048,Directed,237,,1
1255630528272838658,250769217,Directed,242,,1
1255630505028071425,46730598,Directed,244,,1
1255630499755831299,109021397,Directed,245,,1
1255630499755831299,95502761,Directed,245,,1
1255630341282414592,4888484710,Directed,247,,1
1255630288325152768,2670726740,Directed,249,,1
